"symbol","report_date","speaker","title","msg","source_url"
"AMP","2024-07-24",NA,NA,"Welcome to the Q2 2024 earnings call. My name is Brianna and I will be your operator for today's call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. During the question-and-answer session, if you have a question, please press star one on your touch-tone phone. As a reminder, the conference is being recorded. I will now turn the call over to Alicia Charity. Alicia, you may begin.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Alicia Charity","Head of Investor Relations at Ameriprise Financial","Thank you, operator, and good morning. Welcome to Ameriprise Bank Financial's second quarter earnings call. On the call with me today are Jim Cracchiolo, Chairman and CEO, and Walter Berman, Chief Financial Officer. Following their remarks, we'd be happy to take your questions. Turning to our earnings presentation materials that are available on our website, on slide two, you will see a discussion of forward-looking statements. Specifically, during the call, you will hear reference to various non-GAAP financial measures, which we believe provide insight into the company operations. Reconciliation of non-GAAP numbers to their respective GAAP numbers can be found in today's materials and on our website. Some statements that we make on this call may be forward-looking, reflecting management's expectations about future events and overall operating plans and performance. These forward-looking statements speak only as of today's date and involve a number of risks and uncertainties.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Alicia Charity","Head of Investor Relations at Ameriprise Financial","A sample list of factors and risks that could cause actual results to be materially different from forward-looking statements can be found in our second quarter 2024 earnings release, our 2023 annual report to shareholders, and our 2023 10-K report. We make no obligation to publicly update or revise these forward-looking statements. On slide 3, you see our GAAP financial results at the top of the page for the second quarter. Below that, you see our adjusted operating results, which management believes enhances the understanding of our business by reflecting the underlying performance of our core operations and facilitates a more meaningful trend analysis. Many of the comments that management makes on the call today will focus on adjusted operating results. With that, I'll turn it over to Jim.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","Good morning, everyone. As you saw in our release, Ameriprise delivered another strong quarter and first half of the year, continuing our record of delivering strong operating results over many years and operating environments. Looking at the external landscape in the quarter, markets continue to be good with the expectation that there will be a soft landing. While inflation remains sticky, people assume that it's going to come down. However, that could take longer than expected. And there is also the ongoing geopolitical instability and the upcoming US election. So all of this is top of mind for our clients. With that as a backdrop, our second quarter results were excellent. In terms of our operating results, revenues were up 9% from positive business results in markets and, in fact, reached a new record of $4.2 billion.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","Earnings were also excellent, with EPS, excluding disclosed severance costs, increasing 17% to $8.72. This is also a new high. We also generated free cash flow of 90% and returned another $693 million to shareholders. Our return on equity was nearly 50% and continues to be best in class. Our assets under management and administration were $1.4 trillion, up 12% year-over-year, with good client net inflows and market appreciation. We have also been adept at maintaining a significant investment agenda that is complemented by our strong re-engineering discipline for reinvestment. We freed up additional resources, which is why you're seeing some additional severance costs in the quarter that we will benefit from through the year. In fact, G&A was down 2%, excluding those one-time costs. In Wealth Management, we're building on what we know works. Quality engagement centered on advice and delivered through the Ameriprise client experience.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","Client satisfaction remains excellent at 4.9 out of 5 stars, and we continue to receive important industry accolades. Total client assets and Wealth Management were strong at $972 billion, up 17%. We're also attracting new clients in the $500,000-$5 million range. Our most recent research underscores that our premium client value proposition continues to appeal to people who want to work with a trusted advisor and a trusted firm like Ameriprise in an advice relationship. For the quarter, total client wrap assets reached $535 billion, an increase of 18%. wrap flows also grew nicely, up 34% year over year to $7.5 billion, and transactional activity was also up, increasing 19% from a year ago. Cash balances, though still at a higher level, are beginning to shift back to wrap and other products, which represent a future growth opportunity for us.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","We continue to provide exceptional support and capabilities through our advisors. Both satisfaction and growth remain excellent. Productivity increased another 11% to $968,000 in the quarter. We're focused on leveraging our integrated and effective CRM engagement tools and digital capabilities for client deepening and acquisition to complement in-person interactions. We're also using automation and analytics to drive efficiency, helping advisors enhance personalization based on client needs and identifying new growth opportunities. Our advisor force grew to nearly 10,400 in the quarter. We added another 52 experienced advisors, and we feel good about our pipeline as well as our differentiated value proposition. At Ameriprise, total assets were up year-over-year, and we closed the quarter at $23 billion. Strong contributions from bank earnings drove a nice increase in net investment income.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","We continue to have good advisor and client interest in lending, with notable growth in pledged loan volumes as our advisors engage their clients in our banking solutions. During the quarter, I spent time with the top 10% of our advisor force at our largest recognition conference. They appreciate what we built together and that Ameriprise is not just another firm or group of practices, but that we have a supportive and caring culture that helps them have highly successful practices. Our retirement protection businesses have consistently contributed to our positive results. As our advisors provide more advice, they're appropriately incorporating annuity insurance solutions to serve clients' complex needs. We're driving good sales in our targeted areas. For example, structured annuity sales are up 60% from a year ago, and insurance VUL sales are up 24%.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","RPS continues to add nicely to our overall earnings and free cash flow, and we continue to feel very good about our product mix and position. In Asset Management, clearly, the active industry remains dynamic. Our team remains focused on client needs and generating attractive investment performance. Total assets under management increased 4% to $642 billion as market appreciation more than offset net outflows. We continue to have good investment performance across asset classes and time periods. Globally, 68% of our funds are above the median for the three-year period on an asset-weighted basis, with nearly 80% for five years and 90% for 10 years. We also have 114 four and five-star Morningstar-rated funds globally. Turning to flows, total outflows were $4 billion, improving $1.3 billion from a year ago, excluding the legacy insurance partner asset transfer, which came through both in retail and institutional channels.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","In retail overall, we had improvement in gross sales, up $1 billion from last year, with a slight improvement in redemptions. Though we're in net outflows, our equity results are outpacing the industry, and we see an opportunity to gain more flows and fixed income. Institutional flows were slightly positive in the quarter, driven primarily from wins in the APAC region. We're putting additional emphasis on models, SMAs, and ETFs and beginning to gain traction. We continue to focus on transforming our global Asset Management business to gain greater operational efficiencies, leveraging resources and technology globally. You saw that our G&A expenses decreased 6% in the quarter, and we have a number of additional actions underway to further derive benefits throughout the year. In Asset Management, we're maintaining good fee levels and good margins.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Jim Cracchiolo","Chairman and CEO at Ameriprise Financial","At Ameriprise, our model and overall firm has enabled us to perform very well over market and environmental cycles. We continue to leverage our global capabilities as well as steadily invest in technology, digital, analytics, AI, products, and solutions across our complementary businesses. In June, we officially recognized our 130th anniversary, and we're one of a select number of public companies with this legacy of success and performance. Our ROE of 50% is consistently among the best. Ameriprise has been the number one performer for TSR among the S&P 500 Financials since our spinoff in 2005. We continue to deliver excellent returns and returns to shareholders in a significant way. Looking forward, we have the right strategic focus, growth investments, a talented team, and a meaningful opportunity to drive greater growth. Now, Walter will provide additional color on our financials. Walter?","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Walter Berman","CFO at Ameriprise Financial","Thank you, Jim. Adjusted operating EPS grew 17% to $8.72, adjusted for $0.19 of severance expense associated with the company's re-engineering initiatives, reflecting earnings growth across all of our businesses. The diversified nature of our businesses drives our consistent financial performance across market cycles and sets us apart from most in the financial services industry. Assets under management and administration increased 12% to $1.4 trillion, benefiting from strong client flows over the past year and equity market appreciation. This has resulted in strong 90% revenue growth across our businesses. As you know, we continue to manage expenses tightly to maintain strong margins. G&A expenses were down 2%, excluding severance expenses, demonstrating our continued focus on re-engineering and operational transformation. We continue to selectively invest in areas that will drive future business growth, particularly in Wealth Management. We will maintain our expense discipline in 2024 to achieve growth and shareholder objectives.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Walter Berman","CFO at Ameriprise Financial","Our returns remain strong with a consolidated margin of 27.4%, excluding severance expenses, and a best-in-class return on equity of 50%. Balance sheet fundamentals, including excess capital and liquidity, remain very strong. Our diversified business model benefits from significant and stable 90% free cash flow contribution across all business segments. We returned $693 million of capital to shareholders in the quarter. In 2024, we continue to expect to return 80% of operating earnings to shareholders. On slide six, you'll see the strong results from Wealth Management. Client and wrap assets increased 17% and 18%, respectively, from strong net flows and market appreciation over the past year.  Wrap flows were strong in the quarter at $7.5 billion, or a 6% annualized flow rate.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Walter Berman","CFO at Ameriprise Financial","In the quarter, adjusted operating net revenues increased 13% to $2.6 billion from growth in client assets, increased transactional activity, and an 11% increase in net investment income in the bank. This drove revenue per advisor to a new high of $968,000, up 11% from a year ago. Total cash balances, including third-party money market funds and brokered CDs, were $81.9 billion, which was over 8% of clients' assets. As clients remain heavily concentrated in yield-oriented products, with highly liquid products like money market funds being more in favor than term products like certificates and brokered CDs. We are beginning to see clients put money back to work in wrap and other products on our platform, and we expect this to continue over time as markets and rates normalize, which creates a significant opportunity.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Walter Berman","CFO at Ameriprise Financial","Cash balances, excluding money market funds and brokered CDs, were $40.6 billion, driven by normal seasonal tax patterns and the transition of cash related to Comerica partnership in other products. Underlying cash sweep was stable in the quarter, as expected, and that trend continues in July. I want to provide some additional perspective on sweep cash. A cash sweep is a transaction account for money in motion that is in between investments or for cash to pay fees, which is similar to a bank checking account. Cash sweep is not meant to be an investment option for significant cash balances over extended periods. We have a broad range of higher-yielding products available for clients seeking to hold cash over extended periods, which is where a large portion of the excess cash has gone.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
"AMP","2024-07-24","Walter Berman","CFO at Ameriprise Financial","As a result, our clients generally have very low cash sweep balances, which are now approximately $6,000 on average. At this point, we do not anticipate any changes in our approach to cash sweep. Adjusted operating expenses in the quarter increased 13%, with distribution expenses up 17%, reflecting business growth, including Comerica and increased transactional activity. G&A expenses were flat at $409 million, reflecting investments for business growth offset by re-engineering initiatives. This combination of revenue growth and well-managed expenses resulted in the business sustaining an operating margin of 31%. Turning to Asset Management on slide seven, financial results were very strong in the quarter, and we continue to manage the business well through a challenging environment for active Asset Management. Total AUM increased 4% to $642 billion, primarily from higher equity market appreciation, partially offset by net outflows.","https://www.marketbeat.com/earnings/reports/2024-7-24-ameriprise-financial-inc-stock/"
