"symbol","report_date","speaker","title","msg","source_url"
"BIIB","2024-08-01",NA,NA,"Good morning. My name is Anna, and I will be your conference operator today. At this time, I would like to welcome everyone to the Biogen Q2 2024 Earnings Call and Business Update. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01",NA,NA,"If you would like to ask a question during this time, simply press Star one on your telephone keypad. Please limit yourself to one question to allow other participants time for questions. If you require any further follow-up, you may press Star one again to rejoin the queue. Today's conference is being recorded. Thank you. I would now like to turn the conference over to Mr. Chuck Triano, Head of Investor Relations. Mr. Triano, you may begin your conference.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Chuck Triano","SVP, and Head of Investor Relations at Biogen","Thank you. Good morning, good afternoon, and welcome to Biogen's Q2 2024 Earnings Call. During this call, we'll make forward-looking statements which involve risks and uncertainties that may cause actual results to differ materially from those in our forward-looking statements. We provide a comprehensive list of risk factors in our SEC filings, which I encourage you to review.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Chuck Triano","SVP, and Head of Investor Relations at Biogen","Our earnings release and other documents related to our results, as well as the reconciliation between GAAP and non-GAAP results discussed on the call, can be found in the Investors section at biogen.com. We have also posted the slides on our website that will be used during this call. On today's call, I'm joined by our President and Chief Executive Officer, Chris Viehbacher, our Head and President of North America, Alisha Alaimo, Dr. Priya Singhal, Head of Development, Mike McDonnell, Chief Financial Officer, and we'll be introducing Dr. Travis Murdoch from HI-Bio on the call.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Chuck Triano","SVP, and Head of Investor Relations at Biogen","We'll make some opening comments, and then we'll move to the Q&A session. To allow us to get through as many questions as possible, we ask that you limit yourself to one question. With that, I'll now turn the call over to Chris.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","Thanks, Chuck. We got a lot to cover this morning, but, first, in addition to our regular team of Priya, Alisha, and Mike, I'd like to welcome a new member to our team, Dr. Travis Murdoch. Travis is a physician who trained as a gastroenterologist and then studied immunology as a Rhodes Scholar at Oxford. Following a career at McKinsey, Third Rock, and SoftBank, he became the founder and CEO of HI-Bio.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","I'm pleased to welcome Travis and the HI-Bio team to Biogen. We now have, again, a presence on the West Coast. And the HI-Bio team, working in collaboration with their Biogen colleagues on the East Coast, will drive forward the development of felzartumab. So, we're announcing really strong quarterly results this morning, but, I would say this is really a quarter that has lasted 18 months.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","I think the results we're presenting really reflect the hard work of Team Biogen to transform our company, 18 months ago, we were a company that had been declining for four years in revenue and profit, and we have been working pretty tirelessly for the last 18 months to really turn that around and create a new future for ourselves.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","At the Q4 earnings in February of 2023, we outlined five priorities. The first one was focus on new launches. The second was to reduce our cost base, and align resources with growth opportunities. Third was to focus our investments in R&D on the most promising assets and improve the risk-reward profile. Four was to optimize our existing portfolio, and five was external growth.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","We've had a few setbacks along the way, but, nonetheless, I think the results today really show that Biogen has done. What it said it would do, that, to me, has been always important in business. If I take each one of those, I think if we look at our new product launches, all of the launches are either in line or ahead of expectations. I'm particularly happy to see the very strong results for Leqembi, not only in the US, but there's been a very successful launch in Japan. And the early data from China are also extremely promising, and Alisha will talk more about that.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","Last year, we set out to reduce our cost base, and we are more than on track on delivering on those results and you can see that in not only the reduction in OpEx, but the very strong improvement in margins Mike will talk about that.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","But, one of the things that you don't see in the P&L that I'm particularly proud of is, although we've really reduced our cost base and improved our margins, we have invested massively where we need to for growth opportunities, both in LEQEMBI and the other launches, but, also on really trying to turbocharge some of the key assets in R&D. And Priya will talk more about that, but, one of the beneficiaries of that is BIIB080, and another one is litifilimab.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","We also have, though, although we have seen a declining MS portfolio due to increased competition, particularly from biosimilars and from generics, we still had a number of products where we still had long patent protection. And one was Spinraza. And, I think we've seen some very good performance. This is a very competitive space, and Spinraza has been able to hold its own. I think when I first joined the company, most people were predicting the decline of that.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","Today, I would say the bumpiness tends to be in some countries where we only ship every now and then i think in Russia, for example, we do one shipment per year so, that business has always been a little bit bumpy. But, if you look at market share, I think Spinraza has done extremely well. And I'm very pleased to see Vumerity growing at double digits again now in the US. this is the only patent-protected product in the oral segment of MS.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","And we see an awful lot of movement in the injectable part, but, the oral segment has stayed pretty much constant it's a great opportunity, and I'm glad to see Alisha and her team really taking advantage of that. Then we always said we were going to be open to external growth. I think the Reata transaction last year is really starting to pay dividends we're seeing a very strong launch, not only in the US, but now also in Europe. As you know, we tend to get patients on access programs, and then the reimbursement follows.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","But, we are expecting to be approved in 20 countries by the end of this year. I think we're extremely happy with that. Zurzuvae addresses a huge unmet need, and that launch is also well in excess of expectations. So, as I sit here today, I would say the results that you're seeing are not, as I say, just the results of what we've done in the Q2, but, really, I think we're putting up scores on the scoreboard here that really now are starting to demonstrate all of those initiatives that we put in place last year, and we're starting to deliver on them.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","Now, of course, we're not done yet, and I think there's a real opportunity to continue to develop a sustainable growth platform. And we'll do that in two ways. The first is really now that we have prioritized R&D, I see the Alzheimer's portfolio as being a core franchise for us for the coming years. We're obviously continuing to invest heavily in Leqembi with the maintenance indication, the subcutaneous. But, also, I think the head study, if we can really get the evidence that it will really demonstrate the importance of early treatment.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
"BIIB","2024-08-01","Christopher Viehbacher","President, and CEO at Biogen","Priya will talk about it, but, the 36-month data that we showed at AAIC this week are extremely important for the future growth of Leqembi. But, we've always known there'll be other modalities, and I think Tau is emerging as an extremely important modality for the treatment of Alzheimer's. And I think Biogen is a clear leader in thatnd again, Priya will say more about that.","https://www.marketbeat.com/earnings/reports/2024-8-1-biogen-inc-stock/"
