"symbol","report_date","speaker","title","msg","source_url"
"SLB","2025-01-17",NA,NA,"Good morning. My name is Kate, and I will be your conference operator today and would like to welcome everyone to the fourth quarter SLB earnings call. At this time, all participants are in a listen-only mode. After the speaker's remarks, there will be a Q&A session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. You may remove yourself from the queue by pressing star two. As a reminder, this call is being recorded. I will now turn the call over to James R. McDonald, Senior Vice President of Investor Relations and Industry Affairs. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","James R. McDonald","Senior VP of Investor Relations and Industry Affairs at SLB","Thank you, Kate. Good morning and welcome to the SLB fourth quarter and full year 2024 earnings conference call. Today's call is being hosted from Houston following our board meeting held earlier this week. Joining us on the call are Olivier Le Peuch, Chief Executive Officer, and St̩phane Biguet, Chief Financial Officer. Before we begin, I would like to remind all participants that some of the statements we will be making today are forward-looking. These matters involve risks and uncertainties that could cause our results to differ materially from those projected in these statements. For more information, please refer to our latest 10-K filing and other SEC filings, which can be found on our website. Our comments today also include non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","James R. McDonald","Senior VP of Investor Relations and Industry Affairs at SLB","Additional details and reconciliations to the most directly comparable GAAP financial measures can be found in our fourth quarter and full year earnings press release, which is on our website. Finally, in conjunction with our proposed acquisition, SLB and ChampionX have filed materials with the SEC, including a registration statement with a proxy statement and prospectuses. These materials can be found on the SEC's website or from the parties' websites. With that, I will turn the call over to Olivier.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","Thank you, James. Ladies and gentlemen, thank you for joining us on the call. This morning, I will begin by discussing our fourth quarter and full year results. Then I will provide an update on the evolving macro environment and our early activity outlook for the first quarter and the full year. And finally, I will describe how SLB's diverse portfolio is uniquely positioned to continue delivering strong financial results in 2025 and beyond. St̩phane will then provide more details on our financial performance, and we will open the line for questions. Let's begin. We concluded the year with solid earnings and free cash flow, growing revenue both sequentially and year-on-year and maintaining our cycle high margins.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","Although the rate of upstream investment growth continued to moderate during the quarter, SLB benefited from our broad exposure to global markets, the diversity of our portfolio across the upstream oil and gas lifecycle, and from our differentiated digital offerings. Notably, we saw strong growth in the Middle East, where once again we achieved a new quarterly revenue high with contributions from the UAE, Iraq, Kuwait, and Qatar and we also performed very well in North America, where we benefited from our higher activity in U.S. land, along with higher Digital sales in the U.S. and from Mexico. Despite the well-known declines in Saudi Arabia and in Mexico, our fourth quarter financial performance remained consistent and resilient. This demonstrates the strength of SLB's diversified portfolio.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","Overall, we closed the year with fourth quarter international revenue reaching a new cycle high, and we generated strong free cash flow of $1.63 billion for the quarter. Turning now to the full year, we achieved our full year adjusted EBITDA margin target of 25%, generated robust free cash flow of $4 billion, and returned $3.3 billion to shareholders. Across the core divisions, we grew by 9% compared to the previous year. Production Systems led the way, growing by 24% and expanding margin by almost 300 basis points for the full year. This performance was supported by double-digit revenue increases in Surface Systems, Completions, and Artificial Lift, leading to 9% organic growth for the division that was complemented by the Aker Subsea acquisition. Well Construction performance also continued this momentum, growing by 9% year-on-year and expanding margin by approximately 100 basis points with strong stimulation and intervention activity.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","In Well Construction, although revenue was flat year-on-year, it continues to lead margins in the core. Overall, across our core divisions, our technology leadership, domain expertise, and scale are enabling us to continue innovating tailored solutions for our customers in every region. I'm proud to share that our software revenue crossed $1 billion for the first time in 2024. This was also a very exciting year for digital, as demand for our products and services continued to accelerate and form strategic partnerships with industry leaders, including NVIDIA, Amazon Web Services, and Palo Alto Networks. Our customers continue to embrace the power of cloud computing, AI, and Digital Operations to shorten cycle times and improve operating efficiencies. This led to Digital revenue growing 20% for the full year, exceeding our targets of high-teens growth. Finally, we continue to increase our exposure beyond oil and gas.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","There is a significant growth momentum in the low-carbon markets, where we have a strong position through our portfolio of technologies for carbon capture and sequestration, geothermal, and critical minerals, and we are complementing this with a growing exposure to data center infrastructure solutions by responding to hyperscalers to deliver solutions that meet the demands of rapidly evolving digital landscapes. Combined, revenue from these activities exceeded $850 million in 2024, and we expect this to increase significantly in 2025. As you can see, we are pursuing a wide range of opportunities within and beyond oil and gas, and this is positioning us to benefit from a very diverse mix of new and existing customer spend. I want to thank the SLB team for delivering this progress. We should all be proud.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","I'm very impressed by our team's innovating spirit, customer centricity, and performance mindset, and I look forward to building on our successes in the year ahead. Next, let me discuss the evolving macro environment. Over the back half of 2024, customers adopted a more cautious approach to near-term activity and discretionary spending, primarily driven by concerns of an oversupplied oil market. Although these concerns persist, we anticipate the oil supply imbalance will gradually abate. Global economic growth and a heightened focus on energy security, coupled with rising energy demand from AI and data centers, will support the investment outlook for the oil and gas industry throughout the rest of the decade. Looking at the global oil supply, we expect that OPEC+ will maintain its focus on commodity price stability throughout 2025.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
"SLB","2025-01-17","Olivier Le Peuch","CEO at SLB","And in the U.S., the ongoing focus on capital discipline by operators will limit near-term supply growth in the region. In this environment, the current level of global upstream investment seems to be keeping the market in balance, absent of any further geopolitical disruptions. Overall, we expect global upstream investment to be steady in 2025 compared to 2024, with the deceleration in some resource plays being offset by resilient growth across select countries and customers. Let me now provide a bit more detail on our 2025 activity outlook. In international markets, while certain countries will continue to expand strong growth, this will be balanced by reducing spending in others. For instance, in the Middle East and Asia, increases in the United Arab Emirates, Kuwait, Iraq, China, and India will be offset by declines in Saudi Arabia, Egypt, and Australia.","https://www.marketbeat.com/earnings/reports/2025-1-17-schlumberger-limited-stock/"
