"symbol","report_date","speaker","title","msg","source_url"
"ALL","2025-07-30",NA,NA,"Thank you for standing by, and welcome to the Allstate Second Quarter 2025 Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during this session, you'll need to press Star 1 1 on your telephone. If your question has been answered and you'd like to remove yourself from the queue, please simply press Star 1 1 again. As a reminder, today's program is being recorded. Now I'd like to introduce your host for today's program, Allister Gobin, Head of Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Allister Gobin","Head of Investor Relations at Allstate Insurance Company","Good morning, everyone. Welcome to Allstate Second Quarter 2025 Earnings Call. Yesterday, following close of the market, we issued our news release and investor supplement, filed our 10-Q, and posted related material on our website at allstateinvestors.com. Today, our management team will share perspective on our strategy and how Allstate is creating shareholder value. We will open up the line for your questions. As noted on the first slide of the presentation, our discussion will include non-GAAP measures for which the reconciliations are provided in the news release and investor supplement. We will also make forward-looking statements about Allstate's operations. Actual results may differ materially from those statements, so please refer to our 2024 10-K and other public filings for more information on potential risks. Now I'll turn it over to Tom.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","Good morning. Thank you for investing time in Allstate. We'll start with second quarter results and Allstate's strategy to create shareholder value. We will have time to address your questions. Let's start with slide two. Allstate's strategy has two components, as shown on the left: increase personal property liability market share and expand protection provided to customers. On the top right is an overview of second quarter results. Revenues were $16.6 billion in the second quarter, a 5.8% increase compared to the second quarter of 2024. Total policies in force increased to 208 million, a 4.2% increase over the prior year, led by Allstate Protection Plans. Personal property liability policies in force increased by 0.8%. Net income was $2.1 billion, and adjusted net income was $1.6 billion or $5.94 per diluted share. Adjusted net income return on equity was 28.6% over the trailing 12 months.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","We create shareholder value by delivering excellent operating results, as you see up top, growing the personal property liability business through the transformative growth strategy, expanding protection services, and proactively investing our $77 billion portfolio. Let's go through those three points starting on slide three. Transformative growth has five phases, and we are now solidly in phase four with progress in each of the five subcomponents. New Allstate-branded auto insurance products, which are more affordable, simple, and connected, are being implemented. The new auto insurance product is available in 40 states, and we are rolling out the same type of product for homeowners, and we are in 16 states now. New products are also available in the independent agent channel in 34 states, expanding our risk appetite from National Generalâ€™s strong nonstandard auto risk position. Underwriting expenses have been reduced, supporting more competitive pricing while maintaining margins.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","Increased sophistication of pricing plans and marketing programs have helped increase new business to expand the distribution. Claims processes have been enhanced following the pandemic-related inflation, which is helping us control claim severity. Our new technology systems have been deployed, which position us to leverage advanced computing and large language models. Customer access has also been significantly expanded, as you can see in the middle of the slide. New business is almost double five years ago, reaching 10.8 million policies over the last 12 months. This is the broadest distribution platform in the industry, with new business spread almost evenly between Allstate agents, independent agents, and directly through call centers or over the web, as you can see from that first set of pie charts on the left.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","Total policies in force have increased to 37.7 million, reflecting the highly successful acquisition of National General and rapid growth in direct sales. Property-Liability business is a terrific business with $56 billion of annual earned premiums and excellent underwriting results. Turning to slide four, protection services, while smaller, is still a really significant business with 170 million policies in force, $3.2 billion of revenue, and a quarter of a billion dollars of income over the last 12 months. It's comprised of five businesses: protection plans, auto dealer protection offerings, roadside assistance, ARD, and identity protection. Revenues were $867 million in the quarter, which generated $60 million of income, most of which is from protection plans, which is described in the bottom section of the slide. Protection plans sell protection for consumer electronics, mobile devices, appliances, and furniture.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","This protection is basically embedded in the sales processes of a broad group of exceptional distribution partners. Revenues increased by 16.6% over the prior year quarter, reflecting rapid growth in appliance protection over the last several years and success in expanding internationally. Adjusted net income was $51 million due to higher revenue, moderating claims and support costs, and operational efficiencies. Each of the protection services businesses has their own success story. ARD, for example, has $2 trillion of driving data, is now expanding its services to insurance companies and making inroads into mobility intelligence. Turning to slide five, shareholder value is also created by proactively managing the $77 billion investment portfolio, which is really an integrated component of our enterprise risk and return decision-making. Investment income was $754 million in the quarter, representing a total return of 1.4% for the quarter and 5.4% for the last 12 months.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Tom Wilson","Chairman and CEO at Allstate Insurance Company","This diversified portfolio of fixed income and growth assets leverages top investment talent to deliver top quartile performance, as shown in the table on the right. The largest part of the portfolio is in fixed income securities, which provides consistent cash flow and high liquidity. Our strong credit skills and active management generated first and second quartile performance. We reduced the public equity holdings in the second quarter given the increased risk of inflation due to the new trade policies. As the impact of this becomes clear, we'll adjust that position. We also have strong results in the performance-based portfolio of private equity real estate investments, which is a combination of fund participation, co-investments, and direct transactions. The higher returns on these investments are more than attractive despite the greater variability in reported income. Now I'll pass it over to Mario. Thanks, Tom.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Mario Rizzo","COO at Allstate Insurance Company","Let's take a look at second quarter property-liability results on slide six. The property-liability business delivered strong results, generating nearly $1.3 billion of underwriting income this quarter as average premium increases exceeded moderating costs. The combined ratio of 91.1% was a 10-point improvement from the prior year quarter, driven by improved underlying trends and $376 million in favorable prior year non-catastrophe reserve re-estimates. Shifting to auto insurance on the top right, the combined ratio was 86% in the quarter, a 9.9-point improvement from the second quarter of 2024 due to improved frequency and moderating severity trends. Over the past several quarters, we've seen the favorable impacts of our comprehensive auto insurance profit improvement plan in our financial results.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
"ALL","2025-07-30","Mario Rizzo","COO at Allstate Insurance Company","Our auto book of business is now broadly profitable, including in previously profit-challenged markets like California, New York, and New Jersey, and we are focused on investing in profitably growing auto market share. Homeowners' results are shown in the bottom right graph. Underlying margins remain strong in the homeowners' business with an underlying combined ratio of 58.6%, but were offset by $1.6 billion in catastrophe losses, leading to a combined ratio of 102% in the quarter. While quarter-to-quarter results can be volatile in the homeowners' business due to catastrophe losses, we continue to have strong conviction around our ability to grow homeowners and generate excellent long-term returns on capital, as demonstrated by a combined ratio of approximately 92% over the past 10 years. Allstate's homeowner capabilities represent a competitive advantage in the industry. Turning to slide seven, let's discuss growth trends in the property-liability business.","https://www.marketbeat.com/earnings/reports/2025-7-30-the-allstate-co-stock/"
