"symbol","report_date","speaker","title","msg","source_url"
"CSGP","2026-02-24",NA,NA,"in a listen-only mode. Please be advised that today's conference is being recorded. After the speaker's presentation, there will be a question-and-answer session. To ask a question, please press star one one on your telephone and wait for your name to be announced. To withdraw your question, please press star one one again. I would now like to hand the conference over to your speaker today, Rich Simonelli, Head of Investor Relations.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Rich Simonelli","Head of Investor Relations at CoStar Group","Hello, thank you for joining us to discuss the full year and fourth quarter 2025 results of CoStar Group. Before I turn the call over to Andy Florance, CoStar CEO and founder, and Chris Lown, our CFO, I'd like to review our safe harbor statement. Certain portions of the discussion today may contain forward-looking statements, including the company's outlook and expectations for the first quarter, full year of 2026 and beyond. These statements are based on current beliefs and assumptions, and forward-looking statements involve many risks, uncertainties of assumptions, estimates, and other factors that can cause actual results to differ materially from such statements.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Rich Simonelli","Head of Investor Relations at CoStar Group","Important factors that can cause actual results to differ include, but are not limited to, those stated in CoStar Group's press release issued earlier today, and in our filings with the SEC, including our annual report on Form 10-K and quarter reports on Form 10-Q, included under the heading Risk Factors in these filings, as well as other filings with the SEC available on the SEC's website. All forward-looking statements are based on the information available to CoStar on the date of this call. CoStar assumes no obligation to update these statements, whether as a result of new information, future events, or otherwise, except as required by applicable law. Reconciliation is the most directly comparable GAAP measure or of any Non-GAAP financial measure discussed on this call, as shown in detail in our press release issued today, along with the definitions of those terms.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Rich Simonelli","Head of Investor Relations at CoStar Group","Press release available on our website, located at costargroup.com, under Press Room. Please refer to the press release on how to access the replay of this call. Remember, it's one question during the Q&A session, so make it a good one. Be good. With that, I'd like to turn the call over to our Founder and CEO, Andy Florance.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","I think today we're going to do two questions.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Rich Simonelli","Head of Investor Relations at CoStar Group","Nice.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","Good afternoon, everybody. Revenue for the fourth quarter rose 27% year-over-year to $900 million. That's an increase of $191 million from $709 million of revenue in the fourth quarter of 2024. Revenue for 2025 was $3.2 billion, up 19% from $2.7 billion in 2024. This is our 59th consecutive quarter of double-digit revenue growth. Adjusted EBITDA of 2025 was $442 million, up 83% from $241 million in 2024. This result positions us well to achieve our guidance range of $740 million-$800 million full-year adjusted EBITDA in 2026. With the heavy lifting of Homes.com national brand launch behind us, we are entering a phase of significant EBITDA expansion.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","We delivered our strongest year ever for annualized net new sales bookings in 2025, reaching $308 million, up 23% from 2024. Fourth quarter net new bookings were up 42% year-over-year. We consider CoStar, LoopNet, Real Estate Manager, Ten-X, BizBuySell, and elements of Matterport as commercial real estate-related businesses, and their operations are connected and related. These commercial businesses, as a group, grew 20% year-over-year and generated $471 million of revenue in the fourth quarter of 2025. For the full year, the commercial business grew 18% to reach $1.79 billion for the full year of 2025. The U.S. commercial real estate market is showing good recovery from the extraordinary headwinds it experienced in the COVID years.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","After years of massive negative absorption of office space, it has now turned positive, it's been positive for the past two quarters, and vacancies are clearly dropping. After the ultra-low COVID vacancy rates, industrial vacancy rates are normalizing. With the leasing fundamentals stabilizing, commercial sales volumes have climbed 30% year-over-year, in fact, now are above long-term averages. The CRE economy is shifting from headwind to tailwind. For our disclosures moving forward, we have combined CoStar with what we've previously referred to as information services. Any reference to CoStar now includes our information services products. As the CRE economy improves and we continue to expand the product offering, CoStar Group has generated seven consecutive quarters of accelerating growth. Net new bookings in Q4 2025 were up 54% year-over-year.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","CoStar revenues grew 10% year-over-year, generating $325 million in the fourth quarter of 2025. We have grown the CoStar sales team 20% year-over-year to 492 reps and believe that will support further revenue acceleration. We ended 2025 with our NPS at an all-time high of 70, and our quarterly renewal rate rose to 94%. CoStar now has more than 300,000 subscribers, up 26% year-over-year in Q4. Total searches in CoStar climbed 14% year-over-year to 422 million. CoStar Canada is solidly profitable and revenues grew 21% year-over-year. Canadian CoStar is French, English, bilingual.... CoStar U.K. is solidly profitable, is enjoying a 92% renewal rate, and has gained significant competitive share in 2025.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","A primary U.K. competitor, EG Radius, shut down their operations in December 2025. We have onboarded 166 of their reported 150 clients, I think we got most of them, with 75% of them on three-year deals. EG Radius has passed between various ownership groups through time, it descends from Estates Gazette, which was the clear major market leader in the U.K. when we entered that market 21 years ago. We have built out the software and datasets for CoStar France, expect to release in the second quarter, and expect to have similar successes there. We are now well underway in staffing our CoStar research and photography capabilities in Australia, with over 50 people already in place. These teams are instrumental in generating a depth of proprietary data and visual assets that's not currently available in Australia.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","In just over six weeks, we've added thousands of listings. We expect to release CoStar for Australia in late 2026. In a typical year, there are about 1 million new single-family homes and condos built in the U.S., with a combined value of just under half a trillion dollars. The developers and lenders behind these projects need reliable information on supply, absorption, prices, land comps, and model mixes. Three hundred plus developers are feeding us data to market their new homes for sale on Homes.com, we can release a new homes information module in CoStar in the third quarter of 2026. The wealth of residential land valuation analytic information already in CoStar, we can build a very competitive offering. We expect demand for new homes information is a $200 million-$300 million revenue opportunity for CoStar.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","In December, we launched our coverage of nearly 4,000 data centers worldwide. For each property, we have data on capacity, redundancy, and resilience attributes, and how well it fits in the broader build-out of the power grid infrastructure. The product also provides visibility into substation locations, transmission lines, their peak capacity, and retail utility providers. Our dataset includes over 1,600 individual center with sales value exceeding $43 billion and over 29 gigawatts of power capacity. In an increasingly AI-centric global economy, our rapidly growing dataset will prove an invaluable day-to-day tool for center developers, operators, and owners. As discussed on previous earnings calls, we're developing a Rent Benchmark product, which we expect to deliver in Q2.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","Built upon the industry's largest collection of lease deals, CoStar Rent Benchmark uses AI to extract starting rents, TI allowances, rent concessions, escalations, and more from the actual legal leasing document. After abstraction, leases are anonymized and aggregated to deliver the industry's only net effective rent product, allowing the user to understand the true cost of occupancy. Corporate occupiers, owners, and brokers alike will reap tremendous value from being able to tap into the largest source of verified lease information to inform their leasing decisions and more effectively manage their real estate portfolios. In January 2026, we added more than 110 million residential parcels into our CoStar information product, providing our users with public record information across every parcel in America. For STR, Q4 capped off a record-breaking 2025, delivering the highest net new revenue in the company's history there.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","25% of that net new revenue came from owner and management companies. Q4 also marked the completion of a major client migration, ultimately bringing 98,000 new users into the CoStar platform, with the STR Benchmark feature serving as their entry point. Q4 was equally pivotal from a product development perspective, culminating in a major release this week. Yesterday, STR announced the launch of a profitability benchmarking, giving hotel owners and operators a fully integrated view of top line and bottom line performance. With this release, CoStar with STR Benchmark becomes the only hotel benchmarking solution to integrate revenue, expenses, profits, and full property lifecycle insights into one place. We have rebranded our lender product to CoStar Debt Solutions to better reflect the breadth of customers we serve, including banks, credit unions, private lenders, insurers, agency lenders and debt funds, CMBS investors, and regulators.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
"CSGP","2026-02-24","Andy Florance","CEO at CoStar Group","CoStar Debt Solutions has surpassed $100 million in annual run rate revenue. We see a clear path to a billion-dollar-plus opportunity as we expand our debt product with benchmarking, loan origination, and residential solutions. We expect to launch debt benchmarking in the second half of this year, with loan origination in the first quarter of 2027. Having had a chance to look at some of the features of the debt benchmarking, it's really remarkable, and I think it'll be an incredibly strong product. CoStar Real Estate Manager had an exceptionally strong fourth quarter, with net new bookings in the quarter up 48% year-over-year and up 211% quarter-over-quarter. Revenues now exceed $120 million.","https://www.marketbeat.com/earnings/reports/2026-2-24-costar-group-inc-stock/"
