"symbol","report_date","speaker","title","msg","source_url"
"BRO","2025-07-28",NA,NA,"Good morning and welcome to the Brown & Brown Inc second quarter earnings call. Today's call is being recorded. Please note that certain information discussed during this call, including information contained in the slide presentation posted in connection with this call, and including answers given in response to your questions, may relate to future results and events or otherwise be forward-looking in nature. Such statements reflect our current views with respect to future events, including those relating to the company's anticipated financial results for the second quarter, and are intended to fall within the safe harbor provisions of the securities laws. Actual results or events in the future are subject to a number of risks and uncertainties and may differ materially from those currently anticipated or desired or referenced in any forward-looking statements made as a result of a number of factors.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28",NA,NA,"Such factors include the company's determination, as it finalizes its financial results for the second quarter, that its financial results differ from the current preliminary unaudited numbers set forth in the press release issued yesterday, other factors that the company may not have currently identified or quantified, and those risks and uncertainties identified from time to time in the company's reports filed with the Securities and Exchange Commission. Additional discussion of these and other factors affecting the company's business and prospects, as well as additional information regarding forward-looking statements, is contained in the slide presentation posted in connection with this call and in the company's filings with the Securities and Exchange Commission. We disclaim any intention or obligation to update or revise any forward-looking statements, whether as a result of new information, future events, or otherwise. In addition, there are certain non-GAAP financial measures used in this conference call.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28",NA,NA,"A reconciliation of any non-GAAP financial measures to the most comparable GAAP financial measure can be found in the company's earnings press release or in the investor presentation for this call on the company's website at www.bbrown.com by clicking on Investor Relations and then Calendar of Events. With that said, I will now turn the call over to Powell Brown, President and Chief Executive Officer. You may begin.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","Thanks, Deedee. Good morning, everyone, and welcome to our second quarter earnings call. Before we get into the results for the quarter, we wanted to provide an update on the acquisition of RSC Topco, or as we refer to it, Accession. Post the announcement, John Mina, myself, and a number of other senior leaders met with many of the teammates from Accession, and the feedback has been positive. We're very excited about our expanded capabilities and how we can leverage them for the benefit of our customers. From a regulatory standpoint, we have substantially all approvals and anticipate an 8/1 close. From a financing standpoint, we completed a very successful follow-on equity issuance and a multi-tranche bond issuance that were both significantly oversubscribed. The teams have been working on our integration plans, and efforts are well underway to bring our two great companies together. Now let's transition to the results.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","I'll provide some high-level comments regarding our performance, along with updates on the insurance market and the M&A landscape. Then Andy will discuss our financial performance in more detail. Lastly, I'll wrap up with some closing thoughts before we open it up for Q&A. I'm on slide number four. For the second quarter, we delivered $1.3 billion of revenue, growing 9.1% in total and 3.6% organically as compared to the same period in the prior year. Our adjusted EBITDAC margin improved by 100 basis points to 36.7%, and our adjusted earnings per share grew over 10% to $1.03. On the M&A front, we completed 15 acquisitions with estimated annual revenues of $22 million. I'm on slide five. At a macroeconomic level, things have not changed substantially. Customer outlook and confidence seem to be fairly similar to the first quarter.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","Generally, customers are cautiously optimistic that the uncertainties of tariffs and other matters will resolve in a favorable manner. We continue to see many customers investing in their businesses, while some customers are delaying investment decisions until they have a better view on growth trajectory. With continued economic and job expansion, we think some customers will more than likely only be able to delay their investment decisions for so long. Overall, we believe the economy is still in a good place. From an insurance pricing standpoint, rates for most lines moderated even further in the second quarter, and in some cases, more than we expected. The outliers were auto, casualty, and cat property. We're now seeing classic market softening signs for certain lines of business where carriers can have a material difference in quoted rates for renewal business versus new business on similar insured assets. Pricing for U.S.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","employee benefits was similar to prior quarters, as medical costs are up 6%-8%, and pharmacy costs are generally up over 10%. We do not expect this trend to slow over the coming quarters, which will continue to drive demand for our consulting businesses. Rates in the admitted P&C market continue to moderate down. While rates were up 1%-5% versus the prior year, this is in comparison to rate increases of 2%-7% in the first quarter of 2025 and rate increases of 5%-10% in the second quarter of last year. The downward trend on workers' compensation rates remained in most states and were flat to down 5%. For non-cap property, we're seeing a general softening of rates, which were down 5% to up 5%. It totally depends on the loss experience.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","For casualty, we're seeing rate increases of 5%-10% for primary and excess layers, and believe this trend will continue over the coming quarters. For professional liability, rates were down 5% to up 5% as compared to last year. Shifting to the U.S. property market, in the first quarter, rates were generally down 10%-20%. The trend continued throughout the second quarter, with rates down 15%-30%. We saw more pressure on rates at the end of the quarter. Consistent with previous quarters and the softening cycle, there continues to be exceptions to the ranges. With the decline in admitted rates, customers more times than not are pocketing the savings, while we saw certain non-admitted customers consider higher limits or deductible buy-downs, which partially offset the premium decline related to the changes in rates. On an M&A front, we had another good quarter.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","On a year-to-date basis, we've acquired 29 companies with annual revenues of approximately $60 million. I'm on slide six. Let's transition to the performance of our three segments for the quarter. Retail delivered organic growth of 3%, with the results impacted by slowing admitted and cap property rates and lower new business. Regarding new business, we continue to have a good pipeline and can have fluctuations by quarter. Programs delivered 4.6% organic growth for the quarter. We had several programs that performed well, including our lender-placed business. Our organic growth was impacted by the slowing of our commercial cat programs. We saw increased downward pressure on rates late in the quarter. Brokerage delivered organic revenue growth of 3.9%. This performance was driven by growth across most lines of business, with the growth partially offset by rate declines and the seasonality of property renewals.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Powell Brown","President and CEO at Brown & Brown Inc","From an open brokerage standpoint, we had a good quarter, even with the decline in property rates. For both binding and personal lines, we're seeing increased competition from other markets. Professional liability rates continue to decline during the quarter for D&O and EPL. Now I'll turn it over to Andy to get into more details regarding our financial results.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Andy Watts","Executive Vice President and CFO at Brown & Brown Inc","Thank you, Powell. Good morning, everyone. Before we get into financial details, we wanted to share. And talk about the impact on our earnings related to the acquisition of Accession and our related debt and equity issuances in June. As discussed during our call announcing the acquisition, transaction and integration costs related to our pending acquisition of Accession will be excluded from our calculation of adjusted EBITDA and adjusted earnings per share, which for this quarter included approximately $37 million of one-time transaction integration-related costs. In addition, with the debt issuance, we recorded approximately $13 million of incremental interest income for the quarter, and we recorded incremental interest expense of approximately $5 million. The shares issued as a result of our equity offering increased our weighted average share count by approximately 8.5 million for the quarter. Transitioning now to our consolidated results for the quarter.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Andy Watts","Executive Vice President and CFO at Brown & Brown Inc","As a reminder, when we refer to EBITDAC, EBITDAC margin, income before income taxes, or diluted net income per share, we are referring to those measures on an adjusted basis. The reconciliations of our GAAP to non-GAAP financial measures can be found either in the appendix of this presentation or the press release we issued yesterday. On a consolidated basis, we delivered total revenues of $1,285,000,000, growing 9.1% as compared to the second quarter of 2024. Income before income taxes increased by 13.6%, and EBITDAC grew by 12.1%. Our EBITDAC margin was 36.7%, expanding by 100 basis points over the second quarter of the prior year, driven by incremental interest income and underlying margin expansion. For the quarter, our margin expansion was partially offset by the seasonality of revenue and profit associated with some recent acquisitions.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
"BRO","2025-07-28","Andy Watts","Executive Vice President and CFO at Brown & Brown Inc","Our effective tax rate for the quarter decreased slightly to 24.7% versus 25.3% in the second quarter of the prior year. Diluted net income per share increased 10.8% to $1.03. Our weighted average shares outstanding increased by approximately 10 million, primarily due to the share issuance we mentioned earlier. Lastly, our dividends paid per share increased 15.4% as compared to the second quarter of 2024. Overall, we are pleased with our performance and how our team delivered for the quarter. We're on slide number eight. The retail segment grew total revenues by 7.9%, with organic growth of 3%. The difference between total revenues and organic revenue was driven substantially by acquisition activity over the past year. Our EBITDAC margin decreased by 50 basis points to 27.5% due to the impact of revenue seasonality for Quintes, which we acquired in the fourth quarter of 2024.","https://www.marketbeat.com/earnings/reports/2025-7-28-brown-brown-inc-stock/"
