"symbol","report_date","speaker","title","msg","source_url"
"IVZ","2026-04-28",NA,NA,"Welcome to Invesco's first quarter earnings conference call. All participants will be in a listen-only mode until the question-and-answer session. At that time, to ask a question, please press star one. This call will last one hour. To allow more participants to ask questions, one question and a follow-up can be submitted per participant. As a reminder, today's call is being recorded. Now I'd like to turn the call over to Greg Ketron, Invesco's Head of Investor Relations.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Greg Ketron","Head of Investor Relations at Invesco","Thanks, operator, and to all of you joining us on the call today. In addition to the press release, we have provided a presentation that covers the topics we plan to address. The press release and presentation are available on our website, invesco.com. This information can be found by going to the Investor Relations section of the website. Our presentation today will include forward-looking statements and certain non-GAAP financial measures. Please review the disclosures on slide two as well as the appendix for the appropriate reconciliations to GAAP. Finally, Invesco is not responsible for the accuracy of our earnings transcripts provided by third parties. The only authorized webcasts are located on our website. Andrew Schlossberg, President and CEO, and Allison Dukes, Chief Financial Officer, will present our results this morning, and then we'll open up the call for questions. I'll now turn the call over to Andrew.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","Thank you, Greg, and good morning to everyone. I'm pleased to be speaking with you today. Before we review this quarter's results, I'd like to reiterate our strategic priorities and our key performance drivers as highlighted on slide three of today's presentation. These strategic imperatives focus our efforts, guide our decisions, and provide a clear framework for navigating a rapidly evolving asset management landscape. Our strategic priorities remain grounded in a simple conviction. Regardless of broader market conditions, geopolitical events, or cyclical, structural, or fundamental headwinds, executing against these priorities will leverage the best of Invesco, accelerate our key areas of opportunity, and drive profitable growth. That is exactly what we are seeing in our business. Profitable organic growth is paramount. As such, we are focusing on high-demand, scalable investment capabilities like fixed income and delivery vehicles like ETFs.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","We continue to drive value through our expansive global footprint with a significant and unique Asia-Pacific presence, including a hard-to-replicate Chinese JV and a strong performing and growing AMEA business. Together, these regions represent nearly $700 billion of our client AUM. We are also well-positioned to generate increasing value in our private markets business, where we have a strong institutional heritage in real asset and alternative credit strategies, which are now leveraging as we bring those products into faster-growing wealth management space. These existing Invesco strategies are being augmented by our recently announced partnerships with Barings and LGT Capital. Each of these relationships are progressing well, and we look forward to updating you on developments with additional product launches later this year. We also continue to sharpen our focus and accelerate innovation across products and vehicles such as active ETFs, SMAs, models, customized solutions, and digital assets.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","We are seeing momentum build in each of these areas, and we have launched several new products and partnerships this year already. Our progress on strategic priorities also includes continued strengthening of our balance sheet and efficient capital deployment, including returning a portion of it to our shareholders through increasing common share repurchases and dividends. We continue to prioritize the intersection of market size and secular change, where Invesco is uniquely positioned to drive growth in the highest opportunity regions, channels, and asset classes. This is the guiding principle by which we measure opportunities, de-emphasize when needed, and focus resources to drive growth across the organization. We will continue to execute with discipline, allocate capital and resources accordingly, and measure progress against our key performance drivers indicated on the far right-hand side of this slide.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","Let's turn to slide four and take a look at how our efforts translated into asset flow results in the first quarter. Markets had strong momentum coming into the quarter, but ultimately gave way to heightened volatility as geopolitical uncertainty, sharp moves in energy prices, and changing interest rate expectations weighed on public markets. It is in this type of operating environment that the benefits of our broad-scale, diversified global platform are most evident. With elevated volatility, money was in motion, and clients continued to entrust Invesco with significant capital across our global product set. Net long-term inflows were $21.8 billion, marking the eleventh straight quarter of net inflows and representing annualized organic growth of 4%.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","It is also worth noting that we generated $11.6 billion in global liquidity inflows. We ended the period with over $200 billion in AUM. We continue to be encouraged by the breadth of our overall growth. We had solid positive flows across several dimensions, including in many of our strategically important investment capabilities across each of our three regions in both our active and passive strategies and across wealth management and institutional channels. The Asia-Pacific and EMEA regions again produced very strong net inflows with 17% and 8% annualized organic growth, respectively. We also saw our strongest quarter of active net inflows with nearly $15 billion generated around the world. Additionally, institutional demand has remained strong with our fifth consecutive quarter of annualized organic growth in excess of 5%.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","Let me spend a few minutes clicking into growth drivers in each of these investment capabilities. Starting with our ETF and index capability, where we continue to meaningfully scale and diversify our platform to meet evolving client demand. Our ending AUM stood at a record $638 billion, or over $1 trillion including the QQQ. We had nearly $19 billion of net inflows during the quarter, or 11% annualized organic growth. Within our ETF range, we garnered net inflows across a diverse set of products in both equity and fixed income. Our equal weight S&P 500 delivered record net inflows, and we saw strong demand for QQQM from investors with long-term horizons. We continue to see strength in our S&P quality and momentum lineup as well.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","We remain focused on innovation in the ETF space as we launched four new active ETFs this quarter, strengthening our market position in this high-demand segment as investors continue to use the ETF wrapper to access active equity and fixed income strategies, particularly in more volatile market environments like we are seeing today. We have built a robust active ETF platform currently managing over $20 billion in assets, which increases to more than $35 billion when you include index strategies implemented by our active teams. With our QQQ fund conversion on December 20th, we had a full quarter of the fund's flows included in our results. The fund continues to attract good demand, but after multiple quarters of very strong inflows, we ultimately had net outflows this quarter. This reflected normal rotation and profit-taking as investors broadened exposures amidst the more volatile market environment.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","With abating market volatility in April, we have seen strong demand and net inflows return for this flagship product. Let me take a moment here to address the recent developments that Nasdaq has expanded its licensing to allow two additional U.S.-listed ETFs to track the Nasdaq-100. first, we see this as an evolution of a highly successful benchmark reflecting the global importance of the Nasdaq-100, where we dominate with our flagship QQQ fund, which is one of the world's most actively traded ETFs and a core exposure vehicle globally for the Nasdaq-100. You know, QQQ's position is supported by unmatched liquidity with tight spreads, deep options and derivative markets, and a very large and broad institutional and retail investor base.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","These critical characteristics, coupled with the immense brand recognition that's synonymous with Invesco QQQ being a one-of-a-kind and a large marketing spend and positive client outcomes built over 25+ years, minimizes the dependence on being the sole licensed product from an index provider. Our installed base is tough to erode, and it's been proven that switching costs are higher than assumed, with taxes being a major factor. By example, the introduction of our own QQQM expanded the Nasdaq-100 ecosystem without cannibalizing the QQQ. Nasdaq has historically been selective in how it licensed the Nasdaq-100 index, and that selectivity resulted in the QQQ being the primary U.S.-listed ETF tracking the index for decades. Nasdaq has publicly reaffirmed its commitment to our QQQ innovation suite as a cornerstone of their Nasdaq-100 ecosystem.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","Further, Nasdaq's licensing for these new Nasdaq-100 exchange-traded funds is consistent with our QQQ at 8 basis points, meaning any competitor fund will pay the same amount, and the existing licensing agreements are not impacted by these filings. Our relationship with the Nasdaq remains strategic and long-standing. To put a fine point on it, our installed base, where we have built a dominant entrenched position over decades, will be difficult to displace. More so, we believe that the attention will create an increasingly large pool of assets behind this important benchmark. Let's move on to fundamental fixed income, where we garnered a very healthy $3.7 billion in net long-term inflows, or 5% annualized organic growth, with strong attribution across geographies and channels. This only considers the narrower view of our fundamental fixed income capability.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","Looking more broadly at the asset class across all of our investment capabilities, that net flow number jumps to $14 billion, with the inclusion of our related ETF and China-based fixed income assets. Momentum in our fundamental fixed income capability was broadly driven by institutional inflows in investment-grade products, as well as fixed income SMAs, where we continue to see strong demand. Our entire SMA platform, which also includes a portion of equity assets, now stands at $37 billion in AUM. We have one of the fastest-growing SMA offerings in the United States wealth management market, generating an annualized organic growth rate of 19% this quarter. Moving on to China JV, where we produced another exceptionally strong quarter, demonstrating that we are well-positioned in this market.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
"IVZ","2026-04-28","Andrew Schlossberg","President and CEO at Invesco","We reached a record high AUM of $142 billion and delivered $8.7 billion of net long-term inflows, or a 31% annualized organic growth rate. In a volatile global market environment, the China JV demonstrated the benefits of its diversified platform. Looking at the quarter as a whole, net inflows continued to be driven by fixed income plus strategies, which have now reached $40 billion in AUM on our JV platforms. We have developed a diversified product lineup in our China JV, which is designed to meet varying client risk appetites, and we like the position we have built and the opportunity it presents long term. To support this growth during the quarter, we launched 14 funds with total AUM of $2.5 billion, mostly aligned with the growing demand for balanced and equity ETF strategies.","https://www.marketbeat.com/earnings/reports/2026-4-28-invesco-ltd-stock/"
