"symbol","report_date","speaker","title","msg","source_url"
"HSIC","2025-11-04",NA,NA,"Good morning, ladies and gentlemen, and welcome to Henry Schein's third quarter 2025 earnings conference call. At this time, all participants are in listen-only mode. Later, we'll conduct a question-and-answer session. Please press the star key followed by one on your touch-tone phone if you'd like to ask a question at the end of the call. If anyone should require operator assistance during the call, please press the star key followed by zero on your touch-tone phone. As a reminder, this call is being recorded. I would now like to introduce you to your host for today's call, Graham Stanley, Henry Schein's Vice President of Investor Relations and Strategic Financial Project Officer. Please go ahead, Graham.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Graham Stanley","VP of Investor Relations at Henry Schein","Thank you, operator, and thanks to each of you for joining us today to discuss Henry Schein's financial results for the 2025 third quarter. With me on today's call are Stanley Bergman, Chairman of the Board and Chief Executive Officer of Henry Schein, and Ron South, Senior Vice President and Chief Financial Officer. Before we begin, I'd like to state that certain comments made during this call will include information that's forward-looking. Risks and uncertainties involved in the company's business may affect the matters referred to in forward-looking statements, and the company's performance may materially differ from those expressed in or indicated by such statements. These forward-looking statements are qualified in their entirety by the cautionary statements contained in Henry Schein's filings with the Securities and Exchange Commission and included in the risk factors section of those filings.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Graham Stanley","VP of Investor Relations at Henry Schein","In addition, all comments about the markets we serve, including end market growth rates and market share, are based on the company's internal analyses and estimates. Today's remarks will include both GAAP and non-GAAP financial results. We believe the non-GAAP financial measures provide investors with useful supplemental information about the financial performance of our business, enable the comparison of financial results between periods where certain items may vary independently of business performance, and allow for greater transparency with respect to key metrics used by management in operating a business. These non-GAAP financial measures are presented solely for informational and comparative purposes and should not be regarded as a replacement for corresponding GAAP measures.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Graham Stanley","VP of Investor Relations at Henry Schein","Reconciliations between GAAP and non-GAAP measures are included in Exhibit B of today's press release and can be found in the financials and filings section of our investor relations website under the Supplemental Information heading and in our quarterly earnings presentation also posted on our website. The content of this conference call contains time-sensitive information that is accurate only as of the date of the live broadcast, November 4th, 2025. Henry Schein undertakes no obligation to revise or update any forward-looking statements to reflect events or circumstances after the date of this call. Lastly, during today's Q&A session, please limit yourself to a single question so that we can accommodate questions from as many of you as possible. With that, I'd like to turn the call over to Stanley Bergman.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","Good morning, everyone. Thank you, Graham. Thank you for joining us. We are pleased with our financial results for the third quarter, with sales growth accelerating in each of our portfolio segments, including solid market share gains in our distribution businesses as we are once again focused on driving growth. Now that the cyber incident is fully behind us, the strong sales performance was a key driver of the underlying improvement in our operating income. Our successful execution of the BOLD+1 strategy, including the financial performance of our investments in high-growth, high-margin businesses, also sets the foundation for strong future growth. With the continued input from KKR, we have made good progress on advancing the value creation initiatives we announced last year, last quarter actually.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","Based on our first phase of work, we believe we have the opportunity to deliver over $200 million on improvements to operating income over the next few years. We have begun executing on these multi-year projects with key areas of focus that include centralization of support services, indirect procurement, automating and simplifying processes, and accelerating sales of corporate brand products. These initiatives support a return to our long-term goal of high single-digit, low double-digit earnings growth. In addition, our board has approved an amendment to the strategic partnership agreement, giving KKR the right to increase its HSIC stock ownership up to 19.9% through purchases in the open market. Next, let me touch on a few key highlights from the quarter that advanced our BOLD+1 strategy.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","We remain on track to achieve our goal of over 50% of non-GAAP operating income coming from high-growth, high-margin businesses by the end of 2027, which is the current strategic planning cycle. In addition, we expect more than 10% coming from our corporate brands. So that's in total about 60% of our non-GAAP operating income coming from these high-growth, high-margin businesses and corporate brands. While we have continued to strategically invest in our business, we have focused recent capital deployment on accelerating the repurchase of the company shares. Our board recently approved a $750 million increase in this program, and our current expectation is to continue to execute buybacks at a similar pace to the past quarter. Building on the momentum from our successful launch of our new henryschein.com global e-commerce platform in the U.K. and Ireland, we are rolling out a phased launch in North America.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","We expect to start the European rollout in 2026. Turning now to review of our business units, I'll start with the global distribution and value-added services group. Here, we delivered solid sales growth in the third quarter across our global distribution group in both merchandise and equipment sales. In general, patient traffic remained steady throughout the quarter. Notably, sales growth accelerated in the U.S. merchandise area, which reflects strong corporate brand sales growth as well as the positive impact of targeted promotional programs we initiated during the second quarter. Resulting in a continued increase in our market share in the United States. We turn now to the U.S. dental equipment sales, which increased in the low single digits, with digital equipment delivering double-digit growth. We continue to experience a lower average selling price in digital equipment, but this is offset by strong volume growth. Traditional equipment sales declined slightly.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","However, it is important to notice we believe this is a result of the timing of installations. We introduced a new online financing program, which we believe contributed to the good growth in the U.S. equipment arena. Our order intake at DS World was good this year, and we expect this to help our equipment results in the fourth quarter. We expect to maintain overall U.S. equipment growth in the fourth quarter. Turning to the U.S. medical business, sales grew in the mid-single digits for the quarter. The growth reflects strong demand for medical products and for pharmaceuticals, and particularly in the dialysis business, along with continued strong performance in home solutions. This was partially offset by lower demand for respiratory diagnostic products and a decline in influenza vaccine sales. Our international dental merchandise sales were stable, increasing in the low single digits in constant currencies.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
"HSIC","2025-11-04","Stanley Bergman","Chairman and CEO at Henry Schein","We look at the international equipment sales. Here, we have strong growth. Value-added services sales grew modestly, with sales growth driven by consulting services, which includes our ESS revenue cycle management business. Now, let's turn to the global specialty products group. As a reminder, this group includes implants and biomaterials, as well as endodontics, orthodontics, and orthopedic products. The third quarter sales reflected continued strength in implants and biomaterials, as well as endodontics. We were particularly pleased with our implant performance, which built on last quarter's solid trends. Sales growth was in the mid-single digits in constant currency, and we believe we continue to gain market share across most implant markets, particularly the ones where we have our strength. So where we service the market, we have resources on the ground, we believe we are doing quite well in those implant markets. Sales growth was led by our value segment.","https://www.marketbeat.com/earnings/reports/2025-11-4-henry-schein-inc-stock/"
