"symbol","report_date","speaker","title","msg","source_url"
"CVS","2024-11-06",NA,NA,"Good morning, and thank you all for attending theCVS Health Third Quarter 2024 earnings call and webcast. My name is Breaker, and I will be your moderator for today. All lines will be muted during the presentation portion of the call, with an opportunity for questions and answers at the end. I would now like to pass the conference over to your host, Larry McGrath at CVS Health. Thank you. You may proceed, Larry.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","Larry McGrath","Chief Strategy Officer at CVS Health","Good morning, and welcome to the CVS Health Third Quarter 2024 Earnings Call and Webcast. I'm Larry McGrath, Chief Strategy Officer. I'm joined this morning by David Joyner, President and Chief Executive Officer, and Tom Cowhey, Chief Financial Officer. Following our prepared remarks, we'll host a question and answer session that will include additional members of the leadership team. Our press release and slide presentation have been posted to our website, along with our Form 10-Q filed this morning with the SEC. Today's call is also being broadcast on our website, where it will be archived for one year. During this call, we'll make certain forward-looking statements. Our forward-looking statements are subject to significant risks and uncertainties that could cause actual results to differ materially from currently projected results.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","Larry McGrath","Chief Strategy Officer at CVS Health","We strongly encourage you to review the reports we file with the SEC regarding these risks and uncertainties, in particular those that are described in the cautionary statement concerning forward-looking statements and risk factors in our most recent annual report filed on Form 10-K, our quarterly report on Form 10-Q filed this morning, and our recent filings on Form 8-K, including this morning's earnings press release. During this call, we'll use non-GAAP measures when talking about the company's financial performance and financial condition, and you can find a reconciliation of these non-GAAP measures in this morning's press release and in the reconciliation document posted to the investor relations portion of our website. With that, I'd like to turn the call over to David. David.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","Thank you, Larry, and good morning, everyone. Before I begin, I would like to thank Karen Lynch for her years of leadership, dedication, and strategic vision. Karen is a friend to me and many others across the CVS Health organization, and we wish her all the best. I am incredibly honored to leave CVS Health during this critical time. My entire career is deeply connected with this enterprise. When I returned to CVS Health in 2023, it was because of my strong belief in our purpose and strategy. Today, CVS Health serves 185 million people across the U.S., and we are uniquely positioned to help them navigate their healthcare journey.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","In the past few weeks since I took on this role, I have seen firsthand the dedication, pride, and commitment of our employees to CVS Health and our vision to deliver lower costs, better experiences, and better health outcomes for our members, clients, and patients. I began my career at Aetna and have spent the last 37 years managing healthcare services teams with a focus on driving innovation, strong execution, and consistent financial performance. My career has been defined by navigating through change and evolving markets. As the leader of Caremark, I engage with health plans, employers, pharmacies, and the broader healthcare delivery system in our country. These experiences gave me a diverse set of perspectives on the challenges and opportunities inherent to our system. I've mobilized teams who have helped reshape the pharmacy benefit landscape by lowering costs, increasing transparency, and driving greater accessibility.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","Many of those innovations have been made possible by integrating the assets across this enterprise. At CVS Health, each of our businesses is formidable in its own right. We have the leading PBM, the best-run pharmacy in this country, the storied franchise through Aetna, and industry-leading healthcare delivery assets. Our collection of businesses and omnichannel capabilities allow us to lead the industry forward with innovative and market-moving solutions. We were pioneers in advancing the biosimilar adoption by establishing a co-manufacturing capacity through Cordavis, making the necessary formulary changes with Caremark, and executing through our CVS specialty operations. Through our leadership and innovation, we were able to drive down commercial specialty trend for clients that use our integrated biosimilar approach to 1.3%, the lowest level in recent history. We continue to expand our product offering and drive innovation for Aetna's self-insured customers.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","Last month, we introduced SimplePay, a differentiated offering for our commercial customers that provides greater price certainty before a visit or treatment. Instead of bills and benefit details, members receive just one simple monthly statement that summarizes all of their medical and pharmacy claims. This offering provides a simpler end-to-end member experience and access to affordable, quality, innovative healthcare for members and plan sponsors. In addition, this product has been shown to drive a 60% increase in the use of top-quality providers and a 12% total cost of care savings for employers and members. Last month, CMS released its 2025 star ratings. CVS Health's integrated teams helped Aetna deliver an exceptional result.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","We built upon our strong momentum from last year, with 88% of our Medicare Advantage members in four-star plans or higher, and more than two out of every three Aetna MA members in a plan rated four and a half stars. Our commitment to outstanding service resulted in our highest-ever member experience score since CMS launched the Quality Bonus Star program in 2012. This was an impressive result, particularly as CMS continues to raise the bar on what it takes to achieve a four-star rating. Our success in this crucial area was achieved by enhancing our cross-enterprise processes and driving focused and deliberate execution, strengthening our position for the future. This framework and approach are critical elements as I look to lead this organization through the opportunities and challenges ahead. It will also require the right leadership team.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","Today, we announced two leadership appointments that will help us drive better performance across the enterprise and at Aetna specifically. First, Prem Shah, who has been running our pharmacy and consumer wellness business, is elevated to Group President and will now also be responsible for the health services segment. Second, we appointed Steve Nelson as President of Aetna. Steve is an industry veteran who has successfully led diverse managed care companies and driven innovation and growth throughout his career. Steve was a former CEO of UnitedHealthcare and held several leadership roles with a proven track record of delivering growth, profitability, improved employee engagement, and customer satisfaction. I am confident both Prem and Steve will help us advance our strategy and enable us to realize opportunities across our businesses.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","Shifting now to the results in the third quarter, we delivered adjusted earnings per share of $1.09, with total revenues for the company of more than $95 billion. CVS Health is made up of three attractive operating segments, which are all critical to the healthcare system. Two of those segments continue to perform consistent with our expectations. Our health services segment had another strong quarter while delivering on our commitments to lower drug costs to our clients and members. Our pharmacy and consumer wellness business continues to be the best-run national pharmacy in the country, increasing its share of scripts filled and delivering important community health access across the nation. Results in our healthcare benefits business remain challenged as a result of continued elevated levels of utilization. While we are clearly underperforming at HCB today, this business has incredible earnings potential and is an essential element to our strategy.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","We expect the elevated levels of utilization will continue to pressure our 2024 performance, and as a result, we are not providing a formal outlook today, although Tom will provide some comments on what we may expect directionally. I appreciate and understand your desire for us to provide guidance at this stage. Establishing credibility and earning your trust is one of my top priorities as the new leader of CVS Health. I recognize that in order to achieve that, any guidance we provide should be achievable with clear opportunities for outperformance. This must be a core principle, and in order to deliver on that commitment to you, I want to spend more time understanding the complexities and challenges facing our Aetna business, and we'll provide an update when appropriate. There are clearly both macro and company-specific factors driving the challenges within our Aetna business.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","The entire industry has seen pressure, including elevated utilization coming out of the COVID-19 pandemic and higher acuity as a result of the Medicaid redeterminations. However, I recognize that we have been more acutely impacted than others in the industry. As a result of our disappointing star ratings for 2024, we began the year with a known and temporary reimbursement challenge. When we priced our Medicare Advantage business for 2024, we clearly underestimated the medical cost. In this rising trend environment, we offered rich benefits, which exacerbated our utilization pressures and grew membership rapidly. Our individual exchange business, another area where we had a large increase in membership, has seen pockets of higher utilization and several disappointing risk adjustment updates. These miscalculations during the 2023 bid processes have significantly burdened Aetna's current results. This performance is unacceptable. However, I am confident in the long-term prospects of Aetna.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","We will make the hard choices and take the necessary actions to drive a multi-year earnings recovery at Aetna. Our benefit design and price changes in Medicare Advantage and the individual exchange are down payments on this enduring commitment. We are making marked progress to realign the Aetna organization and enhance management processes. We have taken meaningful steps to ensure the stability of the Aetna business and strengthen the leadership team. In addition to the appointment of Steve Nelson, we also recently added Andreana Santangelo, a seasoned managed care CFO, to the Aetna organization. He has also been working closely with me, Tom, and our Chief Operating Officer, Shawn Guertin, to help drive operational enhancements, improve forecasting, and greater accountability. Our risk management processes have been restructured to pull underwriting and pricing authority out of the business units and into the financial chain.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","This realignment will help improve transparency and accountability as we execute our margin recovery and drive profitable growth. Of course, Tom and I will work closely with Steve, Katrina, and Andrea to scrutinize and support the underwriting and pricing decisions going forward. We have also been making operational changes, identifying and prioritizing those gaps and inefficiencies that create the most significant impacts to performance. Our teams have been addressing the challenge of strained clinical operations by improving staffing and training. We are utilizing technology to automate and streamline processes. For example, through the power of AI, we have simplified clinical case preparation and meaningfully reduced the amount of time our care managers spend on case prep. We are improving our services and claim operations, increasing our accuracy, and reducing abrasion for members and providers.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","By utilizing technologies, we are driving greater insights across Aetna, including expanded integration with the Caremark team to understand and manage pharmacy spend and enhanced data insights to improve our ability to rapidly identify emerging utilization trends. The work in Aetna is underway, and we are confident we are taking the right steps to address the underlying issues and drive improved performance with Aetna. Turning to our pharmacy and consumer wellness business, we continue to effectively navigate a challenging and dynamic consumer backdrop. Our performance reflects strong execution and the benefit of strategic investments in our workflows and our colleagues. This quarter, we achieved another record-high retail pharmacy scripts share at 27.3%, an impressive accomplishment as we continue to optimize our store footprint.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
"CVS","2024-11-06","David Joyner","President and CEO at CVS Health","By the end of November, we will have completed our previously announced three-year store optimization initiative targeting 900 stores and expect to close approximately 270 stores in 2025. We recognize the importance of retail pharmacy in the communities we serve and will continue to be thoughtful and deliberate as we execute on our footprint optimization efforts. We are progressing our transition to the CVS CostVantage model and have reached agreements covering more than half of our total commercial scripts. The ongoing discussions with our large PBM partners remain active and constructive as we move forward with the full commercial contract implementation on January of 2025. We have also been deliberate in enhancing the durability and strength of our store operations to ensure we consistently serve our role as a community health destination. This was clear in the aftermath of the recent hurricanes.","https://www.marketbeat.com/earnings/reports/2024-11-6-cvs-health-co-stock/"
