"symbol","report_date","speaker","title","msg","source_url"
"DLR","2025-02-13",NA,NA,"Good afternoon, and welcome to the Digital Realty Fourth Quarter 2024 earnings call. Please note this event is being recorded. During today's presentation, all parties will be in listen-only mode. Following the presentation, we will conduct a question-and-answer session. Callers will be limited to one question, and we will aim to conclude at the top of the hour. I would now like to turn the call over to Jordan Sadler, Digital Realty Senior Vice President of Public and Private Investor Relations. Jordan, please go ahead.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Jordan Sadler","SVP of Investor Relations at Digital Realty","Thank you, Operator, and welcome everyone to Digital Realty's Fourth Quarter 2024 earnings conference call. Joining me on today's call are President and CEO Andy Power and CFO Matt Mercier. Chief Investment Officer Greg Wright, Chief Technology Officer Chris Sharp, and Chief Revenue Officer Colin McLean are also on the call and will be available for Q&A. Management will be making forward-looking statements, including guidance and underlying assumptions on today's call. Forward-looking statements are based on expectations that involve risks and uncertainties that could cause actual results to differ materially. For further discussion of risks related to our business, see our 10-K and subsequent filings with the SEC. This call will contain certain non-GAAP financial information. Reconciliations to net income are included in the supplemental package furnished to the SEC and available on our website.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Jordan Sadler","SVP of Investor Relations at Digital Realty","Before I turn the call over to Andy, let me offer a few key takeaways from our fourth quarter results. First, we posted a second consecutive quarter of record leasing in our zero to one megawatt plus interconnection segment, contributing to a record $1 billion of total leasing completed in 2024. The zero to one megawatt product continues to be a significant focus for Digital Realty, and we are encouraged by the growing strength and momentum of our execution. Second, in the quarter, we raised over $2 billion of new debt and equity capital, as well as over $500 million of net proceeds from asset sales and JV contributions, boosting our liquidity to over $6 billion and reducing our leverage to 4.8 times at year-end. And third, we posted 6% core FFO for share growth in the fourth quarter, foreshadowing our expectations for 2025.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Jordan Sadler","SVP of Investor Relations at Digital Realty","With that, I'd like to turn the call over to our President and CEO, Andy Power.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","Thanks, Jordan, and thanks to everyone for joining our call. 2024 was a breakout year for Digital Realty, as we capitalized on the surge in demand for data center infrastructure, positioned the company for the opportunity that lies ahead, and continued to execute on the key strategic priorities that we outlined on this call two years ago to enhance our long-term sustainable growth. Back then, we said that we would strengthen our customer value proposition, and we are doing just that. The evidence from 2024 lies in over $1 billion of bookings, a convincing new record for us, with a few seminal hyperscale transactions and nearly $250 million from the zero to one megawatt plus interconnection category, another record. Not to be outdone by new bookings, we also saw record lease renewal activity in 2024, which also approached $1 billion, with cash rents rolling up 9% on average.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","We added a record number of new logos during the year, nearly 600, while expanding our connectivity-rich solutions. We expanded the capacity of our total portfolio by over 200 megawatts in 2024, while scaling our development pipeline by over 75% to seven-plus billion of projects underway that are 70% pre-leased in order to serve our customers' growing data center needs. I also talked about innovating and integrating across our unmatched global portfolio, and we've rolled out new products and services such as High-Density Colo 2.0, the cooling solutions to support densities of up to 150 kilowatts per rack, the expansion of ServiceFabric to 38 metros around the world, and Private AI Exchange, an open platform available through ServiceFabric, which enables enterprises to seamlessly integrate their data with AI capabilities and other technology solutions.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","By combining these leading-edge solutions with our global full-spectrum strategy of connected campuses that offer colo, scale, and hyperscale capacity, customers can count on Digital Realty to meet all of their data center needs. Finally, we vowed to diversify and bolster our capital sources to expand our capacity to support our customers' growing requirements, improve capital efficiency, and reduce our leverage while increasing the returns to Digital Realty shareholders. We've done this by adding to the menu of debt and equity capital options, opportunistically recycling capital out of stabilized and non-core assets, and partnering with a diverse and high-quality list of private capital providers. Some of these activities have resulted in short-term headwinds to our results, but all of them have enhanced our operating momentum and financial position, enabling us to accelerate our bottom line per share growth.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","There is still tremendous opportunity to be seized upon as we lead this dynamic and increasingly global industry. Demand for data center capacity remains robust, both for larger AI-oriented capacity blocks and to support growth in cloud and digital transformation, while data center supply remains tight. Highlights for the fourth quarter include $100 million of new leases signed at Digital Realty, driven by a 16% sequential uplift in the zero to one megawatt plus interconnection bookings for a new record of $76 million. Unsurprisingly, greater than a megawatt bookings dipped sequentially following last quarter's blowout, though the pipeline remains strong. Looking inside our zero to one megawatt bookings, we experienced strong and balanced growth in both the Americas and in EMEA, with both regions achieving new records in the quarter.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","We continue to see a growing healthy mix of various size deployments within our Zero to One Megawatt business, reflecting how our full-spectrum strategy enables Digital to provide solutions for large and small deployments, along with everything in between. Some customers might simply need a network node to utilize our robust connectivity in a central city hub, while smaller enterprises might choose to locate some one megawatt deployment for compute or storage requirements in a facility outside of the city center. Interconnection bookings were also strong at $15 million, nearly matching last quarter's record. Finally, the strength and breadth of data center demand and the progress of our go-to-market initiatives are also reflected in our addition of a record 156 new logos. We continue to see healthy inter-region activity across our global platform.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
"DLR","2025-02-13","Andy Power","President and CEO at Digital Realty","Hyperscalers drove a portion of this activity, with our largest global customers driving record export activity to other regions around the world. EMEA exports were again at record levels, with heightened transatlantic bookings for deployments landing in the Americas. Our record bookings in 2024 pushed our backlog of booked but not yet billed leases up to roughly $800 million at year-end, providing strong revenue visibility for this year and beyond. As Jordan mentioned, we also continue to bolster our balance sheet and diversify our capital sources during the fourth quarter, with support from asset sales, hyperscale development joint ventures, and highly successful debt and equity raises. These activities helped to push leverage below five times. Matt will provide more details on these activities in just a few minutes. Over the past few weeks, we have seen commitments for data center spending continue to grow.","https://www.marketbeat.com/earnings/reports/2025-2-13-digital-realty-trust-inc-stock/"
