"symbol","report_date","speaker","title","msg","source_url"
"WDC","2024-10-24",NA,NA,"Good afternoon, and thank you for standing by. Welcome to Western Digital's Fiscal First Quarter 2025 Conference Call. Presently, all participants are in listen-only mode. Later, we will conduct a question-and-answer session. At that time, if you would like to ask a question, you may press star one on your phone. As a reminder, this call is being recorded. Now, I will turn the call over to Mr. Peter Andrew, Vice President of Financial Planning and Analysis and Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","Peter Andrew","VP of Financial Planning and Analysis and Investor Relations at Western Digital","Thank you, and good afternoon, everyone. Joining me today are David Goeckeler, Chief Executive Officer, and Wissam Jabre, Chief Financial Officer. Before we begin, let me remind everyone that today's discussion contains forward-looking statements based on management's current assumptions and expectations, and as such, does include risks and uncertainties. These forward-looking statements include expectations for our product portfolio, our business plans and performance, the separation of our flash and HDD businesses, ongoing market trends, and our future financial results. We assume no obligation to update these statements. Please refer to our most recent financial report on Form 10-K and our other filings with the SEC for more information on the risks and uncertainties that could cause actual results to differ materially from expectations. We will also make references to non-GAAP financial measures today.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","Peter Andrew","VP of Financial Planning and Analysis and Investor Relations at Western Digital","Reconciliations between the non-GAAP and comparable GAAP financial measures are included in the press release and other materials that are being posted in the investor relations section of our website. With that, I will now turn the call over to David for introductory remarks.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","Thanks, Peter. Good afternoon, everyone, and thank you for joining the call to discuss our first quarter fiscal year 2025 performance. Western Digital delivered revenue of $4.1 billion, non-GAAP gross margin of 38.5%, and non-GAAP earnings per share of $1.78. Our dedication to lasting quality and reliability through our industry-leading innovation and diversified portfolio have allowed us to proactively mix bits into the most profitable end markets, resulting in sequential revenue growth and margin improvement across both flash and HDD. These growth opportunities are bolstered by the AI data cycle, substantially increasing the long-term need for storage across both our flash and HDD markets. In flash, the proactive measures we took during the downturn, along with our disciplined capital investment strategy, have significantly enhanced Western Digital's business agility and structural margin potential.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","Combined with our flexibility and bit allocation and continued progress in bringing highly compelling enterprise SSDs to market, we mitigated headwinds in certain core end markets, achieving sequential and year-over-year revenue growth and improving flash gross margin beyond our through-cycle target. In HDD, the strength of our portfolio lies in our UltraSMR technology, which empowers us to deliver the industry's highest capacity hard drives while ensuring unmatched reliability, quality, and performance. Western Digital has achieved record HDD gross margin and the highest revenue levels in eleven quarters, driven by the growing adoption of our UltraSMR drives to meet the demand for scalable and cost-effective storage solutions. This technology is a key driver of our continued gross margin improvement, with wide adoption at two cloud customers and a third expected to ramp shortly.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","We anticipate UltraSMR will continue to grow across the U.S. and beyond, solidifying our leadership in the market over time. Now I would like to provide an update on our business separation plans. We are on track with the separation of our flash and HDD businesses. At the start of the fiscal second quarter, we completed our soft spin phase. Through meticulous planning and project management, this massive initiative has been executed exceptionally well, and the businesses have hit the ground running, thanks to the dedicated efforts of numerous teams over the past year. In the fiscal second quarter, we continued to execute our soft spin stage and are working diligently on the critical work streams needed as we make significant progress on the regulatory filings required in connection with the spin.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","Financing activities are anticipated to start soon, which will set the stage for us to execute the separation, which we expect will occur once we close the second quarter. I'll now turn to business updates. Starting with Flash, revenue reached its highest level in nine quarters. Sequentially, revenue growth was driven by continued recovery in data center, fueled by strong demand for our enterprise SSD applications, which grew 76% sequentially, reaching the highest revenue level since fiscal fourth quarter of 2022. The cloud tailwind in the quarter was offset by ongoing weakness in consumer and in client, with PC OEMs working down inventory and pushing out the refresh purchase cycle. On the technology front, we made significant progress with several hyperscaler and storage OEM qualifications, including developments with PCIe Gen 5 data center enterprise SSD and our 30- and 60-terabyte high-capacity offerings.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","In addition, we continued to enhance our premium SanDisk brand by delivering on our leadership group blueprint and core devices roadmap, expanding our platform capabilities with product partnerships developing robustly. I'll now turn to our flash outlook. As we look ahead to the fiscal second quarter, we expect a continued ramp of our new enterprise SSD offerings to supplement seasonal strength in our consumer end market. Within client, we expect PC OEM demand to stabilize, while gaming declines, as we have successfully met the demand for the holiday season. We anticipate a recovery in our consumer and client end markets as we move through calendar year 2025. Furthermore, we are seeing high demand for enterprise SSD product offering and anticipate it to serve as the primary driver for revenue growth for the full fiscal year, with qualifications doubling since the start of the fiscal fourth quarter, 2024.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","We now expect our enterprise SSD mix to comprise over 15% of our overall portfolio bit shipments in fiscal year 2025, growing at a pace significantly faster than previously anticipated. Our overall view of the flash market remains positive as we maintain supply and demand balance by remaining committed to disciplined capital spending and improving profitability through a proactive bit allocation across our most high-value end markets, increasing our exposure to enterprise SSDs. Turning to HDD. In the fiscal first quarter, we achieved record revenue in data center, reflecting the strength of our nearline portfolio and our ongoing efforts to capitalize on market tailwinds. We are operating in an environment where demand for our products exceeds supply.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
"WDC","2024-10-24","David Goeckeler","CEO at Western Digital","To address this, we are working with our customers to improve our visibility into their future needs with our largest customers on a two to six-quarter agreement cycle, aligning seamlessly with our proactive supply management strategy that supports predictable business operations and sustainable, profitable growth. This long-term visibility allows us to not only better serve our customers, but also mitigate volatility while structurally improving our through-cycle profitability. On the technology front, we see increasing adoption of our UltraSMR technology, showcasing strong confidence in our product's capabilities and benefits. In the fiscal second quarter, we launched our 32-terabyte UltraSMR and 26-terabyte CMR drives, marking the world's first commercially available hard drives with 11 disks. Developed with our time-tested and reliable ePMR and UltraSMR technologies, we expect these products to complete customer qualifications and ramp in the coming quarters, delivering a compelling TCO to our customers and improving portfolio profitability.","https://www.marketbeat.com/earnings/reports/2024-10-24-western-digital-co-stock/"
