"symbol","report_date","speaker","title","msg","source_url"
"EBAY","2025-04-30",NA,NA,"Good day, everyone. My name is Leila, and I will be your conference operator today. At this time, I would like to welcome you to the eBay First Quarter 2025 earnings call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, and if you have joined via the webinar, please use the raise hand icon, which can be found at the bottom of your webinar application. At this time, I would like to turn the call over to your speaker.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","John Egbert","VP of Investor Relations at eBay","Good afternoon. Thank you all for joining us for eBay's First Quarter 2025 earnings conference call. Joining me today on the call are Jamie Iannone, our Chief Executive Officer, and Steve Priest, our Chief Financial Officer. We're providing a slide presentation to accompany our commentary during the call, which is available through the Investor Relations section of the eBay website at investors.ebayinc.com. Before we begin, I'll remind you that during this conference call, we will discuss certain non-GAAP measures related to our performance. You can find the reconciliation of these measures to the nearest comparable GAAP measures in our accompanying slide presentation. Additionally, all growth rates noted in our prepared remarks will reflect organic, FX-neutral, year-over-year comparisons, and all earnings per share amounts reflect earnings per diluted share unless indicated otherwise.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","John Egbert","VP of Investor Relations at eBay","During this conference call, management will make forward-looking statements, including, without limitation, statements regarding our future performance and expected financial results. These forward-looking statements involve known and unknown risks and uncertainties. Our actual results may differ materially from our forecasts for a variety of reasons. You can find more information about risks, uncertainties, and other factors that could affect our operating results in our most recent periodic reports on Form 10-K, Form 10-Q, and our earnings release from earlier today. You should not rely on any forward-looking statements. All information in this presentation is as of April 30, 2025. We do not intend and undertake no duty to update this information. With that, I'll turn the call over to Jamie.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","Thanks, John. Good afternoon, and thank you all for joining us today. We started off 2025 on a strong note as our Q1 results came in ahead of expectations across all key financial metrics despite a dynamic operating environment. Our gross merchandise volume grew by nearly 2% to approximately $18.8 billion, marking our fourth consecutive quarter of positive GMV growth. Revenue increased over 1% to $2.58 billion. Non-GAAP earnings per share grew by 10% to $1.38, and we returned approximately $760 million of capital to shareholders through repurchases and cash dividends. Before I discuss our Q1 results in greater detail, I'd like to acknowledge the significant developments around cross-border trade since we last spoke with you. Tariffs and changes to certain customs requirements in the U.S. have created significant uncertainty for small businesses, while concerns over escalating prices for imported goods have weighed on consumer confidence.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","As more of these new trade policies are implemented, we are focused on helping sellers and buyers navigate these changes with as little disruption as possible. Our SpeedPak shipping program manages much of the complexity of international shipping for CBT sellers across several of our largest corridors, while ensuring compliance with customs regulations in both origin and destination countries. Items shipped through SpeedPak also have tariff duties included in the total price at checkout, creating greater transparency for buyers. For non-SpeedPak purchases, we are managing expectations for buyers by educating them on the new costs, information requirements, and potential delays associated with international shipments. This includes messaging on the view item and checkout pages on eBay, as well as localized information pages with up-to-date guidance amid rapidly changing policy.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","While our business is not immune to increased costs and friction associated with tariffs, our dynamic global supply and demand is an advantage in this environment. Our extensive selection of pre-loved and non-new and seasoned goods across a variety of categories can also help mitigate the pressure on consumers' discretionary budgets during periods of rising costs. Now let's turn to the key drivers of our Q1 results. Focus category GMV grew by over 6% in Q1 and now makes up more than one-third of our total volume globally. Collectibles was the largest contributor to growth for the second straight quarter, as year-over-year GMV growth in trading cards accelerated for the ninth straight quarter. This growth was supported by continued innovation on behalf of trading card hobbyists, building on what we believe is the industry's leading value proposition.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","Our strategic partnership with Collectors and its subsidiary PSA continues to yield benefits for our marketplace. The PSA storefront on eBay has already sold more than 500,000 trading cards since PSA launched a seamless integration enabling its customers to consign cards on eBay in Q3 of last year. In January, we incorporated PSA data directly into the item page for graded trading cards, enabling potential buyers to see the full population of cards at each grade level, allowing them to more easily evaluate their rarity. This delivered on a key request from hobbyists, and feedback to this change has been extremely positive. At the end of March, we launched an entirely new capability for buyers looking to purchase trading cards on eBay and have them shipped directly to PSA for grading.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","This saves the buyer time and effort spent on submitting grading paperwork themselves and reduces costs as one shipping leg is eliminated. Grading services from trusted third parties like PSA are a key use case for trading card enthusiasts, as grading helps them maximize the value of their collections. Our fashion category generates more than $10 billion of GMV for eBay annually. Over the past year, we have significantly improved the customer experience for luxury fashion, pre-loved apparel, and streetwear enthusiasts. We launched AI-powered shopping experiences like Explore and Shop the Look. We expanded our inventory coverage for authenticity guarantee and tapped into new sources of supply in international markets. We continue to drive consideration of eBay in fashion and reinforce our value proposition of trust and selection through full-funnel marketing, including earned media reach through our cast of eBay influencers and partnership with Cond̩ Nast.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","In Q1, we launched U.S. pre-loved apparel as a new focus category on eBay, as we made significant improvements for sellers and buyers in this category. We continue to increase trust by introducing enhanced condition grading standards for apparel during Q1. We recently launched a new AI-powered discovery experience for fashion shoppers in the U.S. and U.K., which offers a more immersive and engaging browsing experience. We replaced static browse pages with endless feeds organized by theme or subcategory, with dynamic visuals and interactive elements. These feeds progressively load content as users scroll down the page and are flexible in accommodating varying content formats, such as autoplay video, curated compositions, eBay Live events, promotions, and relevant eBay storefronts.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
"EBAY","2025-04-30","Jamie Iannone","CEO at eBay","Throughout 2025, you'll see more innovation in fashion as we work towards solidifying our platform as the trusted destination for pre-loved branded fashion products, where customers can truly shop head to toe across a breadth of brands and price points. Our geo-specific initiatives are another key building block for growth in 2025, most notably our consumer-to-consumer initiative in the U.K. As a reminder, in Q4, we introduced a suite of new capabilities to upgrade the U.K. C2C experience, including significantly reducing friction to stimulate consumer selling. This initiative has materially improved our C2C GMV trends versus our pre-launch baseline and has outperformed our internal expectations to date. We reached a major milestone in Q1 with the introduction of our U.K. buyer protection fee in February, which significantly narrowed the initial monetization gap.","https://www.marketbeat.com/earnings/reports/2025-4-30-ebay-inc-stock/"
