"symbol","report_date","speaker","title","msg","source_url"
"CMS","2024-10-31",NA,NA,"Good morning, everyone, and welcome to the CMS Energy 2024 third-quarter results. The earnings news release issued earlier today and the presentation used in this webcast are available on CMS Energy's website in the Investor Relations section. This call is being recorded. After the presentation, we will conduct a question-and-answer session. Instructions will be provided at that time. If at any time during the conference you need to reach an operator, please press the star key followed by zero. Just a reminder, there will be a rebroadcast of this conference call today beginning at 12:00 P.M. Eastern Time, running through November 7th. This presentation is also being webcast and is available on CMS Energy's website in the Investor Relations section. At this time, I would like to turn the call over to Mr. Jason Shore, Treasurer and Vice President of Investor Relations.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Jason Shore","Treasurer and VP of Investor Relations at CMS Energy","Thank you, Harry. Good morning, everyone, and thank you for joining us today. With me are Garrick Rochow, President and Chief Executive Officer, and Rejji Hayes, Executive Vice President and Chief Financial Officer. This presentation contains forward-looking statements, which are subject to risks and uncertainties. Please refer to our SEC filings for more information regarding the risks and other factors that could cause our actual results to differ materially. This presentation also includes non-GAAP measures. Reconciliations of these measures to the most directly comparable GAAP measures are included in the appendix and posted on our website, and now I'll turn the call over to Garrick.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","Thank you, Jason, and thank you, everyone, for joining us today. At CMS Energy, we deliver year over year for all stakeholders. We do that through our investment thesis. This simple but powerful model, coupled with our disciplined execution, sets us apart in the industry and has delivered more than two decades of industry-leading financial performance. Typically, I walk through that investment thesis, but today I want to offer three differentiators at CMS Energy providing confidence and visibility as we continue to strengthen and lengthen our 68% EPS growth. First, Michigan's Clean Energy Law. This law is great for our customers, the planet, and our investors. It ensures we have the right legislation in place to move from coal to clean, providing certainty for the investments we need to make in renewable energy.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","And it gives us the flexibility to either own the assets or utilize a power purchase agreement, doing what is best for our customers. Now, here's what's unique: earning a financial compensation mechanism, approximately 9% on a power purchase agreement. No other state that I'm aware of has this provision. And then add to it requirements for battery storage and an increased incentive on energy efficiency. There is a lot in this law, very little of which is in our five year investment plan, providing a strong tailwind. And we believe we can do this important work affordably for our customers. The flexibility in the law that allows for ownership or power purchase agreements, both within Michigan and outside of Michigan, provides more options for customers and ensures we can utilize lower-cost energy.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","Furthermore, it provides us the ability to replace existing, outdated, and above-market power purchase agreements with new renewable assets, which keeps costs affordable for customers. Our 20 year Renewable Energy Plan, or REP, that we'll file next month will detail our clean energy investments and plans to achieve the targets set by Michigan's Clean Energy Law. This filing will show the renewable assets needed above and beyond our 2021 Integrated Resource Plan, as well as the additional renewable assets needed to meet increasing sales demand and growth in the state. As I've shared before, Michigan's Clean Energy Law is great for all stakeholders. It provides the flexibility we need to find the most cost-effective clean energy for our customers. The second item I want to highlight is our commitment to customer reliability. I'm very proud of the comprehensive plan we have laid out in our five year, $7 billion electric reliability roadmap.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","This plan details our actions to move to second-quartile reliability performance, or SAIDI, by the end of the decade through targeted investments in our electric grid, needed investments for our customers, because we have recorded some of Michigan's highest wind speeds over the last five years, and we are seeing more frequent storm activity. This plan is deliberate and comprehensive. It improves reliability in the short term and builds in long-term resiliency, and it does it proactively versus reactively. This plan means we will begin serious efforts to underground more of our distribution wires, better align with Midwest peers, and replace more than 20,000 poles with those designed for more extreme weather. It also means investing in grid technology for more automation and machine learning to speed up restoration in weather events.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","We're also one of the first utilities east of the Mississippi to file a comprehensive wildfire mitigation plan, which lays out the investments needed to prepare for climate change. These customer investments are based on Electric Power Research Institute (EPRI) best practices and will bolster our distribution system to a level of performance our customers expect, particularly as the economy continues to electrify, and our plans have been supported. I'm pleased with the recent outcomes from the Michigan Public Service Commission and the Liberty Storm Audit, which highlights the vastness of our system, the billions of dollars and decades needed to improve it, and the importance of these strategic investments, and our customers benefit when we improve the system proactively versus reactively.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","Making these investments in the system now means we can do it at a 40%-70% lower cost compared to when we do this work following an outage. Better service, lower customer cost. This is a great story. The third point I want to make today is the nice tailwind of economic development we are seeing in our service area. I'm excited and encouraged about the true renaissance underway in Michigan. The big story across the industry is sales growth brought by data centers. We're seeing the same, and we're happy to talk more about data centers. Our story is different, and in my opinion, better. In Michigan, we are seeing a manufacturing renaissance bolstered by onshoring, unique state attributes, and the Inflation Reduction Act and the CHIPS and Science Act.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","And we love manufacturing growth because it brings jobs, supply chains, commercial activity, housing starts, and residential growth, where there is greater benefit for the state. We recently updated this slide to highlight several new and diversified examples. Corning, expanding and investing up to $900 million and bringing nearly 1,100 jobs to the state. This is the sort of growth we'd like to see: significant Michigan investment and job growth. Saab has expansion plans for an integration and assembly facility. Saab is new to the state, but adding to the nearly 4,000 businesses engaged in defense and aerospace work in Michigan. Two new examples, among many, that speak to the diversified manufacturing growth we are realizing. Over 700 megawatts of signed contracts in 24 months and growing.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
"CMS","2024-10-31","Garrick Rochow","President and CEO at CMS Energy","Our economic development pipeline continues to look promising, with over six gigawatts of load looking to either move to or expand in our state, 60% of which is manufacturing. As I mentioned earlier, our Renewable Energy Plan will conservatively reflect our updated load growth forecast based on the strong economic development tailwind we are experiencing. We work hard every day to win our customers' business, and we are honored when businesses see the value in investing in our state and our service territory. So let's take a look at the regulatory calendar for the year. As I shared last quarter, our financial-related regulatory outcomes are known for the year, given the constructive March electric rate order and the approved gas rate case settlement. This positions us well as we navigate the last quarter of 2024.","https://www.marketbeat.com/earnings/reports/2024-10-31-cms-energy-co-stock/"
