"symbol","report_date","speaker","title","msg","source_url"
"URI","2025-04-23",NA,NA,"Morning and welcome to the United Rentals investor conference call. Please be advised that this call is being recorded. Before we begin, please note that the company's press release, comments made on today's call, and responses to your questions contain forward-looking statements. The company's business and operations are subject to a variety of risks and uncertainties, many of which are beyond its control, and consequently, actual results may differ materially from those projected. A summary of these uncertainties is included in the safe harbor statement contained in the company's press release. For a more complete description of these and other possible risks, please refer to the company's annual report on Form 10-K for the year ended December 31, 2024, as well as to subsequent filings with the SEC. You can access these filings on the company's website at www.unitedrentals.com.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23",NA,NA,"Please note that United Rentals has no obligation and makes no commitment to update or publicly release any revisions to forward-looking statements in order to reflect new information or subsequent events, circumstances, or changes in expectations. You should also note that the company's press release and today's call include references to non-GAAP terms such as free cash flow, adjusted EPS, EBITDA, and adjusted EBITDA. Please refer to the back of the company's recent investor presentations to see the reconciliation from each non-GAAP financial measure to the most comparable GAAP financial measure. Speaking today for United Rentals is Matt Flannery, President and Chief Executive Officer, and Ted Grace, Chief Financial Officer. I will now turn the call over to Mr. Flannery. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","Thank you, Operator, and good morning, everyone. Thanks for joining our call. Yesterday afternoon, we were pleased to report our first quarter results, which reflected a solid start to the year. We saw growth across both our industrial and construction end markets, demand for used equipment remains healthy, and importantly, our customers continue to feel good about their own outlooks. As you've heard me discuss before, a key element of our strategy is being the partner of choice for our customers. Thanks to the team's steadfast commitment to this, which always includes putting safety first, we delivered first quarter records across revenue and adjusted EBITDA. This is facilitated by our focus on operational excellence and innovation. As you saw through our reaffirmed guidance, 2025 is on track to be another year of profitable growth, reinforced by the momentum we've carried into our busy season.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","Today, I'll review our first quarter results, followed by why we feel confident in our 2025 guidance. Finally, I'll discuss how we think about managing the business for the long-term success. Ted will discuss financials in detail before we open up the call to Q&A. With that, let's start with the first quarter results. Our total revenue grew by 6.7% year over year to $3.7 billion. Within this, rental revenue grew by 7.4% to $3.1 billion, both first quarter records. Fleet productivity increased to 3.1% as reported and 1.9% pro forma for Yak, which we've now lapped. Adjusted EBITDA increased to a first quarter record of $1.7 billion, translating to a margin of nearly 45%. Finally, adjusted EPS came in at $8.86. Now, let's turn to customer activity. We continue to see growth in both our Gen Rent and specialty businesses.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","In fact, specialty rental revenue grew 22% year over year and 15% pro forma for Yak. We opened eight specialty cold starts in the first quarter and expect to open at least 50 this year. By vertical, our construction end market saw solid growth across both infrastructure and non-res construction, while our industrial end market saw particular strength within power and chemical processing. We continue to see new projects kicking off, with a few recent examples including data centers, pharmaceuticals, airports, and industrial manufacturing facilities. Now, turning to the used market, we sold over $740 million of OEC, which was a first quarter record. The demand for used equipment remains healthy, and we're on track to sell an estimated $2.8 billion of fleet this year. We spent over $700 million on rental CapEx in the quarter in response to solid customer demand.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","As you'd expect, growth continues to be led by large projects where all elements of our strategy position us to be the partner of choice. We drove free cash flow of nearly $1.1 billion, setting us up for another year of strong cash generation, which we view as a hallmark of the company. The combination of our industry-leading profitability, capital efficiency, and the flexibility of our business model enables us to generate meaningful free cash flow throughout the cycle and, in turn, allocate that capital in ways that allow us to create long-term shareholder value. Finally, capital allocation. Priority number one for us is funding growth while maintaining a healthy balance sheet. After the organic growth we supported in the quarter, we returned nearly $370 million to shareholders through a combination of share buybacks and our dividend.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","Our leverage of 1.7 times remained towards the lower end of our targeted range, leaving plenty of dry powder to support both inorganic growth and to return excess capital to our shareholders. To this point, following the completion of our prior share repurchase authorization last month, I'm pleased to share that our board has approved a new $1.5 billion program, as Ted will discuss shortly. Now, let's turn to the rest of 2025. As evidenced by our reiterated guidance, our expectations for the year are unchanged. The year is off to a start we anticipated, while feedback from the field continues to be optimistic, particularly for large projects. The momentum we're carrying into our busy season, along with backlogs and our customer confidence index, are all supportive of our outlook. I'll note we've not seen a change in customer outlooks for the balance of 2025.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","With all that said, we understand the recent concerns around the macro uncertainty. If things change, we feel confident in our ability to react to best support both our customers and our stakeholders. As we think about the long term, our strategy is built on how we can competitively differentiate ourselves and outpace the market. When we listen to the voice of the customer, we gain additional conviction that our one-stop shop offering is critically important. The power of cross-selling lets us take our long-established relationships and accelerate our growth by meeting our customer demands with both our gen rent and specialty products. When we layer on our technology offerings, we are able to provide our customers a truly unique experience.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","While we've had specialty as part of our business mix for many years, we believe this growth engine has a lot of runway ahead, supported by both geographic white space and additional products and adjacencies that we can add to our portfolio to continue to better serve our customers. To bring this to light, we have a large national account customer with a long-standing relationship, primarily with our gen rent team. As we dug into how we could better serve the customer's needs, we learned we had the opportunity to be a better partner. This included not just providing additional products, but also innovating together, such as feeding information directly into their own internal tracking systems. Through our partnership, we learned more about the customer's requirements and added specialty products to fit the bill.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
"URI","2025-04-23","Matt Flannery","President and CEO at United Rentals","To make a long story short, over just two years, we've increased their spend with us by 12 times by becoming an enterprise of solutions. Specialty has increased from 10% of their spend with us to 40%. This example is another strong proof point of our go-to-market strategy. In closing, we remain focused on being the best partner to our customers. We're on track for another year of profitable growth, and we believe the longer-term outlook we see, combined with our business model, strategy, capital discipline, and our competitive advantages, will allow us to generate compelling shareholder returns. With that, I'll hand the call over to Ted, and then we'll take your questions. Ted, over to you.","https://www.marketbeat.com/earnings/reports/2025-4-23-united-rentals-inc-stock/"
