"symbol","report_date","speaker","title","msg","source_url"
"HII","2025-10-30",NA,NA,"Ladies and gentlemen, thank you for standing by and welcome to the third quarter 2025 HII earnings conference call. At this time, all participants are in listen-only mode. After the speaker's presentation, there will be a question and answer session. To ask a question during the session, please press star followed by one on your telephone keypad. If you change your mind, press star followed by two. Please be advised that today's conference is being recorded. If you need any further assistance, press star followed by zero. I would now like to hand the call over to Christ Thomas, Vice President of Investor Relations. Mrs. Thomas, you may go ahead.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Christie Thomas","VP of Investor Relations at HII","Thank you, operator, and good morning, everyone. Welcome to the HII third quarter 2025 conference call. Matters discussed on today's call that constitute forward-looking statements, including our estimates regarding the company's outlook, involve risks and uncertainties that reflect the company's judgment based on information available at the time of this call. These risks and uncertainties may cause our actual results to differ materially. Additional information regarding these factors is contained in today's press release and the company's SEC filings. We will also refer to certain non-GAAP financial measures. For additional disclosures about these non-GAAP measures, including reconciliations to comparable GAAP measures, please see the slides that accompany this webcast which are available on the Investor Relations page of our website at ir.hii.com. On the call today are Chris Kastner, President and Chief Executive Officer, and Tom Seeley, Executive Vice President and Chief Financial Officer. Now I'll turn the call over to Chris.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","Thanks, Christy. Good morning, everyone. The United States Navy recently celebrated its 250th birthday and the U.S. Marine Corps will do the same in the coming weeks. I would like to start today by thanking both of them for their enduring service to our country and their commitment to our national defense. Thank you for all that you have done and all that you do to protect us and future generations. Moving on to the third quarter, I'll start by discussing our results and division highlights and provide an update on our operational initiatives. Tom will provide some details on our financial performance and outlook. Before I begin, I'd like to reiterate our commitment to accelerate shipbuilding construction to meet our customers' requirements.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","We continue to support the identification of strategies to increase throughput across our shipbuilding programs and are working closely with our customer and partners to achieve this important mission. Now turning to our results, this morning we reported record third quarter sales of $3.2 billion and diluted earnings per share of $3.68. Shipbuilding sales growth of 18% year-over-year was driven by our Shipbuilding division's focus on increasing throughput in our shipyards and supported by broader efforts underway to rebuild the U.S. maritime and industrial base. Likewise, 11% sales growth at Mission Technologies was driven by our team's continued focus on delivering innovative solutions, including growth in the critical areas of C5ISR, cyber electronic warfare and space, and live virtual constructive training as well as unmanned systems. Demand for our products and services remains strong.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","Third quarter contract awards were $2 billion and our backlog is $56 billion, of which $33 billion is funded. At Newport News, we continue to make progress on submarines and aircraft carriers. The last two Virginia-class Block IV submarines are in the water, with SSN-798 Massachusetts having recently completed sea trials and preparing for delivery this year. As for our carrier program, CVN-79 Kennedy continues to make progress in its testing program and we expect to conduct the ship's first sea trials around the end of the year. Shipbuilders are installing the large components that have now been received on CVN-80 Enterprise, which will allow erection progress to accelerate. Moving to Ingalls, in the third quarter we successfully completed builders trials for DDG-128 Ted Stevens, bringing her a step closer to acceptance trials and delivery.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","Our amphibious warship construction continues to make progress with both LHA-8 Bougainville and LPD-30 Harrisburg going through integration and testing in support of trials next year. At Mission Technologies, we had another strong quarter of sales at $787 million along with a book-to-bill of 1.25 and announced key strategic partnerships around future opportunities. First, we joined forces with Babcock International to integrate HII's unmanned underwater vehicles with the Babcock submarine weapon handling and launch systems while ARV 620 was validated for torpedo tube deployment. This will position our torpedo tube launch and recovery solutions for international markets. We also announced a partnership with Shield AI to accelerate cross-domain and modular mission autonomy solutions and a partnership with Telus to develop advanced autonomous undersea mine countermeasure capabilities.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","Additionally, we unveiled the Romulus family of unmanned surface vessels powered by our Odyssey Autonomy software and have started building the flagship Romulus 190. Romulus is one example of numerous projects and contracts underway in Mission Technologies that combines internally developed technology with world-class partner technology to create best-of-breed technology solutions for the warfighter. Now shifting to an update on our operational initiatives, both Ingalls and Newport News performance was stable to slightly improving in the quarter as we continue to work through ships that were contracted prior to COVID. As I previously indicated, during the contract mix transition from pre-COVID contracts to our newly awarded contracts, we continue to expect some choppiness in performance. The first operational initiative, increasing throughput, is showing improvement over 2024.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","Initial indications align with our expectation that the HII and Navy investments in workforce, infrastructure, and supply chain will have a positive impact on throughput trajectory. Our updated expectation is to achieve approximately 15% throughput improvement for the full year 2025 as throughput improvements have accelerated throughout the year. From a labor perspective, we have hired over 4,600 shipbuilders year to date and our retention rates have improved at both shipyards. At Newport News, we've seen an increase in experienced hires following the wage investment this summer and increased hiring from regional workforce development pipelines, which provides more proficient incoming shipbuilders. These are important steps to stabilize and level up the experience of our workforce. Also, we are seeing success and expansion of the industrial base with our distributed shipbuilding strategy, resulting in significant outsourcing taking place at 23 partners and growing.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","With the Navy's support, we are partnering with shipyards and fabricators in multiple states to grow throughput and improve schedule adherence for all of our shipbuilding programs. The second operational initiative is our $250 million annualized cost reduction effort, and we remain on track to achieve this target. The final operational initiative is achieving our new contract awards. Having completed the negotiations for the significant award of two submarines earlier this year, our teams have pivoted to negotiations of block 6 and the next Columbia-class award and are working towards having agreements in place late this year. Shifting to activities in Washington, the new fiscal year began with a lapse in appropriations, and as a result, many activities of the federal government have halted.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
"HII","2025-10-30","Chris Kastner","President and CEO at HII","I will note in the Department of War shutdown guidance, shipbuilding is one of six departmental priorities that should be supported to the extent possible with available funds. To date, our programs in shipbuilding have been fully supported, and we've seen no impact to normal operations. We have had immaterial impact to Mission Technologies. We are watching those programs closely as they are more likely to be impacted by budget timing. We continue to support completion of the FY 2026 appropriations process as soon as possible to minimize the impact that a lapse in funding could have on our programs.","https://www.marketbeat.com/earnings/reports/2025-10-30-huntington-ingalls-industries-inc-stock/"
