"symbol","report_date","speaker","title","msg","source_url"
"WAT","2025-05-06",NA,NA,"Good morning. Waters Corporation, first quarter 2025 financial results conference call. All participants will be in listen-only mode until the question-and-answer session begins. This call is being recorded. If you have any objections, please disconnect at this time. It is now my pleasure to turn the call over to Mr. Caspar Tudor, Head of Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Caspar Tudor","Head of Investor Relations at Waters Corporation","Thank you, Leila, and good morning, everyone. Welcome to Waters Corporation's first quarter earnings call. Joining me today are Dr. Udit Batra, our President and Chief Executive Officer, and Amol Chaubal, our Senior Vice President and Chief Financial Officer. Before we begin, I will cover the cautionary language. In this conference call, we will make forward-looking statements regarding future events or future financial performance of the company. We will provide guidance regarding possible future results, as well as commentary on potential market and business conditions that may impact Waters Corporation over the second quarter of 2025 and full year 2025. These statements are only our present expectations, and actual events or results may differ materially. Please see the risk factors included within our Form 10-K, our Form 10-Qs, and the cautionary language included in this morning's earnings release. During today's call, we will refer to certain non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Caspar Tudor","Head of Investor Relations at Waters Corporation","Reconciliations to the most directly comparable GAAP measures are attached to our earnings release and in the appendix of the slide presentation accompanying today's call. Both are available on the Investor Relations section of our website. Unless stated otherwise, references to quarterly results increasing or decreasing are in comparison to the first quarter of fiscal year 2024. In addition, unless stated otherwise, all year-over-year revenue growth rates and ranges given on today's call are on a comparable constant currency basis. Finally, we do not intend to update our guidance, predictions, or projections except as part of a regularly scheduled earnings release or as otherwise required by law. Now, as we begin, thank you all for joining us today. We have structured today's call to highlight how Waters' resilient growth profile, operational agility, and innovation are driving strong results as we navigate a dynamic global environment, including recently announced tariffs.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Caspar Tudor","Head of Investor Relations at Waters Corporation","Udit will start by framing our key messages and cover how we are well-positioned to deliver against our 2025 objectives. Amol will then walk you through a detailed review of our first quarter performance, updated guidance, and the actions we have taken to stay ahead of evolving external conditions. After their remarks, we will open the lines for questions. With that, let me turn it over to Udit.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","Thank you, Caspar, and good morning, everyone. We had a fantastic start to the year. Double-digit instrument growth drove our performance as customer spending, especially in pharma, exceeded expectations. Demand remained solid across all our end markets and geographies. These results are driven by our strong commercial execution and our steadfast commitment to operational excellence. I want to take a moment to thank all my colleagues for their dedication and outstanding performance. Their focus and agility enable us to accelerate the benefits of pioneering science and deliver solid financial outcomes, especially in dynamic market conditions. We have consistently shown leadership through turbulent times. Just look at the last 5 years where we have successfully navigated the pandemic, the global chip shortage, supply chain disruptions, and inflationary pressures. Through it all, Waters has become a stronger company by focusing on three guiding principles.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","First, we stay close to our customers and work tirelessly and with urgency to support their evolving needs as conditions shift. Second, while mitigating risks, we never lose sight of opportunities to enhance our competitive position. We remain focused on launching differentiated new products and investing in our capabilities. Third, we redouble support and communication with our colleagues who are dedicated to the mission of the company and lead with an indomitable spirit. Staying true to these principles has enabled us to consistently deliver robust results over the past 5 years. Today, we continue to navigate a dynamic macro environment. However, our resilient downstream-weighted revenue profile and swift operational actions position us to deliver high single-digit earnings growth this year, even after accounting for newly announced tariffs. Amol and I will discuss these points in greater detail later in the call. Turning now to our results.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","In the first quarter, sales grew 4% as reported and 7% in constant currency, landing at the high end of our guidance. Instruments grew 11%, led by mid-teens sales growth in both liquid chromatography and mass spectrometry, with strength driven by pharma and industrial end markets. Recurring revenue increased mid-single digits, which is in line with our expectations for a quarter with two fewer days. In China, sales grew 5%, led by double-digit growth in both industrial and academic and government applications. Earnings per share were also at the high end of guidance, supported by strong sales volume and an improvement in FX. Non-GAAP earnings per share were $2.25, reflecting low single-digit growth and high single-digit growth in constant currency terms. On a GAAP basis, EPS was $2.03. Our 11% instrument growth was led by mid-teens growth in pharma.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","Additionally, order growth exceeded sales growth, highlighting continued momentum in our business. These results underscore our strong position in attractive secular markets, particularly as customer CapEx spending has continued its recovery. As I highlight the drivers behind our strength, our message remains consistent. First, our team is executing well in an analytical instruments market, still early in its recovery. Second, our revitalized portfolio closely aligns with customer needs at a time when instruments are ripe for replacement. Our innovation remains highly differentiated in markets that we serve, commanding premium pricing. Thirdly, our leadership position in downstream high-volume applications enables us to capture growth across an exciting mix of fast-growing testing opportunities, such as those of GLP-1, PFAS, and genetics testing. Innovation played a key role this quarter, reflecting in excellent customer adoption of our new products.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","In liquid chromatography, sales of our Alliance iS HPLC system more than tripled year-over-year, driven by growth across replacement and greenfield opportunities. Within replacement, customers are upgrading to leverage its smart features, flexibility, and productivity advantages. At the same time, adoption at new and expanding manufacturing facilities within pharma is particularly strong, notably among large U.S. CapEx investments. We recently expanded the Alliance iS Bio HPLC product line by adding the photodiode array detector to enhance spectral insights for biopharma development and QC. Waters now has four configurations of Alliance iS HPLC platform to support routine quantitative analysis and expanded spectral analysis of small and large molecules in development and in QC. Mass spectrometry growth was led by our Xevo TQ Absolute System, our top-selling mass spec again this quarter, achieving sales growth of over 50%.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
"WAT","2025-05-06","Udit Batra","President and CEO at Waters Corporation","Its superior sensitivity and sustainable design continue to drive demand, particularly in high-volume testing areas such as food and environmental analysis and pharma quantitation. In our chemistry consumables business, MaxPeak Premier Columns again significantly exceeded expectations, growing more than 30%. These products provide excellent solutions for separating complex molecules such as biologics and novel therapeutic modalities. Our differentiated portfolio continues to command strong pricing. As we look ahead, this combination serves us well as a mechanism to provide offsets and capitalize on new demand opportunities in a dynamic global environment. Our unique exposure to emerging high-volume testing drivers also contributed meaningfully to our growth this quarter. For GLP-1 testing, we saw continued demand of our PATROL UPLC system. This advanced analytical tool has become indispensable for in-process testing of these peptides during manufacturing.","https://www.marketbeat.com/earnings/reports/2025-5-6-waters-co-stock/"
