"symbol","report_date","speaker","title","msg","source_url"
"FCX","2026-01-22",NA,NA,"Ladies and gentlemen, thank you for standing by, and welcome to the Freeport-McMoRan fourth quarter conference call. At this time, all participants are in the listen-only mode. Later, we will conduct a question-and-answer session. If you wish to ask a question during the Q&A session, press star one on your touchtone phone. If you require assistance during the conference, please press star zero. I would now like to turn the conference over to Mr. David Joint, Vice President, Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","David Joint","VP of Investor Relations at Freeport-McMoRan","Thank you, Regina, and good morning, everyone. Welcome to the Freeport conference call. Earlier this morning, FCX reported its fourth quarter and full year 2025 operating and financial results. A copy of today's press release with supplemental schedules and slides is available on our website, fcx.com. Today's conference call is being broadcast live on the internet. Anyone may listen to the conference call by accessing the webcast link on our homepage. In addition to analysts and investors, the financial press has been invited to listen to today's call. A replay of the webcast will be available on our website later today. Before we begin our comments, we'd like to remind everyone that today's press release and certain of our comments on the call include non-GAAP measures and forward-looking statements, and actual results may differ materially.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","David Joint","VP of Investor Relations at Freeport-McMoRan","Please refer to the cautionary language included in our press release and slides and to the risk factors described in our SEC filings, all of which are available on our website. Also on the call with me today are Richard Adkerson, Chairman of the Board, Kathleen Quirk, President and Chief Executive Officer, Mare̩ Robertson, Executive Vice President and CFO, and other members of our management team. Richard will make some opening remarks. Kathleen will review our slide materials, and then we'll open up the call for questions. Richard?","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Richard Adkerson","Chairman of the Board at Freeport-McMoRan","Thanks, David. Thank each of you for joining our call today. We're pleased to report positive results for our fourth quarter. 2025 was a truly eventful year. Recent copper prices have been strong in the face of uncertainties from global trade, tariffs, and geopolitical conflicts. The future for copper remains bright. Kathleen will report on the notable progress we have achieved during the fourth quarter following the September mudflow event at PTFI. It is impressive and provides our organization confidence about our future. PTFI has a well-designed plan to recover. Now we must execute, and we will. Our long-term strategy commitment for Freeport to be foremost in copper remains intact. With our high-quality assets, our strong financial position, and our highly motivated, confident global team, I'm personally enthusiastic and confident about Freeport's ability to create significant value for our shareholders and all of our stakeholders. Kathleen?","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","Thank you, Richard. I'm going to be referring to our slide materials. We're very pleased to be here today to report on our fourth quarter results, review our 2025 performance, and update you on our initiatives, projects, and outlook for the future. Starting with slide three and looking back on our performance in 2025, our team demonstrated resilience in overcoming challenges and achieved meaningful progress on several initiatives to support a strong foundation and position the company for a positive long-term future centered on value creation. As we look ahead, we're strongly positioned as an experienced global leader with compelling opportunities to enhance values through our ongoing operational initiatives and future prospects for substantial cash flow generation, which support investments in profitable growth and returns to shareholders.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","We show our annual information on the slide on slide three on copper sales, unit costs, and financial metrics for the year 2025. We finished the year strong with copper sales and net unit cash costs slightly better than our adjusted guidance for the year. Despite the Grasberg incident, which impacted annual copper volumes by approximately 10% compared to our plan going into 2025, our consolidated unit net cash costs for the year of $1.65 per pound were within 3% of our guidance going into the year, and Adjusted EBITDA of nearly $10 billion for 2025 was similar to 2024 levels. From a big picture standpoint, the results demonstrate the benefits of our diversified portfolio of copper assets. It's clearly evident in our strong fourth quarter financial results, the strength of our Americas business in this environment.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","I'm going to turn to our focus areas for 2026, where we summarize on slide four our priorities. The first is execution. This is a hallmark of the Freeport culture. We're committed to maintaining Freeport's long track record for successful execution, carefully planning our work and bringing relentless focus and energy on achieving our plans. The Grasberg incident was humbling, but our team has risen to the challenge and is dedicated to safely and sustainably restoring our operations as we go through 2026. Across the business, we're sharply focused on delivering our planned volumes, meeting our cost targets, executing capital projects safely and efficiently, and on maintaining discipline each day on the underlying metrics which drive our results, managing risk, overcoming unforeseen challenges, and staying on top of what matters both for the short term and the long term.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","A second key focus area is crystallizing value in our leach opportunity. This is a meaningful value driver for our business, given the opportunity for near-term low-cost growth. The work we have done in recent years positioned us to scale production in the coming years, and we're targeting a 40% increase in 2026 from this initiative on our path to achieving 800 million pounds per annum. Third, we're adopting innovation, automation, and new technologies to drive enhancements to reliability, efficiencies, and overall operational performance. These initiatives show promise for significant value as we work to reduce costs and enhance growth and profitability of our US business. We have a robust profile of organic growth options and will continue to advance these initiatives during the year. We've got three projects, major projects in the Americas that provide optionality for future growth.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","As we go forward, our team is focused on opportunities to increase margins and cash flows through greater efficiencies and disciplined investments in long-term growth. Turning to the markets on slide five, prices on the LME during 2025 traded in a broad range between $3.87 per pound and $5.68 per pound, averaging $4.51 per pound for the year. On the US COMEX exchange, average prices for the year were slightly higher, although the differential is not significant year to date in 2026. Prices have risen significantly in recent months, with current LME prices approximately 30% higher than the 2025 average. During 2025, copper prices largely tracked macro sentiment, market-weighted US dollar weakness, expected US rate cuts, accelerating AI and technology-driven demand, and Chinese stimulus against mixed economic data, uncertainty around tariff and trade policy, economic pressures in China, and elevated geopolitical risk.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","At a micro level, demand benefited from secular demand trends associated with electrification and AI data centers and offset the impact of weakness in private construction and more cyclical sectors. Supply disruptions in copper and regional trade distortions, which drove significant material to the US, also impacted copper markets during 2025. In the US, our customers are reporting that data center demand represents the most significant source of growth for power cable and building wire. This growing sector is offsetting weakness in traditional demand sectors in residential construction and autos. Demand from China continues to be supported by significant investments in the electrical grid and continued growth in China's production of electric vehicles. China's demand for copper continued to grow during 2025. As you'll see in this chart, global inventories of copper on exchanges have risen in recent months during a period of sharp increases in copper prices.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
"FCX","2026-01-22","Kathleen Quirk","President and CEO at Freeport-McMoRan","Most analysts are projecting that the market will be tightly balanced during 2026, with some projecting deficits and others small surpluses. Copper's superior conductivity makes it the metal when it comes to electrification. Massive investment in the power grid, renewable generation, technology infrastructure, and transportation are driving increased demand for copper and forecast call for above-trend growth and demand for the foreseeable future. As we review the fundamentals, we continue to expect the market will require additional copper supplies to meet growing demand, and at Freeport, we're well-positioned to supply copper reliably and responsibly to a growing market. You've probably seen by now the recent report from S&P Global, which was released earlier this month. On slide six and seven, we published some highlights of the report. It was a new study which evaluated the role of copper in the age of artificial intelligence.","https://www.marketbeat.com/earnings/reports/2026-1-22-freeport-mcmoran-inc-stock/"
