"symbol","report_date","speaker","title","msg","source_url"
"LEN","2026-06-11",NA,NA,"Welcome to Lennar's second quarter earnings conference call. At this time, all participants are in a listen-only mode. After the presentation, we will conduct a question-and-answer session. Today's conference is being recorded. If you have any objections, you may disconnect at this time. I will now turn the call over to David Collins for the reading of the forward-looking statement.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","David Collins","VP and Controller at Lennar","Thank you. Good morning, everyone. Today's conference call may include forward-looking statements, including statements regarding Lennar's business, financial condition, results of operations, cash flow, strategies, and prospects. Forward-looking statements represent only Lennar's estimates on the date of this conference call and are not intended to give any assurance as to actual future results. Because forward-looking statements relate to matters that have not yet occurred, these statements are inherently subject to risks and uncertainties. Many factors could affect future results and may cause Lennar's actual activities or results to differ materially from the activities and results anticipated in forward-looking statements. These factors include those described in our earnings release and our SEC filings, including those under the caption Risk Factors contained in Lennar's Annual Report on Form 10-K, most recently filed with the SEC. Please note that Lennar assumes no obligation to update any forward-looking statements.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11",NA,NA,"I would now like to introduce your host, Mr. Stuart Miller, Executive Chairman and CEO. Sir, you may begin.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","Very good. Good morning, everybody, and thanks for joining today in this interesting day with the SpaceX IPO at the same time. I'm in Miami today together with Diane Bessette, our Chief Financial Officer, David Collins, who you just heard from, our Controller and Vice President, Katherine Martin, our Chief Legal Officer, and Jim Parker, our newly promoted and appointed Chief Operating Officer. Congratulations, Jim. David Grove, our newly promoted and appointed Executive Vice President for Homebuilding. Congratulations, David. Jim and David jointly oversee our operations across the country, and while they will not be giving opening remarks today, they will participate in our question-and-answer period. As usual, I'm going to give a macro and strategic overview of the company, although abbreviated, and Diane will give a detailed financial overview and guidance for the third quarter of 2026.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","We'll open it up for questions, as always, please limit yourself to one question and one follow-up. Before we begin, I'd also like to reiterate so that all of you know that we have now posted our new investor deck on our website today at investors.lennar.com in conjunction with this earnings release. This deck was created in an effort to give investors, analysts, and interested parties a clear view of the Lennar transformation and strategy that we've described consistently on these calls over the past years. From our volume-based operating strategy to our asset-light manufacturing model, from our technology platform and initiatives to our path to margin recovery and long-term value creation, we've tried to tie it all together for your review and comment. We believe it provides important context for understanding where we are, where we're going, and why.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","With that said, let me begin by saying that we're pleased to report Lennar's second quarter 2026 results that we believe represents strong operational execution, even as the macro backdrop has grown more complicated and sometimes erratic since our last earnings report. In the second quarter, we delivered 20,519 homes around the midpoint of our guidance, we generated 21,749 homes or new orders near the high end of our guidance. Our gross margin improved sequentially to 15.6%, our net margin increased to 6.4%, and our earnings per share came in at $1.31, excluding mark-to-market items. Notably, our sales incentive rate on deliveries was 12.9% this quarter, down from 14.1% in quarter one and down from 14.5% in Q4 2025. After three years of incentive levels that have been generally increasing, we're starting to see the first real and potentially sustainable decline.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","While this decline may be a leading indicator of margin recovery, the overall market remains choppy as economic and geopolitical crosscurrents mark the way forward. Against this backdrop, let me briefly discuss the overall housing market. The macroeconomy has grown more complex since the first quarter earnings call, I want to spend a few minutes reviewing the specific dynamics shaping the market right now. First, mortgage interest rates have remained stubbornly elevated in the mid to upper 6% range throughout our second quarter. The 30-year fixed rate sits between 6.4% and 6.5% today, modestly better than a year ago, where rates were closer to 7%, but still at a level that keeps affordability challenged. At 6.5%, the buyer at the median family income is spending above 30% of gross income on their housing needs. Buyers are stretching, our incentives are enabling purchase.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","The fact that incentives are declining, although slowly, is an encouraging signal, even though the math has not yet changed meaningfully yet for the buyer. The inflation picture has also become more complicated. The May CPI report, released recently, showed headline inflation at 4.2% year-over-year, up from 3.8% in April, and the highest reading since early 2023. The primary driver was energy, as gasoline prices increased 7% in May and are up over 40% year-over-year, driven by disruptions to oil supply tied to the Iran conflict. While this is possibly just an energy-driven spike, as core CPI came in at 2.9% actually decelerated on a monthly basis, higher energy prices touch every part of the American household budget and tend to depress consumer confidence.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","When families see gasoline at the pump and electricity bills climb, their willingness to make major financial commitments, including purchasing a home, moderates even when their underlying desire to own has not changed. This inflation backdrop most likely has taken the Federal Reserve off the table as a near-term source of relief. The federal funds rate remains at 3.5%-3.75%. There's little probability of a cut in the immediate future. Rate cuts, when they eventually do come, it can be meaningful tailwinds for our business. We are not waiting for them. We are building and executing to the market as it currently exists. On the employment side, the economy remains solid on the surface, but consumer psychology is being affected by anxieties about the long-term security of jobs at a time of rapid technology change.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
"LEN","2026-06-11","Stuart Miller","Executive Chairman and CEO at Lennar","The advance of artificial intelligence is raising questions about the future of employment across a wide range of the workforce. We see this in buyer behavior. Traffic is inconsistent, intent is high. Urgency to close is still measured and deliberate rather than confident and energized. We continue to make homeownership achievable and attractive through value-oriented pricing, compelling financing, and the speed and quality of our customer engagement. While currently urgency is lacking, we continue to build the platform to serve buyers even better in a normalized market. On the cost side of our world, a broad range of commodities and building products continue to create headwinds across the industry. We have managed these pressures effectively as construction cost per square foot improved to $81 this quarter, down 7% from a year ago. The cost environment remains fluid and bears close attention. Additionally, labor costs require oversight as well.","https://www.marketbeat.com/earnings/reports/2026-6-11-lennar-co-stock/"
