"symbol","report_date","speaker","title","msg","source_url"
"MAA","2026-02-04",NA,NA,"Good morning, ladies and gentlemen, and welcome to the MAA fourth quarter and full year 2025 earnings conference call. During the presentation, all participants will be in a listen-only mode. Afterwards, the company will conduct a question-and-answer session. As a reminder, this conference call is being recorded today for 05/05/2026. As a reminder, in consideration of time, we have a one-question limit. I will now turn the call over to Andrew Schaeffer, Senior Vice President, Treasurer, and Director of Capital Markets of MAA, for opening comments.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Andrew Schaeffer","Senior Vice President, Treasurer and Director of Capital Markets at Mid-America Apartment Communities","Thank you, Julianne, and good morning, everyone. This is Andrew Schaeffer, Treasurer and Director of Capital Markets for MAA. Members of the management team participating on the call this morning are Brad Hill, Tim Argo, Clay Holder, and Rob DelPriore. Before we begin with prepared comments this morning, I want to point out that as part of this discussion, company management will be making forward-looking statements. Actual results may differ materially from our projections. We encourage you to refer to the forward-looking statements section in yesterday's earnings release and our 1934 Act filings with the SEC, which describe risk factors that may impact future results. During this call, we will also discuss certain non-GAAP financial measures. A presentation of the most directly comparable GAAP financial measures, as well as reconciliations of the differences between non-GAAP and comparable GAAP measures, can be found in our earnings release and supplemental financial data.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Andrew Schaeffer","Senior Vice President, Treasurer and Director of Capital Markets at Mid-America Apartment Communities","Our earnings release and supplement are currently available on the For Investors page of our website at www.maac.com. A copy of our prepared comments and audio recording of this call will also be available on our website later today. After some brief prepared comments, the management team will be available to answer questions. When we get to Q&A, please be respectful of everyone's time. In an attempt to complete our call within one hour due to other earnings calls today, we will limit questions to one per analyst. We ask that you rejoin the queue if you have any follow-up questions or additional items to discuss. I will now turn the call over to Brad.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","Thank you, Andrew, and good morning, everyone. As highlighted in our release, our fourth quarter Core FFO results met expectations despite continued elevated supply levels. With occupancy up 10 basis points and same-store blended lease-over-lease performance 40 basis points stronger year-over-year, the recovery in fundamentals is underway. As we look ahead, we are entering 2026 in a stronger position with a higher earn-in and more top-line revenue momentum that we expect to build throughout the year, particularly in new lease rates, driving an anticipated 110-160 basis point improvement in blended lease rates and an 85 basis point improvement in effective rent growth compared to 2025. While uncertainty remains in the broader economy, the level of uncertainty appears lower than what we navigated in 2025, supported by expectations for sustained GDP growth. Several of last year's major headwinds are showing signs of easing.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","At the same time, the economy should benefit from the working family's tax cut, easing inflationary pressure, and improving consumer sentiment, which is showing signs of recovering from multi-decade lows. Looking at our portfolio, rent-to-income ratios have improved, making rents more affordable. New deliveries are decelerating sharply, down over 60% in 2026 from the peak. New starts are muted and have been for nearly three years, down nearly 70% from peak levels. Against this improving backdrop, we anticipate demand across our markets to remain solid and broad-based, supported by stable job growth, continued immigration, healthy wage gains, and record levels of resident retention. These trends point to a financially healthy resident base, supporting our consistently strong collections, reinforcing the durability of our revenue profile, and suggesting that absent a meaningful shift in the broader economy, underlying demand conditions remain well-supported.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","Building on this foundation, our long-term earnings growth will benefit from numerous strategic investments we're making. This includes expanding our technology initiatives, such as community-wide Wi-Fi and other enhancements designed to elevate the resident experience and improve operational efficiency. Our residents value our communities and the exceptional service our teams provide, reflected in record retention levels, strong renewal rates, and sector-leading resident Google scores, averaging 4.7 out of five for the year. Persistent single-family affordability challenges, combined with favorable demographic trends, continue to support renter demand and keep move-outs to purchase a home near historical lows. These trends, along with fewer competitive units in lease-up, support strong returns from our repositioning and redevelopment projects. As a result, we're expanding our capital investments in these areas by more than 10% in 2026.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","Beyond these investments, we continue to grow our development pipeline by leveraging our strong balance sheet and development capabilities to invest early to take advantage of growth opportunities at a time when access to capital is more limited for others. As such, during the fourth quarter, we purchased a shovel-ready project in Scottsdale, Arizona, from a developer that was unable to line up equity for their project after three years of due diligence, bringing our active development pipeline to $932 million. Additionally, during the first quarter of 2026, we purchased a land parcel in the Clarendon neighborhood of Arlington, Virginia, and expect to start construction on a 287 unit apartment community later this year.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","As demand remains robust, new deliveries slow, and new starts track well below historical levels across our region, our development should continue to generate strong returns and earnings growth with stabilized NOI yields between 6%-6.5%, well above current market cap rates. Subject to market conditions, we expect to begin construction on five to seven new development projects in 2026 that should deliver into a much stronger operating environment than the one experienced over this past year. Additionally, our balance sheet provides the flexibility to pursue compelling acquisition opportunities as they materialize. We remain encouraged by the progress we're seeing across our portfolio. With more than 30 years of navigating economic cycles, we believe we are well-positioned to serve our residents and to deliver compounded earnings growth over the full cycle.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","As market conditions continue to strengthen, improving fundamentals coupled with our strategic investments should provide meaningful opportunities to enhance performance and support a stronger revenue trajectory over the next few years. To all our associates across our properties and corporate offices, thank you for your continued commitment to customer service. With that, I'll turn the call over to Tim.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","Thank you, Brad, and good morning, everyone. For the fourth quarter, the key operating fundamentals of pricing and occupancy combined were in line with expectations. New lease growth continues to be muted due to the moderating but still elevated supply picture combined with the normal seasonal slowdown of the fourth quarter. We did, however, continue to have strong retention and renewal lease rates and achieve sequentially improved average physical occupancy. As compared to the fourth quarter of 2024, blended rates improved 40 basis points, supported by a 50 basis point improvement in renewal rates and flat new lease rates. Average physical occupancy was 95.7%, which was a 10 basis point improvement from both the fourth quarter of 2024 and the third quarter of 2025.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","Additionally, we had another quarter of strong collections with net delinquency representing just 0.3% of billings, in line with the collection performance for the full year. While we broadly saw normal seasonality in pricing during the fourth quarter, many of our mid-tier markets, particularly in Virginia and South Carolina, continue to be outperformers relative to the portfolio. Charleston, Greenville, Richmond, and the DC area markets all demonstrated strong pricing power and strong occupancy in the quarter. Encouragingly, our two highest concentration markets, Atlanta and Dallas, continue to show improvement as compared to the prior year. Of our top 20 largest markets, these two, along with Denver, had the largest year-over-year improvement in blended pricing as compared to the fourth quarter of last year.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","Austin continues to be our weakest market in terms of pricing as it continues to work through the 25% of inventory that has been delivered cumulatively over the last four years. In our lease-up portfolio, MAA Wade and the Raleigh-Durham market reached stabilization in the fourth quarter. We now have three properties remaining in lease-up with a combined occupancy of 65.7% as of the end of the fourth quarter and an additional three development properties that are actively leasing units. Elevated concessions and longer lease-up periods continue to have a greater impact on the lease-up properties and have pushed the full earnings contribution from these out about a year. However, these projects are still expected to achieve our underwritten yields as markets continue to improve and retain the long-term value creation opportunity despite the overall leasing velocity being behind original expectations.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","We continue to progress on our various targeted redevelopment and repositioning initiatives in the fourth quarter and, as Brad mentioned, expect to accelerate each of these programs in 2026 with improving fundamentals. During the fourth quarter of 2025, we completed 1,227 interior unit upgrades, bringing the total for the year to 5,995 units renovated, with rent increases of $95 above non-upgraded units and a cash-on-cash return of 19%. Despite this more competitive supply environment for the full year, these units lease on average 11 days faster than non-renovated units when adjusted to the additional turn time. For our common area and amenity repositioning program, we are on average over 70% repriced at six recent projects, with an average NOI yield above 10% and rent growth far exceeding peer MAA properties. Five additional projects are well underway with anticipated repricing in mid-2026 during the prime leasing season.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","We have targeted an additional six properties to begin later this year that will reprice in 2027. While vendor challenges and equipment delivery delays have slowed progress on our community-wide Wi-Fi retrofit projects, we are live on 14 of the 23 projects started in 2025, with the remaining nine expected to go live in the first quarter. Similar to our redevelopment plans, we expect to expand this initiative in 2026 all set. Looking forward to 2026, we are well-positioned. While Winter Storm Fern did impact about 70% of our portfolio and slowed traffic for several days, we ended January with physical occupancy of 95.6% and 60 day exposure of 7.1%, both in line with this time last year. As Brad referenced, new supply pressures continue to moderate, and demand remains strong with market-level occupancies, including lease-ups in our markets, well above where they were this time last year.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","Strong renewal performance continues in the first quarter, with high retention rates and lease-over-lease growth rates on renewals accepted for January, February, and March all above 5%. This compares to the 4.5% we achieved in the first quarter of 2025. We expect gradual seasonal improvement in new lease rates, along with consistent renewal growth, will drive improved performance in 2026 and be particularly impactful to 2027 as pressure from supply subsides throughout the year. That's all I have in the way of prepared comments. Now I'll turn the call over to Clay.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","Thank you, Tim, and good morning, everyone. We reported Core FFO for the quarter of $2.23 per diluted share, which was in line with the midpoint of our fourth quarter guidance and contributed to Core FFO for the full year of $8.74 per share. Fourth quarter same-store NOI was in line with our guidance as same-store revenues were one cent unfavorable due to other revenues and pricing, offset by same-store expenses favorable by one cent due to other operations, repair and maintenance, and real estate taxes. Favorable interest expense was offset by overhead expenses and the operating performance from our non-same-store portfolio. During the quarter, we funded approximately $81 million in development costs for our current $932 million pipeline, leaving an expected $306 million to be funded on the current pipeline over the next three years.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","As Brad noted, our balance sheet remains well-positioned to support these and other future growth opportunities. At the end of the quarter, we had $880 million in combined cash and borrowing capacity under our revolving credit facility, and our net debt-to-EBITDA ratio was 4.3x. At quarter end, our outstanding debt was approximately 87% fixed with an average maturity of 6.4 years at an effective rate of 3.8%. During November, we issued $400 million of seven-year public bonds at an effective rate of just over 4.75%, using proceeds to repay borrowings under our commercial paper program, which were used to repay the November 2025 bond maturity. During the quarter, we repurchased 207,000 shares, had a weighted average share price of $131.61, our first repurchase since 2001. Finally, we provided initial earnings guidance for 2026 in our release, which is detailed in the supplemental information package.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","Core FFO for 2026 is projected to be $8.35-$8.71 or $8.53 per share at the midpoint. As was outlined in the prior comments, with continuing improvement in supply impacting our markets, coupled with solid demand fundamentals, we expect rental pricing to grow during the year and to drive improving earnings performance as we progress throughout the year. Projected 2026 same-store revenue growth midpoint of 0.55% results from a rental pricing earn-in of -0.2% and improvement compared to 2025's earn-in, combined with a blended rental pricing expectation in the range of 1%-1.5% for the year. New lease pricing is expected to show improvement over last year. We expect supply levels to continue to impact new lease pricing, particularly in the first half of the year, but believe the impact will increasingly improve over the course of the year as the effect from new supply continues to decline.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","Renewal pricing is expected to remain strong and in the 5%-5.25% range throughout the year. For the Same-store portfolio, we expect effective rent growth to be approximately 0.35% at the midpoint of our range, occupancy to average 95.6% at the midpoint, and other revenue items, primarily from reimbursement and fee income, to grow just over 2%. Same-store operating expenses are projected to grow at a midpoint of 2.65% for the year. Personnel costs are expected to grow by less than 2%, while we expect some continued pressure from utilities, marketing costs, and office operations. These expense projections, combined with the revenue growth of 0.55%, results in a projected decline in Same-store NOI of 0.75% at the midpoint. As outlined in our release, we expect our non-Same-store portfolio to contribute $0.19 in NOI during 2026.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","With the related interest carry, along with the slower leasing velocity and higher lease-up concessions that Tim mentioned, we anticipate the recently completed developments and acquisitions will be slightly accrued to 2026 core FFO and move closer to their expected yields in 2027 and beyond. We expect continued external growth in 2026 consisting of our current development pipeline and the projected new starts that Brad noted, with funding between $350 million-$450 million coming from debt financing and internal cash flow. We also expect to match fund $250 million in acquisition opportunities with dispositions. This external growth is expected to be slightly diluted to core FFO in 2026 and then turn accretive to core FFO after stabilization. We project total overhead expenses, a combination of property management expenses and G&A expenses, to be $136 million, a 5% increase over 2025 results, bringing our three year average increase to 2.5%.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","We also expect to refinance $300 million in bonds maturing in September 2026, which have an effective rate of 1.2%. Further, we plan to redeem the outstanding preferred shares in the second half of the year. These anticipated transactions, coupled with our 2025 refinancing activities, will result in incremental interest expense of over $0.05. Combined with financing to support our 2025 development deliveries and the expected deliveries in 2026, we project interest expense to increase by over 15% for the year. We are still early in the assessment of the impact of Winter Storm Fern, but based on initial assessments, we anticipate excluding the impact from our Core FFO results as we expect to receive insurance proceeds to cover a portion of the cost of the damages. That is all that we have in the way of prepared comments.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Clay Holder","EVP and CFO at Mid-America Apartment Communities","So, Julianne, we will now turn it back to you for questions.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04",NA,NA,"Thank you. We will now open the call up for questions. If you would like to ask a question, please press star then one on your touch tone phone. If you would like to withdraw your question, you may press star one again. Our first question comes from Jamie Feldman from Wells Fargo. Please go ahead. Your line is open.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Jamie Feldman","Managing Director, Head of REIT Research at Wells Fargo","Great. Thanks for taking the question. I apologize that you went really quickly through the new renewal and blended outlook. Can you just run through those numbers again and maybe just talk us through your level of confidence in each, your cadence on each throughout the quarters, and just where you think, if you think about your markets, where you're most confident and most concerned about hitting those numbers? Thank you.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","Yeah. Jamie, this is Tim. I can walk you through that and Clay may have some to add as well. As Clay mentioned, our blended guidance is about 1%-1.5% for 2026. On the renewal side, I mentioned in my comments that we're seeing a little bit above 5% so far this year. So we would expect renewals to be in that 5.25% range and then start to slowly see momentum on the new lease side. You can kind of do the math on the new lease side with those components.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","I would say, generally, we expect a normal seasonal curve where we see strength into the summer and then start to moderate into the late summer and fall, but see less of that moderation in late Q3 and in Q4 than we typically do, again, as we get further away from the peak of the supply and expect the demand to solidify as well. So normal seasonality, but less steep declines as we get late in the year. As far as markets, I mentioned a few of those on the prepared comments. We're continuing to see strength out of the markets that have been strong, some of the Carolinas and Virginia, encouraged with what we're seeing out of Atlanta and Dallas. Those are obviously our two largest markets. We continue to see steady progress there, both on the pricing front and the occupancy front.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Tim Argo","Executive VP and Chief Strategy and Analysis Officer at Mid-America Apartment Communities","The year-over-year improvement in Q4 pricing for both of those was significant and two of our highest. I think we'll start to see a little bit of momentum in Tampa. That's one where occupancy has stabilized, and we're expecting to see a decent amount of demand there. But other than that, I think the ones that have been pretty solid for us this year, I expect those to continue to be solid for us in 2026.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04",NA,NA,"Our next question comes from Jana Galan from Bank of America. Please go ahead. Your line is open.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Jana Galan","Director at Bank of America","Thank you. Good morning. I was curious if you could comment a little more on the transaction market. We're hearing there's more variance on cap rates between core and value add, and then maybe on your decision to add to the development pipeline rather than buying assets or buying back more stock.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","Yeah. Thanks. This is Brad. I'll kick that one off. I mean, in terms of the transaction market, it continues to be pretty aggressive on those core assets, as you mentioned. What we looked at in the fourth quarter, we continue to see cap rates in the, call it, a four, six range. In terms of the spread between core and value add, I would say you're probably seeing a 50-75 basis point spread, all depending on, certainly, the markets that the value add's located in, what that upside opportunity looks like. But those can trade somewhere in the 5.25 to, call it, 5.5 range, again, depending on the market that that's located in. But I don't think that spread has changed.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","That spread has been there for the last couple of years, so I wouldn't say there's a material change in that at the moment. In terms of our capital allocation, yeah, I mean, development continues to be a big focus of ours. If we can, as I indicated in my comments, when we're in an environment where demand continues to be solid, the supply pipeline over the next few years continues to be muted. We've got the past three years now of starts have been below long-term averages in our region of the country.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","This is a good time for us to be able to use our balance sheet capacity to invest in new assets that will deliver into a much stronger operating environment, the development yields that we're still able to achieve today selectively, not on everything that we look at, but on the deals that we move forward with. And we're in the 6%-6.5% range. So we continue to believe that that's a good use of our capital to drive long-term earnings growth out of our portfolio. And in terms of share repurchases, again, we look at all opportunities for capital allocation, whether that's external growth, internal growth, developing, or excuse me, investing in our existing platform. We talked about the redevelopment, repositioning, the Wi-Fi initiatives, various initiatives we have to drive margin expansion opportunities. Those continue to be very, very compelling for us.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","And when we look at our opportunity set there, that does leave us with limited capacity for share repurchases. One of the things that we're not really targeting is a big disposition portfolio of properties to dispose of. I mean, we generally like where we're located, and we don't need to reallocate capital between markets. So you're generally not going to see us move forward with a big disposition plan to support a share repurchase. Rather, what we'll do on the disposition side is continue to cycle out of older assets, redeploy that capital into newer assets. And if you look at what we've done over the last five years, we've taken capital off of dispositions. We've earned almost a 20% IRR on those and redeployed them into new assets, driving 1,000 basis points better NOI margins and a 1,500 basis points better after-CapEx NOI margins.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04","Brad Hill","President and CEO at Mid-America Apartment Communities","So we think that's the best opportunity for us on dispositions moving forward.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
"MAA","2026-02-04",NA,NA,"Our next question comes from Nick Yulico from Scotiabank. Please go ahead. Your line is open.","https://www.marketbeat.com/earnings/reports/2026-2-4-mid-america-apartment-communities-inc-stock/"
