"symbol","report_date","speaker","title","msg","source_url"
"HPE","2026-03-09",NA,NA,"Good day, and welcome to the fiscal 2026 Q1 Hewlett Packard Enterprise earnings conference call. All participants will be in a listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star then one on a touchtone phone. To withdraw your question, please press star and then two. Please note this event is being recorded. I would now like to turn the conference over to Paul Glaser, Head of Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Paul Glaser","Head of Investor Relations at Hewlett Packard Enterprise","Good afternoon. I am Paul Glaser, Head of Investor Relations for Hewlett Packard Enterprise. I would like to welcome you to our fiscal 2026 Q1 earnings conference call with Antonio Neri, HPE's President and Chief Executive Officer, and Marie Myers, HPE's Chief Financial Officer. Before handing the call to Antonio, let me remind you that this call is being webcast. A replay of the webcast will be available shortly after the call concludes. We have posted the press release and the slide presentation accompanying the release on our HPE Investor Relations webpage. Elements of the financial information referenced on this call are forward-looking and are based on our best view of our business and the external factors affecting us as we see them today. HPE assumes no obligation and does not intend to update any such forward-looking statements.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Paul Glaser","Head of Investor Relations at Hewlett Packard Enterprise","We also note that the financial information discussed on this call reflects estimates based on information available at this time and could differ materially from the amounts ultimately reported in HPE's quarterly report on Form 10-Q for the fiscal quarter ended January 31st, 2026. Figures used in verbal remarks are rounded for ease of discussion. More detailed information, please see our earnings materials as well as disclaimers relating to forward-looking statements that involve risks, uncertainties, and assumptions. Please refer to HPE's filings with the SEC for more detailed discussion of these risks. Financial information that we are showing on a non-GAAP basis, we have provided reconciliations to the comparable GAAP information on our website. Please refer to the tables and slide presentation accompanying today's earnings release on our website for details.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Paul Glaser","Head of Investor Relations at Hewlett Packard Enterprise","Throughout this conference call, all revenue growth rates, unless noted otherwise, are presented on a year-over-year basis. Unless otherwise noted, all financial metrics and growth rates discussed today are non-GAAP, and EPS refers to non-GAAP diluted net earnings per share. Certain financial information featured in the presentation today has been normalized to include Juniper Networks results as of the beginning of HPE's fiscal year 2025. Antonio and Marie will reference our earnings presentation in their prepared comments. With that, let me turn it over to Antonio.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","Thank you, Paul. Good afternoon, everyone. HPE started fiscal 2026 with a strong Q1, delivering revenue growth at the high end of our outlook range and record earnings per share, driven by a strong performance in networking and a disciplined execution in cloud and AI. Our Q1 results give us the confidence to raise our fiscal 2026 outlook, which Marie will cover later in the call. Q1 revenue was $9.3 billion, up 18%. We delivered record earnings per share of $0.65, well above the high end of our outlook, with strong Q1 free cash flow of $708 million. Orders significantly outpaced revenues fueled by strong customer demand. We saw strong product orders across networking, servers, and storage, driven by ongoing AI deployment, on-premises infrastructure modernization, and some customer pull-ins due to ongoing commodity shortages and price increases.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","GreenLake remains a critical differentiator for our software and services portfolio, delivering strong order bookings, customer adoption, and ARR growth. Phase one of our Juniper integration is complete. We remain on track to achieve our fiscal 2026 synergy targets. As we move to our second phase, we are focused on building a new networking market leader by aggressively executing our strategic product and software roadmap while driving revenue synergies through our go-to-market scale. We are excited about what comes next for our customers and our shareholders. Before I provide our business segment highlights, I want to address how we are navigating the commodity shortages and inflationary cost environment impacting the industry. The IT market is facing a sharp acceleration in supply tightness and increase in component costs, most notably in DRAM and NAND. We expect elevated prices to persist well into 2027.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","We are taking a series of distinct actions to address the current industry dynamics. First, we're focused on securing supply. We have expanded our long-term multi-year agreements with our key silicon and memory partners to secure the capacity needed to meet customer demand. Second, we are protecting our margins. We have adopted an agile pricing posture with price adjustments across the entire portfolio with shorter quote commitment cycles. We have amended our quoting terms with the right to reprice existing orders for commodity cost increases between quoting and shipment. Third, we are proactively communicating with customers and channel partners, providing lead time and cost visibility along with alternative configuration recommendations to shape demand.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","DRAM and NAND now make up over half of the bill of materials cost of a traditional server, and the share will continue to rise as component costs increases. As a result, we expect higher average unit prices in both our server and storage products. Networking is more insulated with memory comprising a significantly smaller portion of the bill of materials. Given the supply dynamics, our fiscal 2026 strategy prioritizes higher margin product orders, which have an impact on our AI system to revenue growth rate for the year. Moving on to our Q1 results. As communicated at security analyst meeting last October, we have streamlined our financial reporting structure into two primary segments. Our networking segment combines Juniper Networks with our historical intelligent edge business, while the cloud and AI segment includes server, hybrid cloud, and financial services.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","I am incredibly pleased with our Q1 networking segment performance and with the excellent progress we have made in integrated Juniper Networks. Our strategy is paying off. We deliver strong revenue growth at the high end of our guidance, with orders growing faster than revenue. The networking segment now represents nearly 30% of our HPE's total revenues and more than half of our total operating profits. Networking revenue increased 152% and 7% on a normalized basis, with orders up low double digits, driven by strength in wireless data center switching and routing products with strategic wins and demand strength across the world. In campus and branch, customers are adopting our self-driving AIOps networking strategy and solutions. Normalized orders increased by high single digits. The Wi-Fi 7 transition is ramping quickly.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","We saw more than 10 times increase in Wi-Fi 7 access points sold with devices connected to both our Mist and Aruba Central Cloud platforms up 28%. In data center switching, orders increased mid-40% on a normalized basis, driven by strong momentum in AI data centers and ongoing data center modernization efforts. AI data center builders and operators at scale appreciate our speed of execution, high touch support, and innovative congestion management capabilities. Our demand for our routing products was very strong, with orders increasing mid-20% on a normalized basis. HPE now has the most competitive routing portfolio spanning data center interconnect, AI on-ramp, and edge use cases. Our recently introduced MX301 router series is off to a great start with strong demand across all customer verticals.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","Driven by a strong order demand momentum in data center switching and routing products, we are now targeting $1.7 billion-$1.9 billion in cumulative networks for AI orders by the end of fiscal 2026. Our new combined networking R&D team continue to drive bold innovation. We showcased our leading networking capabilities last month at the Milano Cortina 2026 Winter Olympic Games, delivering the connectivity and security for athletes to access real-time performance data, for broadcasters to stream video, and for fans to connect with the Olympic application. I experienced the IT operations firsthand at the games where our HPE experts were there with the Milano Cortina Olympic Committee IT staff, working to ensure everything performed at world-class levels.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","The Olympics serves as a powerful case study for other customers to see the value of our full stack AI-native networking solutions and the power of our new combined networking portfolio. In advance of Mobile World Congress, we announced our expanded vision for service providers as they modernize their infrastructure to take advantage of our AI with advancements across our networking servers and software portfolios. We introduced a powerful new line of routers, the new high-density compact modular PTX Series. These routers will enable service providers to modernize their core networking RAN infrastructure to address the rise in data traffic demands driven by AI data center interconnect and inferencing scaling. We also announced new server innovations to speed 5G and AI deployments, enhance security, and streamline automation from the edge through the core network.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","These solutions enable telecom operators to manage twice the amount of network traffic on a single server with the latest network security innovations. I am pleased to announce that we have completed our networking sales integration in Q1 by merging our Juniper and Aruba sales teams into a single HPE networking sales organization. Our focus now is to scale the organization while continuing to improve our overall sales productivity. With the sales portion of the integration behind us, we are well-positioned and energized for the years ahead, enabled by a best-in-class networking portfolio. HPE now owns the entire networking technology stack with the talent and go-to-market scale to create a new networking industry leader.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","We will continue to focus on our networking priorities, including driving increased adoption of our highly differentiated AIOps self-driving networks to capture, share, and profitability in campus and branch, tapping into the large networks for AI investments that are happening in our industry with our world-class data center switching and routing offerings, and claiming market leadership in key areas where the network and security are converging. Moving on to cloud and AI segment. Revenue declined 3% with operating margin dollars up 18%, driven by pricing and cost discipline. We expect average unit server and storage pricing to continue to increase as the year progresses. Q1 server orders grew low double digits, driven by higher demand for traditional servers as customers expand AI deployments, modernize infrastructure, and accelerate orders due to industry supply challenges. Traditional server strength was partially offset by the timing of HPC and AI systems orders.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
"HPE","2026-03-09","Antonio Neri","President and CEO at Hewlett Packard Enterprise","We entered Q2 with a record AI systems backlog of $5 billion, primarily composed of enterprise and sovereign orders, our sales pipeline remains multiples of our backlog. We are seeing more enterprises adopting agentic AI into their company's business workflows. Siemens Energy, one of the world's leading global energy technology companies, has recently selected HPE to provide infrastructure services to help engineers design and service gas turbines, which include AI inferencing. In storage, we remain focused on executing our shift to our own IP portfolio strategy. Our Storage Alletra MP products had another strong quarter, with Q1 orders up 42%, marking our fifth consecutive quarter of double-digit year-over-year growth, driven by the installed base block transition and the accelerated option of our object-based platform. GreenLake continues to be a significant differentiator for HPE. In Q1, we approached 50,000 customers on our GreenLake cloud platform.","https://www.marketbeat.com/earnings/reports/2026-3-9-hewlett-packard-enterprise-stock/"
