"symbol","report_date","speaker","title","msg","source_url"
"ARE","2026-04-27",NA,NA,"Please note today's event is being recorded. I'd now like to turn the conference over to Paula Schwartz with Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Paula Schwartz","Managing Director at Rx Communications Group","Thank you, and good afternoon, everyone. This conference call contains forward-looking statements within the meaning of the federal securities laws. The company's actual results might differ materially from those projected in the forward-looking statements. Additional information concerning factors that could cause actual results to differ materially from those in the forward-looking statements is contained in the company's periodic reports filed with the Securities and Exchange Commission. Now I'd like to turn the call over to Joel Marcus, Executive Chairman and Founder. Please go ahead, Joel.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","Thank you, Paula, and welcome everybody to our first quarter earnings call. With me today are Marc, Peter, and Jenna. First of all, as I always do, wanna say a thank you to our remarkable family team for their awesome efforts during a tough first quarter operating environment. As they know well, we are motivated each and every day by our solemn mission to enable this precious life science industry, one of the most treasured and innovative industries on the face of the planet, to discover and bring to patients life-saving and life-changing therapies. How many of us, friends, loved ones, still suffer from the likes of Parkinson's, ALS, pancreatic, colon, breast, et cetera, cancers, dementia, to name a few. 2026, we celebrate the 50th anniversary of the DNA and biotech revolution, and we still have addressed less than 10% of human disease.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","The life science industry is a highly regulated industry dependent upon proper functioning of the four key pillars. As we've said before, strong and basic translational research is critical. There remains strong bipartisan support in Washington to fully fund the NIH. There was a great victory this quarter in the defeat of the 15% limitation on reimbursement of institutional indirect costs, which I think will be very, very well both received and implemented over the coming quarters and years. Unfortunately, August 24th, the entire NSF, National Science Foundation Advisory Board, was fired. Their role is science and engineering advice, kind of a, you know, a shock. Leadership challenges remain at the NIH and HHS and FDA. Number two, strong innovation coupled with open and vibrant capital markets.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","Obviously, we're in one of the maybe the greatest innovation time in the history of humankind. On the capital markets, they've been very selective. Private funding has been very solid, but deliberate and discriminating. On the public side, the markets have been open for good data and key milestones, but for most public biotechs in preclinical or in the clinic, which don't have data or milestones to finance off of, it's been a very tough slog. Number three, reliable and efficient regulatory framework. Continuing effort to need to reduce time and cost into and through the clinic. The FDA progress has been sluggish. Leadership and staffing pressures have been abundant. China continues to pressure the industry here at home. Number four, health payment and reimbursement environment for innovative medicine.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","CMS is actually operating quite well under the leadership of Dr. Oz, but both sides of the aisle are focused on drug pricing, and it's hard to imagine that they haven't figured out an approach to cut out the middleman, which takes 40%-60% of medicine pricing, which would ease the burden both on the recipients of care and on the innovative drug discoverers. We get often asked about AI in all realms of all industries, and, you know, I think it's fair to say that most of you know by now we've got 37 trillion cells in each of our bodies, and AI can support but not replace physical experimentation. Biology is just way too complex at this stage. R&D cannot go fully in silico, given the massive complexity of biology.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","Give you an example, Novartis' CEO, who just joined The Board of Anthropic, said, ""We only understand less than 5% of the functioning of the human body today."" As you know, drug development is very complex from target discovery, to hit generation, to lead identification, to optimization, to clinical trials, and on to commercialization. It's pretty clear that the authorities in this area believe AI cannot replace physical experimentation. Most current usage is still document-centric, not biology breaking. Push-button drug discovery is overhyped. Even native AI companies in this sector haven't proven dominance whatsoever. It's pretty clear that AI is not fully autonomous discovery but is aimed at compressing timelines and increasing throughput and recovering lost institutional knowledge, and that is all really good.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","I think most experts believe that AI will have a small impact on real estate requirements and could even see the need for additional dry and wet space as they run experiments designed by AI. Moving to the first quarter, as all of you know, it was a very tough operating environment, but we made very solid progress on our path forward, laid out in detail at our Investor Day. Number one was to maintain a strong and flexible balance sheet, and Marc will talk more about that.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","Number two is to reduce capital spend and funding needs going forward, and I think we're well on our way to refining and reducing CapEx in our pipeline. We've also been fortunate to sign quite a number of LOIs leading to leases which will reduce the CapEx into the lease statistics as we go forward. Something that is a cornerstone to this year in this reset is to substantially complete a large scale core/non-core and sales of partial interest disposition plan. We are on track even though the first quarter was relatively quiet. We fully intend, like last year, to meet our goal.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
"ARE","2026-04-27","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","I think it's fair to say, and Peter can expound on this when during Q&A, the transaction market for life science assets is even better this year than it was last year, and we have a high level of confidence. Four, we wanna steadily improve occupancy and increase NOI focused on leasing. The pinch point in leasing has been, this is one of our lower quarters, but we look to bounce back nicely next quarter. This is maybe the first quarter in the history of the company that I can remember where we didn't sign a single public biotech lease. That gives you a sense of what the environment is out there.","https://www.marketbeat.com/earnings/reports/2026-4-27-alexandria-real-estate-equities-inc-stock/"
