"symbol","report_date","speaker","title","msg","source_url"
"LULU","2025-06-05",NA,NA,"Thank you for standing by. This is the conference operator. Welcome to the Lululemon Athletica Inc First Quarter 2025 Financial Results Conference Call. As a reminder, all participants are in listen-only mode, and the conference is being recorded. After the presentation, there will be an opportunity to ask questions. Analysts who wish to join the question queue should press star then one on their telephone keypad. Should you need assistance during the conference call, you may signal an operator by pressing star then zero. I would now like to turn the conference over to Howard Tubin, Vice President, Investor Relations for lululemon. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Howard Tubin","Vice President of Investor Relations at lululemon","Thank you, and good afternoon. Welcome to Lululemon's First Quarter Earnings Conference Call. Joining me today to talk about our results are Calvin McDonald, CEO, and Meghan Frank, CFO. Before we get started, I'd like to take this opportunity to remind you that our remarks today will include forward-looking statements reflecting management's current forecast of certain aspects of lululemon's future. These statements are based on current information, which we have assessed, but which, by its nature, is dynamic and subject to rapid and even abrupt changes. Actual results may differ materially from those contained in or implied by these forward-looking statements due to risks and uncertainties associated with our business, including those we have disclosed in our most recent filings with the SEC, including our annual report on Form 10-K and our quarterly reports on Form 10-Q.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Howard Tubin","Vice President of Investor Relations at lululemon","Any forward-looking statements that we make on this call are based on assumptions as of today, and we expressly disclaim any obligation or undertaking to update or revise any of these statements as a result of new information or future events. During this call, we will present both GAAP and non-GAAP financial measures. A reconciliation of GAAP to non-GAAP measures is included in our quarterly report on Form 10-Q and in today's earnings press release. In addition, the comparable sales metrics given on today's call are on a constant dollar basis. The press release and accompanying quarterly report on Form 10-Q are available under the Investor section of our website at www.lululemon.com. Before we begin the call, I'd like to remind our investors to visit our investor site, where you'll find a summary of our key financial and operating statistics for the first quarter, as well as our quarterly infographic.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Howard Tubin","Vice President of Investor Relations at lululemon","Today's call is scheduled for one hour, so please limit yourself to one question at a time to give others the opportunity to have their questions addressed. I would like to turn the call over to Calvin.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","Thank you, Howard. It's good to be here with you today to discuss our first quarter results. As you've seen from our press release, our revenue growth for the quarter came in at the high end of our guidance range. I'm pleased with this performance, which was relatively consistent with Quarter 4. I'd also note that our revenue in the United States grew 2%, which is an improvement in the trend we've seen over the last several quarters. Based on our Quarter 1 revenue performance and what we're seeing thus far in Quarter 2, we are maintaining our revenue guidance for the full year. As we look ahead, we will continue to leverage our financial strength and our position in the marketplace to play offense, remain agile, and successfully manage the environment around us.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","I'll begin by sharing the details of our Quarter 1 performance, including high-level financial metrics and key highlights regarding our regional performance, product innovation, and our brand campaigns and activations. Next, I'll provide insights into the planning and strategies we're deploying related to the increase in tariffs. Meghan will speak to the specific financial implications, and I'll share some insights into the opportunities we have across the business. I'll then share my thoughts on Quarter 2 and the remainder of the year. Meghan will review our financials and our updated guidance, and we will conclude by taking your questions. Let's get started. In Quarter 1, total revenue increased 7% or 8% on a constant currency basis. Gross margin increased 60 basis points to 58.3%, and earnings per share were $2.60, ahead of our expectations.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","In addition, in Q1, we continued repurchasing shares and bought back another $430 million of stock. Our ongoing repurchases demonstrate the strength of our balance sheet and our continued confidence in the long-term prospects for Lululemon. Looking at our regional performance, we continue to see strength across markets, driven by our high-performance, high-style merchandise and the compelling ways we engage with our guests through brand activations and community events. In North America, momentum continued in Canada, where sales grew 9% in constant currency, and in the United States, revenue growth improved to 2%. We're making progress on our assortment, and we've seen good response to many of our new innovations. My sense is that in the U.S., consumers remain cautious right now, and they are being very intentional about their buying decisions.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","Even with this, we gain market share across both men's and women's in the premium athletic wear market in the United States. In China Mainland, revenue increased 22% in constant currency. As you are aware, Chinese New Year shifted from Q1 of this year to Q4 of last year. While we estimate that this calendar shift had a negative impact of about 4 percentage points on Q1 revenue growth, we remain pleased with the underlying momentum in this very important growth market. In the rest of the world, revenue increased 17% in constant currency as we continue to see a strong acceptance of our brand by guests across the APAC and EMEA regions. We are executing against our strategy to maximize our existing markets, expanding newer markets, while also seeding others for future growth.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","I'm excited by the recent store openings in two of our franchise markets, Denmark and TÃ¼rkiye, which are off to a strong start, and we remain on track to enter Italy as a new company-operated market and Belgium and the Czech Republic under our franchise model later this year. When looking at the full year, our view on revenue is unchanged, and we continue to expect 7% to 8% growth. By region, we continue to anticipate revenue in North America to increase in the low to mid-single-digit range, China Mainland to grow in the 25%-30% range, and revenue in the rest of the world segment to increase about 20%. Key to our success within all our markets is our product, which offers unique and innovative solves for guests across both athletic and lifestyle product categories.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
"LULU","2025-06-05","Calvin McDonald","CEO at lululemon","Throughout Quarter 1, guests responded well to the newness we introduced into our assortment. For women, our Define franchise continues to perform well across our markets globally, and we are pleased with the response to our recent launches, including Daydrift, Shake It Out, and Be Calm. For men, we're seeing strength in several of our key franchises, including Zeroed In, Smooth Spacer, and ShowZero. In May, to celebrate the 10-year anniversary of our Align franchise, we launched the Align No Line, which offers the same fit and feel as the iconic legging, but without a front seam. We're pleased with the guest response both online and in the 80 doors where it was offered. We plan to build on this momentum for the fall when we roll it to all stores.","https://www.marketbeat.com/earnings/reports/2025-6-5-lululemon-athletica-inc-stock/"
