"symbol","report_date","speaker","title","msg","source_url"
"PSX","2026-04-29",NA,NA,"Welcome to the first quarter 2026 Phillips 66 earnings conference call. My name is Rob and I will be your operator for today's call. At this time, all participants are in a listen only mode. Later, we will conduct a question-and-answer session. Please note that this conference is being recorded. I will now turn the call over to Sean Maher, Vice President, Investor Relations and Chief Economist. Sean, you may begin.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Sean Maher","VP of Investor Relations and Chief Economist at Phillips 66","Hello, everyone. Good morning and thank you for joining Phillips 66 first quarter 2026 earnings conference call. Participants on today's call will include Mark Lashier, Chairman and CEO, Kevin Mitchell, CFO, Don Baldridge, Midstream and Chemicals, Rich Harbison, Refining, and Brian Mandell, Marketing and Commercial. Today's presentation can be found on the investor relations section of the Phillips 66 website, along with supplemental financial and operating information. Slide two contains our safe harbor statement. We will be making forward-looking statements during today's call. Actual results may differ materially from today's comments. Factors that could cause actual results to differ are included here as well as in our SEC filings. With that, I'll turn the call over to Mark.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Mark Lashier","Chairman and CEO at Phillips 66","Thank you, Sean. Geopolitical events in the Middle East drove unprecedented commodity price volatility during the quarter. To put this in context, March was the first month that price moves in major crude oil, refined product, and European natural gas benchmarks all exceeded the 95th percentile. In the face of this volatility, we remain focused on operational excellence. Our team is executing safely and reliably. The majority of our assets are in the U.S. We have pipeline connectivity to some of the lowest cost and most reliable hydrocarbon corridors in the world. This positions us to reliably supply energy to support global demand. Due to the closure of the Strait of Hormuz, a significant amount of global refining and petrochemical capacity is down. We, however, continue to operate at high utilization, supplying products to our customers. Additionally, we have global placement optionality through our commercial organization.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Mark Lashier","Chairman and CEO at Phillips 66","This quarter has seen a significant and favorable shift in market fundamentals. First, the importance of U.S.-sourced hydrocarbons has increased due to a need for diversification and access to reliable supply. Second, unplanned downtime in global refining assets has reduced inventories and will support margins. Finally, reduced petrochemical production globally due to downtime and higher naphtha prices has reduced inventories and will also support margins. As a reminder, 80% of CPChem's capacity is on the U.S. Gulf Coast with competitive ethane feedstock. Recent global events show the importance of reliable domestic energy supply. Our Western Gateway Pipeline project will address long-term refined products needs, improve supply flexibility, and increase reliability for the West Coast markets. We're excited about the future due to our strong asset footprint, culture of operating excellence, and attractive fundamental outlook across all of our businesses.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Mark Lashier","Chairman and CEO at Phillips 66","Anchored by the strength of our balance sheet, we're confident in our ability to navigate market volatility and capture opportunities. Brian will now share more on slide four about how our commercial organization is one of our competitive advantages.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Brian Mandell","EVP of Marketing and Commercial at Phillips 66","Thanks, Mark. We have a strong commercial organization with six offices across the globe. Our business enhances our asset footprint by optimizing feedstocks, delivering products into the marketplace, and capturing value. We capitalize on geographic dislocations and turn volatility into opportunity. With our expertise in global market dynamics, we're ahead of the game. We have an asset-backed trading model and can leverage our physical footprint to take advantage of opportunities. We trade over 6 million bbl of liquid hydrocarbons every day. This creates optionality and economic value. Markets are fluid right now and volatility is likely to persist into next year. Recent disruptions have created multiple opportunities. For example, we moved Bakken crude oil to our Beaumont terminal on the U.S. Gulf Coast and then, leveraging the Jones Act waiver, to our Bayway Refinery.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Brian Mandell","EVP of Marketing and Commercial at Phillips 66","We displaced international crudes with domestic grades into our refining system and sold the international barrels into tight overseas markets. We placed gasoline from our U.S. Gulf Coast commercial blending facilities into the West Coast using the Jones Act waiver. We leveraged our global footprint to deliver LPGs and naphtha produced at our Sweeny Hub to global petrochemical customers around the world. Commercial performance is included in the results of our operating segments, enhancing their margins and improving market capture. Moving to slide five, the recent shock to the global energy system has been universal. Refining capacity has been damaged, logistics have shifted, arbitrage routes have changed. We are watching these and other signposts closely to capture additional value. The differentials between global indices and physical markets have spiked, and forward markets are heavily backwardated. This dynamic reflects tight global crude oil balances.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Brian Mandell","EVP of Marketing and Commercial at Phillips 66","The outlook for product markets looks even tighter, and we expect refining margins to be constructive through the remainder of the year. Our market analysis, commercial capabilities, and global footprint enable us to optimize the flow of molecules around our system. Our team maximizes the margin uplift across our value chains. Here are two examples of how we are optimizing our system. First, we've added two dozen originators around the globe. They speak the language, they know the culture, and they know how to source deals that unlock more value and optionality, providing long-term access to key global markets. Second, we've tripled our vessels on time charter in the past two years, securing roughly half of our waterborne crude slate. The global tanker fleet has become tight with limited spot availabilities and a large share of sanctioned vessels. This has caused freight rates to increase to historic levels.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Brian Mandell","EVP of Marketing and Commercial at Phillips 66","By locking in our freight rates early, we reduce the cost of crude to our refineries. We optimize around our refineries, pipelines, and terminals to ensure that we're leveraging every molecule and driving additional value from our fundamental knowledge of the global markets. Backed by world-class assets, we find opportunity and volatility to deliver greater shareholder value. Now, I'll turn the call over to Kevin.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
"PSX","2026-04-29","Kevin Mitchell","CFO at Phillips 66","Thank you, Brian. On slide six, first quarter reported earnings were $207 million or $0.51 per share. Adjusted earnings were $200 million or $0.49 per share. As a result of a sharp increase in commodity prices during the first quarter, the company's financial results were impacted by mark-to-market losses of $839 million related to short derivative positions used as economic hedges to manage price risk on certain physical positions. We had a use of operating cash flow of $2.3 billion. Operating cash flow excluding working capital was approximately $700 million. Capital spending for the quarter was $582 million. We returned $778 million to shareholders, including $269 million of share repurchases and $509 million of dividend payments.","https://www.marketbeat.com/earnings/reports/2026-4-29-phillips-66-stock/"
