"symbol","report_date","speaker","title","msg","source_url"
"EQR","2025-08-04",NA,NA,"Good day and welcome to the Equity Residential 2Q 2025 earnings conference call and webcast. Today's conference is being recorded. At this time, I'd like to turn the conference over to Mr. Marty McKenna. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Good morning and thanks for joining us to discuss Equity Residential second quarter 2025 results. Our featured speakers today are Mark Parrell, our President and CEO, Michael Manelis, our Chief Operating Officer, and Bob Garechana, our Chief Financial Officer. Alec Brackenridge, our Chief Investment Officer, is here with us as well for the Q and A. Our earnings release is posted in the investor section of equityapartments.com. Please be advised that certain matters discussed during this conference call may constitute forward-looking statements within the meaning of the federal securities laws. These forward-looking statements are subject to certain economic risks and uncertainties. The company assumes no obligation to update or supplement these statements that become.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Untrue because of subsequent events.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Now I will turn the call over to Mark Parrell.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Thank you, Marty. Good morning and thanks for joining us today. I will lead us off with some top of the house commentary. Then Michael Manelis, our Chief Operating Officer, will provide color on our second quarter performance as well as what he is seeing in the markets today and an update on some of the initiatives we have going on. We will then turn the call over to Bob Garechana in his last call as our CFO before he takes over as our Chief Investment Officer, and Bob will provide some color on our guidance changes. Then we'll go ahead and take your questions. Alec Brackenridge, our soon to retire CIO, is here with us for the Q and A. Our second quarter results and guidance continue to reflect the sustained demand and excellent resident retention that we are seeing across our markets.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"We see this demand as being supported by nearly full employment in the country as a whole, with the overall unemployment rate being only 4.2%, though the pace of job growth is certainly slowing. The unemployment rate for our key demographic, the college educated, remains even lower at 2.7%. We're also seeing continued high retention rates as more residents choose to renew with us. Fewer and fewer residents are moving out to buy homes as we and other operators often prioritize occupancy and renewal rate management over new lease growth in a world that is more uncertain than usual for residents and landlords. Also, we continue to see the forward setup for our business as outstanding and see above trend revenue growth in future years as likely given the large apartment supply decline, the expensive and unavailable single family owned housing market, and societal trends favoring rentership.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"As we talked about at our Investor.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Earlier this year, our shareholders benefit from our unique and diversified portfolio. We have a differentiated exposure from our competitors that includes a collection of assets across the urban centers of many coastal markets that gives us a distinct opportunity to outperform as improving conditions, particularly continuing declines in new supply and improvements in quality of life in these urban centers, drive faster cash flow growth.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"To illustrate that further, we are already.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"Seeing strong revenue results in places like New York City and downtown San Francisco where supply has already abated. With more supply declines on the way, we are optimistic our results can continue to be above trend in these areas. Across our markets, we look for a balance of both urban and suburban assets that capture the changing needs of our primary renter demographic, putting this portfolio on top of the most efficient overall operating platform in the space. When you take into account overhead, capital expenditures, and operating expenses, you have a vehicle that should outperform in the near term and over the long term because of its focus on higher earning renters across a broad array of markets. Finally, while good job growth is important to all apartment markets, it is especially important to drive absorption in oversupplied markets.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
"EQR","2025-08-04",NA,NA,"We expect our portfolio, with its tilt towards lower supplied markets and submarkets and relatively modest amount of development properties in lease up, to exhibit more resilience if job growth continues to wane. On the transactions front in the quarter, we continued to build out our presence in Atlanta with the acquisition of an 8 property portfolio in suburban submarkets. This is a market we have been favoring in our recent acquisition activity as we expect supply here to decline more quickly than in other Sunbelt markets. We now have 22 properties spread throughout targeted submarkets within the Atlanta metro area. These eight new store properties plus seven assets that were acquired last year complement and round out our current 6 property same store portfolio that is focused more in Midtown and in closer in submarkets.","https://www.marketbeat.com/earnings/reports/2025-8-4-equity-residential-stock/"
