"symbol","report_date","speaker","title","msg","source_url"
"JBL","2025-03-20",NA,NA,"Greetings and welcome to Jabil's Second Quarter Fiscal Year 2025 Conference Call and Webcast. At this time, all participants are on a listen-only mode. A question-and-answer session will follow the formal presentation. If anyone requires operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Adam Berry, Investor Relations. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Adam Berry","Head of Investor Relations at Jabil","Good morning and welcome to Jabil's second quarter fiscal year 2025 earnings call. Joining me on today's call are Chief Financial Officer Greg Hebard and Chief Executive Officer Mike Dastoor. Please note that today's presentation is being live-streamed, and during our prepared remarks, we will be referencing slides. To view these slides, please visit the Investor Relations section of jabil.com. After today's presentation concludes, a complete recording will be available on the website for playback.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Adam Berry","Head of Investor Relations at Jabil","In addition, we will be making forward-looking statements during this presentation, including, among other things, those regarding the anticipated outlook for our business, such as our currently expected fiscal year net revenue and earnings. These statements are based on current expectations, forecasts, and assumptions involving risks and uncertainties that could cause actual outcomes and results to differ materially.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Adam Berry","Head of Investor Relations at Jabil","An extensive list of these risks and uncertainties are identified in our annual report on Form 10-K for the fiscal year ended August 31, 2024, and other filings with the SEC. Jabil disclaims any intention or obligation to update or revise any forward-looking statements, whether as a result of new information, future events, or otherwise. With that, I'll now turn the call over to Greg.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","Thanks, Adam. Good morning, everyone. Thanks for taking the time to join our call today. I'm extremely pleased with our strong Q2 results, where the team delivered solid margins and cash flows on $6.7 billion in revenue. When excluding approximately $250 million associated with the divested Mobility business in the prior year quarter, revenue increased 3% year on year. Core operating income for the quarter came in at $334 million. Core operating margins came in at 5%. Net interest expense in Q2 came in at $61 million.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","On a GAAP basis, operating income was $245 million, and our GAAP diluted earnings per share was $1.06. Core diluted earnings per share was $1.94. Turning now to our performance by segment in the quarter, our Regulated Industry segment reported revenue of roughly $2.7 billion as guided.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","On a year-over-year basis, this represents a decrease of 8% due to expected weakness in our renewable energy and EV markets. Despite this, core operating margin for the segment increased year-over-year by 20 basis points to 4.8% based on favorable mix in the segment. In the Intelligent Infrastructure segment, we saw revenue of $2.6 billion, up 18% year on year, above what we expected in December. This growth was primarily driven by strong demand in our AI-related cloud, data center infrastructure, and capital equipment markets.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","The core operating margin for the segment was 5.3%, a 110 basis point improvement compared to our prior year quarter. In our Connected Living and Digital Commerce segment, revenue was $1.3 billion, down 13% year on year due to our Mobility divestiture. Excluding revenue associated with the divested Mobility business from the prior year, revenue growth for the segment was approximately 4%.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","This reflects strong year-on-year growth across our digital commerce and warehouse automation markets, which was partly offset by weaker demand and consumer-driven connected living products. On a sequential basis, segment revenue was down 13%, which is consistent with the historical seasonality typically observed in the connected living sector following the holiday period. Core operating margins for the segment came in at 4.5% in Q2.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","Next, I'll provide an update on our cash flow and balance sheet metrics for the end of Q2, starting with inventory. As anticipated during the quarter, inventory days increased four days sequentially to 80 days, which reflects typical seasonality in our business. However, on a year-on-year basis, inventory days decreased by seven days. Net of inventory deposits from our customers, inventory days were 61, a quarter-on-quarter increase of five days, which is slightly above our targeted range of 55-60 days.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","This was mainly due to timing within our Intelligent Infrastructure segment as we support strong growth. As we progress through the fiscal year, we anticipate that inventory days will normalize into our targeted range. In Q2, cash flow from operations for the quarter were solid, amounting to $334 million. Net capital expenditures for the second quarter were $73 million.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","For the full year, we continue to expect net CapEx to be between 1.5%-2% of revenue. As a result of the solid second quarter performance and cash flow generation, adjusted free cash flow for the quarter came in at $261 million, bringing our year-to-date adjusted free cash flow to $487 million. With our strong first-half results, we now anticipate free cash flow for the year to exceed $1.2 billion.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","We exited the second quarter with a healthy balance sheet, with debt-to-core EBITDA levels of approximately 1.4x and cash balances of approximately $1.6 billion. In Q2, we repurchased 2.5 million shares. The quarter ended with $364 million remaining on our current $1 billion share repurchase authorization, which we expect to complete by the end of FY 2025. Before I move on to guidance for the next quarter, I'd like to wrap up my remarks on Q2 by recognizing the Jabil team's strong execution this quarter.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","The team's efforts have yielded strong results through the first half of FY 2025, despite a highly dynamic environment. The company continues to show remarkable resilience and is poised for future revenue growth, improved margins, and robust free cash flow generation.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","With that, let's turn to the next slide for Q3 FY 2025 guidance. Beginning with revenue by segment, we anticipate revenue for our regulated industries will be $3 billion, down approximately 1% year-on-year, reflecting appropriate caution in the EV market. For our Intelligent Infrastructure segment, we expect revenue for the quarter to be $2.8 billion, up approximately 22% year-over-year, on broad-based growth across our capital equipment, advanced networking, cloud, and data center infrastructure markets.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","This strength is expected to be slightly offset by lower demand in our 5G end market. In our Connected Living and Digital Commerce segment, revenues are expected to be $1.2 billion. This is down 16% year-over-year, mainly due to weaker year-on-year demand in our connected living markets, offset slightly by continued growth across the digital commerce space. Total company revenue for Q3 is expected to be in the range of $6.7 billion-$7.3 billion.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","Core operating income for Q3 is estimated to be in the range of $348 million-$408 million. GAAP operating income is expected to be in the range of $282 million-$352 million. Core diluted earnings per share is estimated to be in the range of $2.08-$2.48. GAAP diluted earnings per share is expected to be in the range of $1.50-$1.99. Net interest expense in the third quarter is estimated to be approximately $61 million. For fiscal year 2025, we now expect it will be in the range of $240 million-$245 million.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Greg Hebard","CFO at Jabil","Our core tax rate for Q3 and for the year is expected to be 21%. With that, I'd like to thank you for your time this morning and for your interest in Jabil. I'll now turn the call over to Mike.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","Thanks, Greg, and good morning to all those joining our call today. To begin, I'd like to take a moment to thank our incredible team here at Jabil for their commitment, dedication, and hard work in a particularly dynamic operating environment. As the world continues to evolve, so does this team, always striving to ensure Jabil solutions and our customer supply chains remain nimble, agile, and resilient.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","Thank you. Speaking of nimble, agile, and resilient, next, I'd like to touch on a topic that remains top of mind for customers, shareholders, and employees alike: potential tariffs. Consistent with my comments in December, we place considerable value on maintaining a large-scale global manufacturing footprint. As the geopolitical situation continues to evolve, our ability to adapt, combined with our designation as a U.S.-domiciled manufacturing service provider, and our significant U.S. footprint, is becoming increasingly important for our customers.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","In my opinion, Jabil is among the best-positioned companies in the world to help customers navigate these complexities. As a reminder, while tariffs may impact end-customer demand, any changes in tariff costs are a pass-through cost for Jabil. Since our last call in December, tariff expectations have broadened to now include China, Canada, and Mexico, along with reciprocal tariffs.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","Addressing each of these, for starters, most of our business in China is predominantly local for local or local for regional, with a very small portion of our revenues generated from that region being U.S.-bound. We have extremely limited exposure to Canada. In Mexico, 80-90% of our business today is USMCA compliant. While implementation mechanics of reciprocal tariffs are unknown, I believe it does level the playing field for manufacturing, as hardware still needs to be built somewhere.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","Once again, I feel Jabil is well-positioned to help customers navigate these complexities. Finally, with 30 sites in the U.S., our manufacturing footprint here has never been bigger than it is today. While I do feel there could be some challenges to overcome, such as labor, our investments and experience in tried-and-tested automation lines and robotics will certainly help expedite any lift-and-shift transfers. I personally feel there is no company better positioned than us to grow manufacturing in the U.S. Moving on to our results.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","As highlighted by Greg, our second-quarter results were quite strong, driven by better-than-expected growth in capital equipment, cloud and data center infrastructure, and digital commerce. At the same time, healthcare, automotive, renewables, and connected living were all in line with our expectations from 90 days ago.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","As a result, the team delivered approximately $6.7 billion in revenue, 5% core margins, and $1.94 in core earnings per share, up 26 cents from Q2 of last year. As I review these results in context with our updated outlook for the balance of the year, a few things stand out to me.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","First, our strong year-to-date results underscore the resilience and strength of our diversified portfolio, where certain end markets like capital equipment and data center infrastructure continue to outperform, while some areas of our business, like EVs and renewables, continue to warrant caution. We now believe our Intelligent Infrastructure business is well-positioned to deliver 17% growth in FY 2025 on a reported basis and approximately 27%, excluding the legacy networking business we exited at the end of FY 2024.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
"JBL","2025-03-20","Mike Dastoor","CEO at Jabil","With this updated outlook, AI-associated business is now expected to represent approximately $7.5 billion in revenue this fiscal year, as demand for servers, racks, photonics, advanced networking gear, storage, and testing equipment all continue to climb higher during the quarter. This represents an approximate 40% year-on-year increase for AI-related revenue. Contrary to market fears, the deployment of GPU-integrated racks and liquid-cooled data centers continues to accelerate.","https://www.marketbeat.com/earnings/reports/2025-3-20-jabil-inc-stock/"
