"symbol","report_date","speaker","title","msg","source_url"
"ROK","2026-05-05",NA,NA,"Thank you for holding and welcome to Rockwell Automation's Quarterly Conference Call. I need to remind everyone that today's conference call is being recorded. Later in the call, we will open up the lines for questions. If you have a question at that time, please press star one. At this time, I would like to turn the call over to Aijana Zellner, Head of Investor Relations and Market Strategy. Ms. Zellner, please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Aijana Zellner","VP of Investor Relations and Market Strategy at Rockwell Automation","Thank you, Julianne. Good morning, thank you for joining us for Rockwell Automation's second quarter fiscal 2026 earnings release conference call. With me today is Blake Moret, our Chairman and CEO, and Christian Rothe, our CFO. Our results were released earlier this morning, the press release and charts are available on our website. These materials, as well as our remarks today, will reference non-GAAP measures. Reconciliations of these non-GAAP measures are included in both the press release and charts. A replay of today's webcast and a transcript of the prepared remarks will be available on our website at the conclusion of today's call. Before we begin, please note that our comments today include forward-looking statements regarding the expected future results of our company. Our actual results may differ materially due to a wide range of risks and uncertainties described in our earnings release and SEC filings.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Aijana Zellner","VP of Investor Relations and Market Strategy at Rockwell Automation","With that, I'll hand it over to Blake.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","Thanks, Aijana, and good morning, everyone. Before we turn to our detailed results on slide three, I'll make a couple of opening comments. Rockwell delivered especially strong operating performance this quarter, with sales, margins, and EPS all coming in above our expectations. Double-digit year-over-year growth in orders, sales, and earnings reflects our strong market position led by North America and the team's continued focus and execution in a dynamic global environment. Our technology continues to perform in the most demanding mission-critical environments. Last month, Rockwell supported NASA's Artemis II mission, enabling ground control systems for the first crewed mission to the moon in more than five decades. It's a powerful example of how customers trust Rockwell when reliability, precision, and safety are paramount.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","These same capabilities, including our digital engineering, robust security, and deep domain expertise, are what our customers depend on every day to improve productivity, augment their workforce, and modernize operations. We saw an improvement in customer demand across a broader range of industries in Q2, such as e-commerce, warehouse automation, data center, semiconductor, and energy. Book-to-bill for the company was slightly higher than our historical average. This includes the increasing contribution from projects to build new capacity in the U.S. Persistent trade volatility and geopolitical uncertainty continued to delay large capital investments in other industries, including automotive and consumer packaged goods. We're doing a good job of managing cost increases in areas affected by tariffs, demand for memory, and fuel. At the same time, we're accelerating the release of new technology to grow our customer value and share over the long term.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","The investments we made over the last half dozen years in cloud-native software and modern development tools are contributing to this measurably faster pace, including the ability to incorporate AI capabilities within months of their initial release to the market. Turning to our second quarter results on slide three. Q2 sales were above our expectations, with organic sales growing 9% year-over-year. Reported sales were up 12%, with favorable currency contributing 3 points of growth. Intelligent Devices organic sales were up 9% versus prior year, with strong growth in our motion, I/O, and safety and sensing businesses. We continue to build momentum with our production logistics offering, where our auto AMRs are gaining adoption across a broader range of industries, including automotive, food and beverage, home and personal care, and even pilots and data center applications.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","A great example of a strategic auto win in the quarter was with Subaru of Indiana Automotive, where our autonomous mobile robots are helping scale their production by improving efficiency, flexibility, and safety. In our Software & Control segment, organic sales were up 17% year-over-year and well above our expectations, driven by continued double-digit sales growth of Logix, especially in North America. Our Logix growth was broad-based in the quarter, and we saw a particularly strong performance with our data center customers, where we continue to see increasing demand for our industrial-grade controllers. A great example of this momentum in Q2 was our win with ATS Automation, who is leading the conversion from commercial controls to our robust Logix PLCs at a new AI data center in Texas. Lifecycle Services organic sales were down 1% versus prior year.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","Our longer cycle business was largely in line with expectations, with customers deferring some of their larger projects and continuing to prioritize smaller scope productivity and modernization investments. Book-to-bill in this segment was 1.07. The dissolution of our Sensia joint venture is now complete and executed as planned. Christian and I will cover the expected impact on full year fiscal 2026 financials later on the call. Annual recurring revenue was up over 6% in the quarter, including high single-digit growth from software ARR and mid-single digit growth from recurring services. We continue to see slower growth in our services business with customers temporarily delaying and reprioritizing their spend. One notable ARR win in this quarter was with Prometeon Tyre Group, who selected our cloud native Fiix software as their digital maintenance platform, enabling asset management and operational discipline across complex multi-site operations worldwide.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","From a profitability standpoint, we delivered strong margin performance this quarter. Beginning in Q2, we are now reporting enterprise operating profit and enterprise operating margin, which include corporate expenses. This is due to SEC requirements around non-GAAP measures and is simply a change in presentation with no impact to net income, EPS, cash flow or individual segment margins. Christian will add more detail on this in a few moments. Enterprise operating margin of 22.5% and adjusted EPS of $3.30 were up significantly year-over-year and well above our expectations, driven by higher volume, positive price cost, favorable mix and productivity. Let's move to slide four for Q2 industry highlights. Sales in our discrete industries grew mid-teens versus prior year, led by better than expected growth in automotive, e-com and warehouse, and semiconductor.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
"ROK","2026-05-05","Blake Moret","Chairman and CEO at Rockwell Automation","Within discrete, automotive had a strong quarter with sales of mid-teens year-over-year. While we are starting to see a broader normalization in production schedules and the release of select larger projects, the majority of customer investment is still focused on productivity and smaller modernization initiatives. In addition to our Subaru win mentioned earlier, we secured several strategic AMR wins with global brand owners, where our autonomous material movement solutions are replacing traditional AGVs and forklifts across their global operations. This quarter, we also had an important new logo win with an energy infrastructure company who chose Rockwell to automate the entire production line for their greenfield facility in China, marking our first end-to-end deployment across a complete battery manufacturing process.","https://www.marketbeat.com/earnings/reports/2026-5-5-rockwell-automation-inc-stock/"
