"symbol","report_date","speaker","title","msg","source_url"
"AMZN","2025-10-30",NA,NA,"Thank you for standing by. Good day, everyone, and welcome to the Amazon.com third quarter 2025 financial results teleconference. At this time, all participants are in a listen-only mode. After the presentation, we will conduct a question-and-answer session. Today's call is being recorded, and for opening remarks, I'll be turning the call over to the Vice President of Investor Relations, Mr. Dave Fildes. Thank you, sir. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Dave Fildes","VP of Investor Relations at Amazon.com","Hello, and welcome to our Q3 2025 financial results conference call. Joining us today to answer your questions is Andy Jassy, our CEO, and Brian Olsavsky, our CFO. As you listen to today's conference call, we encourage you to have a press release in front of you, which includes our financial results, as well as metrics and commentary on the quarter. Please note, unless otherwise stated, all comparisons in this call will be against our results for the comparable period of 2024. Our comments and responses to your questions reflect management's views as of today, October 30th, 2025, only, and will include forward-looking statements. Actual results may differ materially. Additional information about factors that could potentially impact our financial results is included in today's press release and our filings with the SEC, including our most recent annual report on Form 10-K and subsequent filings.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Dave Fildes","VP of Investor Relations at Amazon.com","During this call, we may discuss certain non-GAAP financial measures in our press release, slides accompanying this webcast, and our filings with the SEC, each of which is posted on our IR website. You will find additional disclosures regarding these non-GAAP measures, including reconciliations of these measures with comparable GAAP measures. Our guidance incorporates the order trends that we've seen to date and what we believe today to be appropriate assumptions. Our results are inherently unpredictable and may be materially affected by many factors, including fluctuations in foreign exchange rates, changes in global economic and geopolitical conditions, tariff and trade policies, and customer demand and spending, including the impact of recessionary fears, inflation, interest rates, regional labor market constraints, world events, the rate of growth of the internet, online commerce, cloud services, and new and emerging technologies, and the various factors detailed in our filings with the SEC.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Dave Fildes","VP of Investor Relations at Amazon.com","Our guidance assumes, among other things, that we don't conclude any additional business acquisitions, restructurings, or legal settlements. It's not possible to accurately predict demand for our goods and services, and therefore our actual results could differ materially from our guidance. Now I'll turn the call over to Andy.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","Thanks, Dave. We saw strong growth across our business in Q3, and we're reporting $180.2 billion in revenue, up 12% year-over-year, excluding the impact from foreign exchange rates. Operating income was $17.4 billion, but would have been over $21 billion if not for two special Q3 expenses: $2.5 billion for an FTC settlement and $1.8 billion for estimated severance costs. Trailing 12-month free cash flow was $14.8 billion. I'll start with AWS. AWS is growing at a pace we haven't seen since 2022, re-accelerating to 20.2% year-over-year, our largest growth rate in 11 quarters. It's worth remembering that year-over-year % growth is a relative term. It's very different having 20% year-over-year growth on a $132 billion annualized run rate than to have a higher % growth rate on a meaningfully smaller annual revenue, which is the case with our competitors.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","Backlog grew to $200 billion by Q3 quarter end and doesn't include several unannounced new deals in October, which together are more than our total deal volume for all of Q3. AWS is gaining momentum. Customers want to be running their core and AI workloads in AWS, given its stronger functionality, security, and operational performance. The scale I see in front of us gives me significant confidence in what lies ahead. I'll share a little more detail on why. It starts with AWS having much broader infrastructure functionality. Startups, enterprises, and governments want to move their production workloads to the place that has the broadest and deepest array of capabilities. AWS has more services and deeper features within those services than anybody else and continues to innovate at a rapid clip.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","These are key building blocks for anything that customers want to create, and they're a big part of why Gartner has named AWS leader in its strategic cloud platform services, Magic Quadrant, for 15 consecutive years. We're bringing the same building block approach to AI. SageMaker makes it much simpler for companies to build and deploy their own foundation models. Bedrock gives customers leading selection of foundation models and superior price performance to deploy inference into their next-generation applications. A lot of the future value companies will get from AI will be in the form of agents. AWS is heavily investing in this area and well-positioned to be a leader. Companies will both create their own agents and use agents from other companies. For those building their own, it's been harder to build than it should be.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","It's why we launched Strands to make it much easier to create agents from any foundation model that builders desire. For companies who've successfully built agents, they've hesitated putting them into production because they lack secure, scalable runtime services, or memory or observability built specifically for agents. It's why we launched AgentCore, a set of infrastructure building blocks that allow builders to deploy secure, scalable agents. Ericsson used AgentCore to deliver AI agents across their workforce. Sony used it to build an agentic AI platform with enterprise-level security, observability, and scalability. Cohere Health is using AgentCore to deploy agents that will reduce medical review times by up to 30%-40%. AgentCore's SDK has already been downloaded over a million times, and our builders are excited about it. It's an enabler.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","Companies will also use others' agents, and AWS continues to build many of the agents we believe builders will use in the future. For coding, we've recently opened up our agentic coding IDE called Kiro. More than 100,000 developers jumped into Kiro in just the first few days of preview, and that number has more than doubled since. It's processed trillions of tokens thus far, weekly actives are growing fast, and developers love its unique spec and tool calling capabilities. For migration and transformation, we offer an agent called Transform. Year to date, customers have already used it to save 700,000 hours of manual effort, the equivalent of 335 developer years of work. For example, Thomson Reuters used it to transform 1.5 million lines of code per month, moving from Windows to open-source alternatives and completing tasks four times faster than with other migration tools.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
"AMZN","2025-10-30","Andy Jassy","CEO at Amazon.com","Customers have also already used Transform to analyze nearly a billion lines of mainframe code as they move mainframe applications to the cloud. For business customers, we've recently launched Quick Suite to bring a consumer AI-like experience to work, making it easy to find insights, conduct deep research, automate tasks, visualize data, and take actions. We've already seen users turn months-long projects into days, get 80%+ time savings on complex tasks, and realize 90%+ cost savings. For contact centers, we offer Amazon Connect, which creates a more personalized and efficient experience for contact center agents, managers, and their customers. Connect has recently crested a $1 billion annualized revenue run rate, with 12 billion minutes of customer interactions being handled by AI in the last year and is being used by large enterprises like Capital One, Toyota, American Airlines, and Ryanair.","https://www.marketbeat.com/earnings/reports/2025-10-30-amazoncom-inc-stock/"
