"symbol","report_date","speaker","title","msg","source_url"
"GEN","2024-08-01",NA,NA,"Good afternoon, everyone. Thank you for standing by. My name is Tamia, and I will be your conference operator today. This call is being recorded, and all lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. At this time, for opening remarks, I would like to pass the call over to Jason Starr, Head of Investor Relations.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Jason Starr","Head of Investor Relations at Gen","Thank you, Tamia. Good afternoon. Welcome to Gen's first quarter fiscal year 2025 earnings call. Joining me today are Vincent Pilette, CEO, and Natalie Derse, CFO. As a reminder, there'll be a replay of this call posted on the Investor Relations website, along with our slides and press release. I'd like to remind everyone that during this call, all references to the financial metrics are non-GAAP, and all growth rates are year-over-year, unless otherwise stated. A reconciliation of non-GAAP to GAAP measures is included in our press release and our earnings presentation, both of which are available on our IR website at investor.gendigital.com. We encourage investors to monitor this website as we routinely post investor-oriented information, such as news and events, and financial filings.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Jason Starr","Head of Investor Relations at Gen","Today's call contains statements regarding our business, financial performance, and operations, including the impact of our business and industry that may be considered forward-looking statements, and such statements involve risks and uncertainties that may cause actual results to differ materially from our current expectations. Those statements are based on current beliefs, assumptions, and expectations as of today's date, August 1st, 2024. We undertake no obligation to update these statements as a result of new information or future events. For more information, please refer to the cautionary statements in our press release and the risk factors in our filings with the SEC, and in particular, our most recent reports on Form 10-K and Form 10-Q. Now, I'll turn the call over to Vincent.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","Thanks, Jason. Welcome, everyone, to our Q1 earnings call. We've started fiscal 2025 on a good note with our operating KPIs supporting our long-term aspirations. We grew Cyber Safety bookings 4% in constant currency and reached a record direct customer count of 39.3 million, up 1.1 million year-over-year. Additionally, ARPU is up sequentially and year-over-year in constant currency, and retention reached 78%, a Gen record supported by record level in LifeLock and Avast. Our consistent focus on execution resulted in another double-digit growth quarter for earnings per share at $0.53 in Q1, up 15% in constant currency. I'm proud of our team for delivering these results and for our continued focus on evolving Cyber Safety for consumers in a very dynamic threat landscape.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","Before Natalie walks you through the details of our results, I would like first to remind everyone about our strategic opportunity and the steady progress we are making to achieve our Cyber Safety mission. Whether it is a biometric payment at a retail store or our personal performance data combined with recommendation algorithm to buy sportswear, it seems like not a day goes by where we don't do something digitally without sharing more personal information. While these experiences can be convenient, our growing digital life leads to the proliferation of sensitive personal information, which is difficult to properly safeguard as it is increasingly out of our control. We depend on our banks, our government institutions, our mobile providers, and our retailers to protect our data. Yet, as we can all see by the ever-increasing number of data breaches in all industries, it is tremendously hard for them to do.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","In just the first half of 2024, we have seen more than 2,000 reported breaches per month across the globe. Those are just the reported breaches, not to mention the many that occur across very small businesses, the local doctor offices, schools, and shops that also get access to our sensitive personal data. Recent global breaches highlighted the growing threat of cyberattacks, which are often targeted at exploiting human vulnerabilities. In the aftermath of such events, there is a surge in impersonation scams, suspicious emails, and text messages designed to trick people into sharing personal information. The rapid development of Generative AI has made it easier for criminals to create more personalized and believable scams, including Deepfake clones. The potential scope of these threats is broadening, resulting in significant economic and reputational damages.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","It is clear to anyone paying attention that these threats are creating a dynamic threat landscape, making consumers worldwide more vulnerable than ever to real threats to their privacy, identity, and financial assets. Even the more careful and vigilant people, we struggle to control where their personal data lives and will have little to no visibility into how governments, companies, and small businesses protect their data, identity, and reputation, which I believe are among the most valuable assets. I strongly believe that it is not a question of if your personal data will be compromised, if it hasn't occurred already yet, but when. That is why the team at Gen has made protecting you, your data, and your digital identity our life's work. It is our never-ending mission that we deliver through constant innovation.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","Today, we already have the most comprehensive product portfolio that meets the consumer needs for security, identity, privacy, and reputation. Our flagship Cyber Safety membership offerings, Norton 360, Avast One, and Avira Prime, continue to gain traction and regularly receive industry recognition and awards for the way we protect against the myriads of cyber threats. We don't just stop at delivering to consumers industry-leading technology. We know that providing our customers with best-in-class services sets us apart from our competitors. Solutions like LifeLock and ReputationDefender deliver personal live service to help protect and restore your identity and reputation in the event you become a victim. By focusing on the customer journeys with us, both products have achieved top ratings with LifeLock recognized as the best identity theft service in the marketplace and ReputationDefender with a near-perfect rating for reputation management.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","As the leader of the industry, we are constantly investing in innovation to stay ahead of potential threats and provide our customers with the best possible Cyber Safety protection.  , we launched Norton Ultra VPN, which offers more comprehensive online protection with three different plans catering to individuals, couples, and families. Norton Ultra VPN provides the best online privacy, dark web monitoring, VPN protocol support, and worldwide content access. In addition, it offers protection against scams, viruses, malware, and ransomware, as well as a password manager and parental control. We believe it is the best and the next generation of VPN solutions offering a modern and personalized approach to Cyber Safety and adds another entry door into total comprehensive Cyber Safety. We're so excited to bring Norton Ultra VPN to consumers.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","Not only is it a great product that meets the customer needs, but it also represents the promise of all the hard integration work we put into bringing two companies' technology together under a new single common architecture. Norton Ultra VPN is built on the new Gen stack, which helped us not only with the innovation and the feature we delivered, but also with the speed with which we were able to bring it to market. And in the future, as we take those capabilities and combine them with our ever-expanding AI tools, we can't wait to see what we can deliver in terms of customer experience and ease of use. Over time, that will result in improved customer loyalty and greater engagement, leading to more value-added cross-sell and up-sells.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","The last point I want to touch on today is that most everyone has heard about cybercrimes and cybersecurity, but most people are not fully aware of the very real risk that they are exposed to and often not adequately protected from. At Gen, we are hard at work every day communicating, educating, and earning the trust of consumers around the world. Although we have a host of industry-leading brands that enable us to serve the needs of hundreds of millions of diverse customers across over 150 countries, we feel it is also our responsibility to constantly educate and inform people about cyber risk to their impact through initiatives such as our recent Scam Artists campaign. This campaign uses art and psychology to demonstrate the emotional impact of cybercrime and helps people take the right steps to proactively protect themselves online.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","This quarter, we also launched our personal data exposure scan by LifeLock, which is a comprehensive scan of millions of data points online, combining with our privacy monitoring and dark web algorithms. By simply entering an email address, individuals can obtain a free report card detailing all their supposedly private information that may be actually publicly available. These tools are free to everyone and give consumers visibility to their digital footprint so they can better protect themselves. All these types of Cyber Safety awareness initiatives are beginning to pay off as we grow Cyber Safety bookings and revenue by 4% in Q1. We had strong momentum in the identity and privacy business lines with bookings up 6%, supported by double-digit new customer acquisition in that segment and accelerating privacy cross-sell growth. This success reflects the increasing consumer awareness of identity risk from recently reported breaches.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","Although the identity market remains mostly U.S.-based today, we continue to make steady traction in our efforts to expand identity protection globally, introducing Norton 360 Advanced to eight markets in Europe, providing customers additional identity protection services such as dark web monitoring, social media monitoring, stolen wallet assistance, and ID restoration. Now, despite the importance of comprehensive Cyber Safety, most consumers mistakenly believe it won't happen to them or still believe that their digital lives are safe, basically choosing to self-insure. Two-thirds of Cyber Safety customers have only basic security or even just device security. In today's user-centric, cloud-based digital world, information and identity risk transcends personal devices. We believe that comprehensive Cyber Safety is paramount and yet still massively under-penetrated. With our technology portfolio, focus on innovation, trusted brands, and channel expansion, we are well-positioned to drive its adoption. This is our never-ending mission.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Vincent Pilette","CEO at Gen","In summary, we are pleased with our Q1 results and promising start to fiscal 2025. We are confident that our customer-centricity, innovation, and discipline execution will enable us to deliver on our goals for not only this year, but also on our plan to accelerate long-term profitable revenue growth to further increase shareholder value. With that, let me pass it on to Natalie to review our performance in detail.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Natalie Derse","CFO at Gen","Thank you, Vincent. Hello, everyone. For today's call, I will walk through our fiscal Q1 2025 results, followed by our outlook for Q2 and full year fiscal year 2025. I will focus on non-GAAP financials and year-over-year growth rates unless otherwise stated. Before I begin, I want to highlight that as disclosed in today's presentation and our recent Form 8-K, we made a revision to our historical practice of when we recognize revenue for certain customers, changing from successful bill date to renewal date. The impact of the revision is immaterial. However, for comparative purposes, we have corrected for this in prior periods reported. Please refer to the supplemental information section of today's slide presentation available on our IR website, as well as our Q1 Form 10-Q for more details. Now turning to Q1 results.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Natalie Derse","CFO at Gen","Q1 was another quarter of solid execution with financial results at the midpoint of our guidance and reflects our 20th consecutive quarter of growth. Q1 bookings were $913 million, up 3% in USD and 4% in constant currency. Cyber Safety bookings, which exclude our legacy business lines, also grew 4% year-over-year in constant currency. Total Q1 revenue was $965 million, up 2% in USD and up 3% in constant currency. Cyber Safety revenue grew 4% year-over-year in constant currency, driven by our privacy and identity business lines, as well as continued cross-sell penetration into the Norton base. In the U.S., we also grew 4% with expanding demand for privacy and identity protection services, attracting new customers through direct and partner channels and scaling cross-sells with our existing customers.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Natalie Derse","CFO at Gen","We also continue to further penetrate international markets with varying degrees of market maturity as we continue to seed new acquisitions and expand the reach of our Cyber Safety services. We will continue to execute on all levers at our disposal to drive broad-based growth in a profitable manner. Direct revenue was $850 million, up 3% in constant currency, supported by improvements across our key performance metrics of direct customers, average revenue per consumer, and retention rate. Let me share some specifics. A key ingredient to our growth strategy is driving net new customers, and in Q1, we expanded our customer base for the fourth consecutive quarter, increasing to 39.3 million, up 192K sequentially, and up 1.1 million year-over-year. We continue to invest in a broad range of marketing channels to reach new audiences, generate more traffic to our sites while optimizing conversion.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Natalie Derse","CFO at Gen","We are acquiring new customers with healthy ROIs as we further penetrate international markets with our mobile offerings. Leveraging our brand trust and awareness, combined with our highly rated, award-winning product portfolio, we will continue to push through with our diverse set of acquisition channels to grow our customer base. On monetization, our monthly direct ARPU was $7.23 in USD, up $0.01 sequentially and down $0.01 compared to last year's result. However, please note this result absorbs $0.04 of negative FX headwinds year-over-year and $0.02 sequentially. Operationally, ARPU remains stable to slightly up across our customer cohorts by brand and market. And as we grow our customer base, we have demonstrated the ability to further monetize through cross-sells and up-sells. With the Norton base, cross-sell penetration has grown from 15% to 20% over the past year.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
"GEN","2024-08-01","Natalie Derse","CFO at Gen","We have leveraged Avast's best practices to offer the most suitable complementary products during the right moments of truth that will further protect customers and their growing digital needs. We also continue to refine our up-sell playbook to guide our customers toward higher-tier memberships with more comprehensive protection and exciting opportunity for growth as we look to the next few years. The expanded value proposition provided to our customers is also reflected in the retention increases to date. In Q1, our direct retention rate was nearly 78%, improving year-over-year and progressing towards our goal of 80%. As we move through the Gen stack simplification, we see more opportunities to drive higher customer loyalty and increased lifetime value, leveraging better targeting capabilities to create more personalized customer experiences through their journey, in turn activating the growth flywheel as we've previously shared.","https://www.marketbeat.com/earnings/reports/2024-8-1-nortonlifelock-inc-stock/"
