"symbol","report_date","speaker","title","msg","source_url"
"IP","2025-01-30",NA,NA,"Good morning, and thank you for standing by. Welcome to International Paper's fourth quarter 2024 earnings call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, you will have an opportunity to ask questions. To ask a question, press star one on your telephone keypad. To withdraw your question again, press star one. As a reminder, to ask a question, press star one. To withdraw your question, press star one again. And it is now my pleasure to turn the call over to JosÃ© MarÃ­a Rodriguez, Vice President, Investor Relations. Sir, the floor is yours.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","JosÃ© MarÃ­a RodrÃ­guez","VP of Investor Relations at International Paper","Thank you, Krista. Good morning and good afternoon. Thank you for joining International Paper's fourth quarter and full year 2024 earnings call. Our speakers this morning are Andy Silvernail, Chairman and Chief Executive Officer, and stepping in today for our Chief Financial Officer, Tim Nicholls, who is in London for DS Smith Day One, is Finance Vice President, Mark Nellessen. There is important information at the beginning of our presentation, including certain legal disclaimers. For example, during this call, we will make forward-looking statements that are subject to risks and uncertainties. This and other factors that could cause or contribute to actual results differing materially from such forward-looking statements can be found in our press releases and reports filed with the U.S. Securities and Exchange Commission. We will also present certain non-U.S. GAAP financial information. A reconciliation of those figures to U.S. GAAP financial measures is available on our website.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","JosÃ© MarÃ­a RodrÃ­guez","VP of Investor Relations at International Paper","Our website also contains copies of the fourth quarter and full year's earnings press release and today's presentation slides, and finally, I would like to note that all financial materials in these presentations reflect only the current IP portfolio. I will now turn the call over to Andy.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","Thank you, JosÃ©, and congratulations on your new role as Vice President of Investor Relations, and congratulations to Mark Nellessen, who's moving from IR to the lead finance role in our North American Packaging Solution business. And Mark, thanks for pitching for Tim as he's getting us ready here for day one with DS Smith. With that, good morning and good afternoon, everybody. I'm going to begin on slide three.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","I'm excited to share that today, DS Smith appeared before the court in the U.K. to get final approval, and we officially expect to close the DS Smith transaction at the end of the day tomorrow, U.S. time, Friday, January 31st. As you know, last week, the competition authorities of the European Commission approved the proposed acquisition of DS Smith by International Paper with conditions. The EC identified minimal concerns about the acquisition's impact on competition in certain areas. To resolve those concerns, we have agreed to divest five box plants in northern France, northern Spain, and Portugal within the next six months. We would have preferred to retain all facilities in the IP family, and we truly appreciate the contributions for the team and the team members of these five plants. We're committed to identifying suitable buyers who can offer a viable future for these teams.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","Each of these locations is attractive, and we expect significant interest from potential buyers. I'm looking forward to welcoming DS Smith to IP on Monday, February 3rd. Together with our customers, we're creating the global leader in sustainable packaging solutions, and we're focused on the attractive and growing markets in North America and EMEA. I'm excited about the potential to unlock value for our stakeholders. We'll do a deep dive on the path forward for DS Smith at our Investor Day in March. Now transitioning to slide four. We are building a performance-driven, customer-centric culture at IP to fulfill our purpose, a culture that will enable us to create significant value for our employees, customers, and shareholders. That work begins with strong alignment around a very clear and compelling strategy, and that strategy stems from our mission and our values of safety, ethics, and excellence.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","Most importantly, our teams will put safety above all else. We will drive profitable market share growth by being the low-cost producer and the most reliable and innovative sustainable packaging provider in North America to EMEA. A disciplined 80/20 mindset will permeate everything we do. By focusing on the critical few, we are aligning resources, reducing complexity, removing costs, and delighting customers. These efforts are all focused to deliver superior value for all of our stakeholders. I'm now moving to slide five. We're making progress and taking actions on our path to achieve $4 billion of EBITDA medium term. This does not include the DS Smith base earnings or synergies. Again, we're going to talk about those things in detail at our Investor day in March. As I've shared in the past, roughly $1.2 billion of the improvement that we are targeting is going to come from cost out.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","This number is net of inflation. So the way to think about it is that we have to take out roughly $1.6 billion of costs. As we talked about on the third quarter call, we've started to do the heavy lifting, and we're making the right choices to take costs out of the system. Those impacts will ramp up through the year with actions already announced and more to come. We've zeroed out the corporate organization. We're aligning resources to the businesses, and we're having a lean, effective, and efficient corporate staff. As a result, we expect our costs will be reduced by $120 million annually. We have taken the difficult actions to close five box plants and our Global Cellulose Fibers mill in Georgetown, South Carolina. We estimate that these combined will remove roughly another $110 million of costs from our run rate.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","As I mentioned last quarter, there are two regions where we're doing 80/20 pilots. We're now calling these lighthouses. We have delivered 20% plus productivity gains, and we will scale that optimization method to another 22 box plants in 2025. As we look into 2025 and beyond, we'll continue to be laser-focused on improving reliability at our mills and optimizing our mill and box systems so we deliver structural cost reduction. In 2024, our operating performance and lack of productivity cost us $350 million. Unlocking this performance will free resources, allow us to optimize our overall structure, and drive profitable growth. We are also speeding up capital investment opportunities that we believe will deliver significant cost reduction. And to that extent, we have initiated a complete overhaul of our capital investment process to simplify and significantly reduce time from idea to execution.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
"IP","2025-01-30","Andy Silvernail","Chairman and CEO at International Paper","If we turn to the commercial improvements, we expect these commercial improvements to contribute roughly $800 million to our $4 billion target. Our go-to-market value over volume reset is essentially complete. We expect the final unfavorable impact to volume to be behind us later this year. Volume has tracked to our plan for the past three quarters and since we started looking at January, and we have a clear pipeline forward. We have developed a new compensation plan for our salesforce to better align incentives to strategy. This plan will also support our goal of attracting and retaining the best commercial talent in the industry. We continue to add new sales associates as we enhance our commercial capabilities and move to a customer-centric culture.","https://www.marketbeat.com/earnings/reports/2025-1-30-international-paper-stock/"
