"symbol","report_date","speaker","title","msg","source_url"
"INVH","2025-04-30",NA,NA,"As a reminder, this conference is being recorded. At this time, I would like to turn the conference over to Scott McLaughlin, Senior Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Scott McLaughlin","SVP of Investor Relations at Invitation Homes","Thank you, Operator, and good morning. I'm joined today from Invitation Homes with Dallas Tanner, our Chief Executive Officer, Charles Young, our President, Jon Olsen, our Chief Financial Officer, and Scott Eisen, our Chief Investment Officer. Following our prepared remarks, we'll open the line for questions from our covering sell-side analysts. During today's call, we may reference our Q1 2025 Earnings Release and Supplemental Information. We issued this document yesterday afternoon after the market closed, and it is available on the Investor Relations section of our website at www.invh.com. Certain statements we make during this call may include forward-looking statements relating to the future performance of our business, financial results, liquidity and capital resources, and other non-historical statements, which are subject to risks and uncertainties that could cause actual outcomes or results to differ materially from those indicated.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Scott McLaughlin","SVP of Investor Relations at Invitation Homes","We describe some of these risks and uncertainties in our 2024 annual report on Form 10-K and other filings we make with the SEC from time to time. Except to the extent otherwise required by law, we do not update forward-looking statements and expressly disclaim any obligation to do so. We may also discuss certain non-GAAP financial measures during the call. You can find additional information regarding these non-GAAP measures, including reconciliations to the most comparable GAAP measures in yesterday's earnings release. With that, I'll now turn the call over to Dallas Tanner. Please begin, Dallas.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Dallas Tanner","CEO at Invitation Homes","Thanks, Scott, and good morning, everyone. We're pleased to share another quarter of solid performance, further demonstrating the resilience of the single-family rental market and the strength of our operating platform, as well as the dedication of our associates and the trust our residents place in us every day. During the Q1, our same-store portfolio delivered 97.2% average occupancy, 3.6% blended rent growth, and 3.7% year-over-year increase in NOI. Core FFO per share grew 3.5% year-over-year, and AFFO per share grew 4%. These metrics underscore our ability to achieve solid rent growth, sector-leading occupancy, and strong financial performance, even in a volatile environment. I am grateful to our team for the terrific start to the year. The demand for single-family homes is driven by several factors. We've often discussed the favorable demographics, the shift towards value and convenience and flexibility over long-term commitments, and the high cost of homeownership.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Dallas Tanner","CEO at Invitation Homes","On average, in our markets, it's currently over $1,000 per month less expensive to lease a home than it is to own. Whether that's due to elevated mortgage rates or rising homeowners' insurance premiums and property taxes, we provide a valuable alternative to the 14 million individuals and families who choose the leasing lifestyle. Housing is a fundamental human need, and we believe there is a strong desire for well-located, high-quality, professionally serviced homes for lease. We've observed this to be true in many recent cycles, including in Houston during the energy crisis, across all of our markets during the pandemic, and in my previous business in Phoenix during the global financial crisis prior to co-founding Invitation Homes. In general, in periods of economic uncertainty, SFR occupancy has tended to remain steady, and rents have held flat or even increased slightly.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Dallas Tanner","CEO at Invitation Homes","In short, we believe Invitation Homes can deliver stable, sticky, and growing property cash flows in both prosperous and challenging times. Consistent with our corporate DNA, we believe that capital recycling and prudent portfolio growth are essential parts of our overall strategy. Our approach of partnering with homebuilders to redeploy disposition proceeds into new, well-located homes has shown to be both effective and accretive. During the quarter, we acquired 577 wholly owned homes for approximately $194 million, nearly all of which were newly built, while strategically disposing of 454 homes, many to first-time homeowners. Additionally, we're helping our partners develop nearly 2,000 additional homes in many of our West Coast and Sunbelt markets. This provides us with a reliable pipeline of future growth opportunities, with virtually none of the risks of on-balance sheet development, which we believe is an advantage in the current environment.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Dallas Tanner","CEO at Invitation Homes","In addition to new BTR communities and scattered site development, we continue to evaluate stabilized portfolio acquisitions and are exploring several opportunities that we hope to be able to discuss later this year. As always, we remain dedicated to maintaining a disciplined capital allocation strategy, consistently focusing on investments that meet our risk-adjusted return criteria. We continue to target a 6% average yield on cost that's supported by the significant economies of scale we and our partners enjoy. Our ability to de-risk larger communities and acquire brand-new scattered site homes, combined with the synergies we create through best-in-class operations, further support this objective. Looking ahead, we remain committed to our priorities with a measured outlook. We believe our consistent operating performance, execution of our strategic initiatives, and diversified acquisition pipeline form a robust foundation for sustainable growth.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Dallas Tanner","CEO at Invitation Homes","Despite the occasional volatility and uncertainty in the financial markets, Invitation Homes is dedicated to focusing on long-term value and opportunities. With that, I've concluded my prepared remarks. Charles, over to you, please.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Charles Young","President at Invitation Homes","Thanks. As Dallas mentioned, we posted a strong Q1, achieving 3.7% same-store NOI growth, driven by core revenue growth of 2.5%. Thanks to the hard work of our associates, our peak leasing season kicked solidly into gear with new lease rate growth that's accelerated each month since December. In addition, bad debt has continued to improve, underscoring both the strength of our customer and the defensive nature of housing generally. Other sources of property income, such as value-add services like smart home and bundled internet, continue to enhance our overall revenue performance while also providing desirable offerings to our residents. On the expense front, we maintained our disciplined approach to cost controls during the Q1. Same-store core operating expenses were flat year-over-year, in part due to our team's continued focus on leveraging operational efficiencies and scale advantages across our portfolio.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
"INVH","2025-04-30","Charles Young","President at Invitation Homes","Additionally, we experienced milder weather in most of our markets during the Q1 versus the same time last year, which helped us achieve a 2% reduction in repair and maintenance expense year-over-year. Turnover expenses also contributed to our favorable overall expense result, decreasing 5.1% year-over-year in the Q1, driven by the large number of residents who opted to renew their leases with us. This positive trend in renewals was further supported by our same-store leasing performance year-over-year. During Q1, we posted a 5.2% increase in renewal rents, and new lease rents generally held steady. This resulted in blended rental rate growth of 3.6% for the quarter. In addition, average occupancy remained healthy at 97.2%, reflecting sustained demand for our homes. Our average length of stay is now 38.5 months, with a nearly 80% renewal rate during the Q1, which we believe validates our long-standing resident-centric approach.","https://www.marketbeat.com/earnings/reports/2025-4-30-invitation-homes-inc-stock/"
