"symbol","report_date","speaker","title","msg","source_url"
"FTNT","2025-08-06",NA,NA,"Hello and welcome to Fortinet's second quarter 2025 earnings conference call. At this time, all participants are in a listen-only mode. After the speaker's presentation, we will conduct a question and answer session. Please be advised that this call is being recorded. I would now like to hand the call over to Aaron Ovadia, Senior Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Thank you and good afternoon everyone. I am pleased to welcome everyone to our call to discuss Fortinet's financial results for the second quarter of 2025. Joining me on today's call are Ken Xie, Fortinet's Founder, Chairman and CEO, Christiana Ohlgart, our CFO, and John Whittle, our COO. Ken will begin our call today by providing a high-level perspective on our business. Christiana will then review our financial results for the second quarter of 2025 before providing guidance for the third quarter and updating the full year. We will then open the call for questions during the Q&A session. We ask that you please limit yourself to one question and one follow-up question to allow others to participate.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Before we begin, I'd like to remind everyone that on today's call we will be making forward-looking statements and these forward-looking statements are subject to risks and uncertainties which could cause actual results to differ materially from those projected. Please refer to our SEC filings, in particular the risk factors in our most recent Form 10-K and Form 10-Q for more information. All forward-looking statements reflect our opinions only as of the date of this presentation and we undertake no obligation and specifically disclaim any obligation to update forward-looking statements. Also, all references to financial metrics that we make on today's call are non-GAAP unless stated otherwise. Our GAAP results and GAAP to non-GAAP reconciliations are located in our earnings press release and in the presentation that accompany today's remarks, both of which are posted on our investor relations website.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"As a reminder, this is a live call that will be available for replay via webcast on our investor relations website. The prepared remarks will also be posted on the quarterly earnings section of our IR website following today's call. Lastly, all references to growth are on a year-over-year basis unless noted otherwise. I will now turn the call over to Ken.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Thank you, Aaron, and thank you to everyone for joining our call. We are pleased with our strong second quarter performance, beating both our billings and operating margin guidance. Building on this business momentum, we are reaching a four-year billings outlook. In the second quarter, billings grew by 15% and revenue grew by 14%, and we achieved a strong non-GAAP operating margin of 33%. Our strong top line results were driven by continued momentum among large enterprise customers, with the total value of deals over $1 million increased by more than 50%. This growth reflects the strength and value of our innovation, the recent global demand of our integrated solution, and the impact of a go-to-market investment.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Additionally, our recent investment in the fast-growing market of Unified SASE and AI-driven secure operations are continuing to deliver strong return as billings for both grew over 20% for a combined 35% of total billings. Fortinet's strong momentum in SASE has been recognized by industry analysts as we were recently named a leader in the 2025 Gartner Magic Quadrant for SASE platform while also ranking number one in the secure branch network modernization case. We are the only vendor in the report that is also recognized in five different network security Magic Quadrant, which all run off unified FortiOS. We continue to be the only vendor that has developed all core SASE capability in a single operating system, the FortiOS, including Next Gen Firewall, SD-WAN, ZTNA, Secure Web Gateway, CASB, and DLP.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"This native integration of Next Gen Firewall, SD-WAN, and SASE has become the new generation SASE firewall, making it easy for customers to adopt and upgrade while reducing capacity and operation cost, enhancing user experience, and ensuring integrated hyper-secure access across both on-premise and cloud environment. Our success in Unified SASE reflects the value customers place in our new generation SASE firewall, beginning with their investment in our industry-leading FortiGate firewall built on a FortiASIC. From there, most large enterprise expanding into a secure SD-WAN capability before advancing to a FortiSASE solution. As a result, 13% of large enterprise customers have purchased FortiSASE, an increase of over 60% year over year. Furthermore, we have invested around $2 billion to build and operate a global owned infrastructure spanning around 5 million square feet across data centers, NOC and SOC, customer support centers, executive briefing centers, and a research and development facility.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"This large-scale footprint gives us a competitive advantage in delivering FortiSASE, FortiCloud, and other cloud services. By owning and managing our infrastructure, we ensure better customer experience, better cost efficiency, strong data sovereignty, and high performance and scale. We also leverage our FortiSec technology to provide enhanced security and better management across our SaaS services. Today we announced we are expanding our FortiCloud offering with three new services, the FortiIdentity, FortiDrive, and FortiConnect. These services natively integrate into the Fortinet Security Fabric, providing centralized visibility, consistent policy enforcement, and real-time threat protection across users, devices, applications, data, and AI agents in operational technology (OT) security.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"While we are achieving billings growth of over 20%, we were recently named the overall leader in the Westland Advisor IT & OT Network Protection Platform Navigator 2025 report for the third time in a row, earning the highest ranking in both strategic direction and technical capability. We continue to invest in AI, which we began developing more than 15 years ago, and hold over 500 issued and pending AI patents, more than any other competitors. Our latest AI innovations include FortiAI for advanced threat detection, FortiAssist for automating security tasks, and FortiAI Secure AI for protecting AI infrastructure. As a result of our investment and recent innovations, our AI add-on solutions are the fastest growing part of our business. I would like to thank our employees, customers, partners, and suppliers worldwide for their continuous support and hard work. I will now turn the call over to Christiana.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Thank you Ken, thank you Aaron, and good afternoon everyone. As Ken mentioned, Fortinet's growth and momentum are strong. We beat our billings and operating margin guidance for the second quarter and raised our full year billings outlook. Total billings grew by 15% to $1.78 billion, driven by 21% growth in Unified SASE and 31% growth in SecOps. Unified SASE and SecOps now account for 24% and 11% of total billings, respectively, up 1 point each. Our strong billings growth was driven by continued momentum in expanding into the large enterprise as the number of deals greater than $1 million increased by 29% while their total dollar value grew by 51%. Among our top five verticals, financial services, the vertical with arguably the most sophisticated and discerning security purchasers, led the way with billings growth of over 30%. In addition, we continue to expand our customer base.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Over 6,900 new organizations chose our unified single FortiOS platform to power their cybersecurity strategy. The robust growth in new customers is a clear testament to our strong position in the SMB market, driven by the continued commitment and loyalty of our channel partners. Total RPO grew by 12% to $6.64 billion while current RPO grew by 15% to $3.45 billion. With regards to ARR, Unified SASE increased by 22% to $1.15 billion and SecOps increased by 35% to $463 million. Within Unified SASE, FortiSASE, our SSE solution, delivered strong results with ARR growth of over 100% while the customer base expanded by 65%. Furthermore, adoption momentum has remained strong as 13% of our large enterprise customers have purchased FortiSASE, highlighting our continued expansion of FortiSASE in our customer base. As a reminder, the typical customer journey begins with the purchase of our FortiGate firewall.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"From there, customers often expand to our integrated secure SD-WAN solution before adopting our single vendor SASE offering, reflecting the growing convergence of security and networking. Over 50% of our FortiSASE customers also leverage our SD-WAN solution, while 90% of our large enterprise FortiSASE customers began their journey with SD-WAN, reflecting the value of our integrated platform approach and the convergence of security and networking. Total revenue grew by 14% to $1.63 billion, led by EMEA with growth of 18%, while the Americas and APAC both grew 11%. Product revenue increased by 13% to $509 million, benefiting from upgrade buying and strong growth in operational technology. We saw growth in all GEOs as we continue to lead the cybersecurity industry and product revenue. Software license revenue grew at a high teens rate and accounted for a high teens percentage of total product revenue.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Service revenue grew by 14% to $1.12 billion. Service billings grew by 17%, our highest growth rate in the past six quarters, reflecting many enterprise agreement renewals as our loyal customers continue to invest in our solutions and benefit from our strong track record of innovation. Now I'd like to highlight some seven-figure deals that demonstrate how customers are adopting Fortinet, consolidating networking and security, and expanding their overall footprint with Fortinet. First, an educational institution in APAC purchased solutions across all three of our pillars, including FortiSASE for 3,000 users. This customer chose Fortinet over the competition for our simplified, flexible, and consistent security enforcement, enabling secure access to both on-premises and cloud applications while delivering a seamless user experience. By leveraging Fortinet and FortiSASE, the school achieves superior performance, reduced total cost of ownership, and simplified operations through our integrated security platform.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Next, in an expansion and displacement deal, a leading retailer with 1,700 locations significantly increased their investment in Fortinet, purchasing solutions across all three pillars, including FortiAPs, FortiSwitches, and FortiAIOps. Already a FortiGate customer with firewalls deployed at every location, the retailer selected FortiAPs for all sites and FortiSwitches for 600 locations, with the remainder planned for early 2026. This customer chose Fortinet for our integrated FortiOS operating system, which enables seamless convergence of networking and security. As part of the deployment, they adopted FortiAIOps to proactively manage their access points and switches, leveraging our AI-driven capabilities to improve operational efficiency. In another large deal, a top U.S. school district expanded its footprint with the purchase of FortiGates, FortiSwitches, and FortiAPs as part of a 350-plus site refresh, displacing multiple vendors.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Already utilizing solutions across all three of our pillars, including FortiSASE, the district continues to invest in Fortinet to drive deeper network segmentation, stronger security outcomes, and greater infrastructure resiliency. Due to their continued consolidation on Fortinet products, they are realizing significant operational benefits including simplified guest access, accelerated deployments, and more efficient upgrade cycles, all managed through our unified FortiOS platform. Lastly, a technology company upgraded a portion of their high-end firewalls as a result of the upcoming 2026 end of service deadline and expanded their deployment with additional FortiGate appliances in the data center. They selected Fortinet for our FortiOS operating system, which enables streamlined operations while delivering a lower total cost of ownership.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Turning to margins and cash flow, total gross margin increased by 10 basis points to 81.6% and exceeded the high end of the guidance range by 60 basis points due to strong execution and cost control. Product gross margin of 67.8% increased by 180 basis points as inventory-related charges normalized. Service gross margin of 87.8% was down by 80 basis points due to increased investments associated with the expansion of our hosted security solutions. Operating margin of 33.1% decreased by 200 basis points while being 60 basis points above the high end of our guidance range. The year-over-year decline reflects increased investments in sales headcount, the absorption of costs from recent acquisitions, and foreign exchange headwinds stemming from a weaker U.S. Dollar as most of our operating expenses are denominated in foreign currencies. Free cash flow was $284 million and adjusted free cash flow was $428 million, up $104 million.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"Cash generation in the first half of the year was very strong with adjusted free cash flow reaching $1.27 billion, representing a margin of 40% year to date. Infrastructure investments were $168 million, up $145 million. As we continue to build out our infrastructure footprint to support FortiSASE for the cloud and other services, we repurchased approximately 4.6 million shares of our common stock for an aggregate cost of $401 million in the second quarter. The remaining share buyback authorization as of today is approximately $1.6 billion. Before moving on to guidance, I'd like to provide an update on our firewall refresh cycle and the broader macroeconomic environment. During our analyst day last November, we shared that approximately 650,000 firewall units will reach end of service by the end of 2026, followed by another cohort of 350,000 low-end units in 2027.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
"FTNT","2025-08-06",NA,NA,"While the 2027 cohort is less significant than the 2026 cohort in terms of product revenue due to its lower price point, firewall upgrade discussions offer valuable opportunities to engage with both our customers and channel partners, allowing us to showcase our ongoing innovation in FortiOS. By upgrading to our new generation SASE firewalls, customers gain enhanced security capabilities and benefit from our unified platform approach. We estimate that we are approximately 40% to 50% of the way through the 2026 upgrade cycle at the end of the second quarter based on the remaining active units and service contracts, and we expect continued upgrade activity for the remaining devices over the next six quarters. Our focus and open communication regarding the refresh allow us and our channel partners to have conversations with our customers around both the upgrade and the customer's overall security strategy, benefiting us longer term.","https://www.marketbeat.com/earnings/reports/2025-8-6-fortinet-inc-stock/"
