"symbol","report_date","speaker","title","msg","source_url"
"HWM","2025-07-31",NA,NA,"After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star then one on your telephone keypad. To withdraw your question, please press star then two. Please note this event is being recorded. I would now like to turn the conference over to Paul Luther, Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Paul Luther","VP of Investor Relations at Howmet Aerospace","Thank you, Megan. Good morning, and welcome to the Howmet Aerospace Second Quarter 2025 Results Conference Call. I'm joined by John Plant, Executive Chairman and Chief Executive Officer, and Ken Giacobbe, Executive Vice President and Chief Financial Officer. After comments by John and Ken, we will have a question-and-answer session. I would like to remind you that today's discussion will contain forward-looking statements relating to future events and expectations. You can find factors that could cause the company's actual results to differ materially from these projections listed in today's presentation and earnings press release and in our most recent SEC filings. In today's presentation, references to EBITDA, operating income, and EPS mean adjusted EBITDA excluding special items, adjusted operating income excluding special items, and adjusted EPS excluding special items. These measures are among the non-GAAP financial measures that we've included in our discussion.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Paul Luther","VP of Investor Relations at Howmet Aerospace","Reconciliations to the most directly comparable GAAP financial measures can be found in today's press release and in the appendix in today's presentation. In addition, unless otherwise stated, all comparisons are on a year-over-year basis. With that, I'd like to turn the call over to John.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","John Plant","Executive Chairman and CEO at Howmet Aerospace","Thank you, PT, and welcome everyone. The results for the second quarter were strong. Revenue growth increased 9% year-over-year compared to 6% in the first quarter, and the revenue broke through $2 billion-$2.53 billion and exceeded the high end of guidance. The revenue growth enabled us to carry out the costs of the additional headcount as we prepare for the new capacity coming on at the end of 2025, notably for turbine airfoils and the industrial gas turbines build-out during 2026-2027. EBITDA margins were healthy at 28.7%, up 300 basis points year-over-year, which was excellent given the significant sequential revenue and EBITDA growth. EBITDA was $589 million. Free cash flow was also healthy at $344 million. This cash flow enabled share repurchases of $175 million in the quarter to total $300 million in the first half, with an additional $100 million already completed in July.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","John Plant","Executive Chairman and CEO at Howmet Aerospace","Additionally, debt repayment was $76 million. We also announced an increase in the common stock dividend to $0.12 per quarter starting in August. This is a 20% increase quarter-over-quarter, which builds on the significant increases in 2023-2024. Lastly, earnings per share was $0.91, an increase of 36% year-over-year. In terms of business segment commentary, Forged Wheels continues to do well with a 27.5% margin, a slight increase on the first quarter. Additionally, Engineered Structures printed another solid quarter with EBITDA margins above 20%, the exact number being 21.4%. Lastly, Howmet incrementals were above 60% year-over-year. I'll now pass the call to Ken to comment specifically on market sector performance and provide business segment commentary.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Ken Giacobbe","EVP and CFO at Howmet Aerospace","Thank you, John. Good morning, everyone. In the deck, you'll notice that we've added slide five, which gives you a quick snapshot of the first half of performance. We're going to move to slide six now to talk about the markets. End markets continue to be healthy, with total revenue up 9% year-over-year and 6% sequentially. Commercial aerospace was up 8%, driven by accelerating demand for engine spares. Commercial aerospace growth is further supported by the record backlog for new, more fuel-efficient aircraft with reduced carbon emissions. Defense Aerospace growth continued to be robust, printing record quarterly revenue of $352 million, which was up 21%. Growth was driven by engine spares, new engine builds, and F-35 structures. As we expected, commercial transportation was challenging, with revenue down 4% in the second quarter, including the pass-through of higher aluminum costs. On a volume basis, Wheels volume was down 11%.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Ken Giacobbe","EVP and CFO at Howmet Aerospace","Although down year-over-year, the Wheels team did an excellent job to flex costs and deliver strong EBITDA margin of 27.5%. Finally, the industrial and other markets were up a healthy 17%, driven by oil and gas up 26% and IGT up 25%. Within Howmet's markets, the combinations of spares for Commercial Aerospace, Defense Aerospace, IGT, and oil and gas continues to accelerate and was up 40% in the second quarter and represented 20% of total revenue. As a compare, total spares in 2019 was 11% of total revenue on a smaller base. In summary, continued strong performance in Commercial Aerospace, Defense Aerospace, and industrial, partially offset by commercial transportation. Let's move to slide seven. As usual, we'll start with the P&L. Q2 revenue, EBITDA, and earnings per share were all records and exceeded the high end of guidance. Revenue was up 9% year-over-year, exceeding $2 billion.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Ken Giacobbe","EVP and CFO at Howmet Aerospace","EBITDA outpaced revenue growth of 22%. EBITDA margin increased 300 basis points to 28.7%, while absorbing the costs of approximately 400 net headcount additions. Earnings per share was $0.91, which was up a healthy 36% year-over-year. Now let's cover the balance sheet and cash flow. The balance sheet continues to strengthen. Quarter-end cash balance was healthy at $546 million. Free cash flow was excellent at $344 million, which was a record for the second quarter. Free cash flow included the acceleration of capital expenditures, with approximately $100 million invested in the quarter and $220 million invested in the first half, which is up approximately 60% year-over-year. About 70% of the first-half CapEx investment was in our engines business as we continue to invest for growth in Commercial Aerospace and IGT, which is backed by customer contracts.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Ken Giacobbe","EVP and CFO at Howmet Aerospace","Debt continues to be reduced, and we paid down an additional $76 million of our U.S. term loan, which is due in November of 2026. The paydown will reduce annualized interest expense drag by approximately $4 million. Net debt to trailing EBITDA continues to improve to a record low of 1.3 x. All long-term debt is unsecured and at fixed rates. Regarding liquidity, it remains strong with a healthy cash balance and a $1 billion undrawn revolver, complemented by the flexibility of a $1 billion commercial paper program, both of which have not been utilized. Regarding capital deployment, we deployed $292 million of cash to common stock repurchases, debt paydown, and quarterly dividends. In the quarter, we repurchased $175 million of common stock at an average price of approximately $142 per share. Q2 was the 17th consecutive quarter of common stock repurchases.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
"HWM","2025-07-31","Ken Giacobbe","EVP and CFO at Howmet Aerospace","The average diluted share count improved to a record Q2 exit rate of 406 million shares. Additionally, in July, we repurchased $100 million of common stock at an average price of approximately $183 per share. July year-to-date common stock repurchases is $400 million at an average price of approximately $144 per share. Remaining authorization from the board of directors for share repurchases is approximately $1.8 billion as of the end of July. Finally, we continue to be confident in free cash flow. We have announced an increase in the Q3 quarterly stock dividend by 20%, from $0.10 per share to $0.12 per share payable this August. Now let's move to slide eight to cover the segment results for the second quarter. The Engine Products team delivered another record quarter for revenue, EBITDA, and EBITDA margin.","https://www.marketbeat.com/earnings/reports/2025-7-31-howmet-aerospace-inc-stock/"
