"symbol","report_date","speaker","title","msg","source_url"
"NUE","2025-04-28",NA,NA,"Good morning and welcome to Nucor's first quarter 2025 earnings call. All lines have been placed on mute to prevent any background noise, and today's call is being recorded. After the speaker's prepared remarks, I will provide instructions for callers wishing to ask questions. I would now like to introduce Jack Sullivan, Vice President of Nucor Investor Relations. You may begin your call.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Jack Sullivan","VP of Investor Relations at Nucor","Thank you, and good morning, everyone. Welcome to Nucor's first quarter 2025 earnings review and business update. Leading our call today is Leon Topalian, Chair, President, and CEO, along with Steve Laxton, Executive Vice President and CFO. Other members of Nucor's executive team are also here with us today and may participate during the Q&A portion of the call. Yesterday, we posted our first quarter earnings release and investor presentation to Nucor's IR website. We encourage you to access these materials as we will cover portions of them during the call. Today's discussion will include the use of non-GAAP financial measures and forward-looking information within the meaning of securities laws. Actual results may be different than forward-looking statements and involve risks outlined in our Safe Harbor Statement and disclosed in Nucor's SEC filings.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Jack Sullivan","VP of Investor Relations at Nucor","The appendix of today's presentation includes supplemental information and disclosures, along with a reconciliation of non-GAAP financial measures. Let's turn the call over to Leon.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","Thanks, Jack. Before we discuss the quarterly results, I'd like to acknowledge the important contributions of two retiring executive team members. Chad Utermark, our EVP of New Markets and Innovation, will retire in June after more than three decades with Nucor. Chad has exemplified the Nucor culture and has positively impacted thousands of team members during his tenure. His leadership in executing our Expand Beyond strategy and driving key acquisitions has been invaluable. We extend our best wishes to Chad and his family in his retirement. Additionally, Greg Murphy, our EVP of Business Services and General Counsel, will also retire in June.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","Since joining Nucor in 2015, Greg has provided exceptional leadership, and his impact and advocacy leading our legal, environmental, government affairs, and communications teams has been instrumental in developing long-term strategies that serve our shareholders, customers, and our team.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","On behalf of our more than 32,000 team members, thank you both for all of your leadership, friendship, and dedication to Nucor. You will be greatly missed. With Greg's retirement, Ben Pickett has also been promoted to EVP of Business Services, and Doug Wilner has been promoted to President of Corporate Legal Affairs and General Counsel. Just last week, we announced Tom Batterbee will be promoted to EVP of Human Resources and Talent effective May 11th. Tom is an exceptional leader with more than 35 years of service with Nucor. In his new role, Tom will drive Nucor's strategy for the growth, retention, and development of all Nucor team members.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","Please join me in giving a warm welcome to Ben, Doug, and Tom in their new roles. Turning now to our first quarter results, Nucor generated EBITDA of $696 million and earned $0.77 of adjusted EPS.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","Despite the lower results compared to prior quarters, Nucor's strong balance sheet and deep liquidity allowed the company to advance its long-term growth plans on a number of fronts. During the quarter, we reinvested nearly $860 million into the company, with approximately two-thirds of that going into projects that will commence operations over the next two years. We've returned nearly $430 million of capital to Nucor shareholders.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","We've pre-funded upcoming debt maturities, raising $1 billion in new senior notes with a weighted average coupon of 4.88%, and took steps to wind down or repurpose certain operations at divisions where we believe resources can be allocated more efficiently. Through it all, we've continued to Live Our Culture, taking care of our team, customers, and shareholders. The capital projects we've undertaken are designed to strengthen and diversify our earnings profile for shareholders and better serve the evolving needs of our customers.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
"NUE","2025-04-28","Leon Topalian","Chair, President and CEO at Nucor","Several of these projects will commence operations within the next 12 months, and I'd like to take a moment to provide an update on them. Within the Bar Mill Group, our rebar micromill in Lexington, North Carolina, rolled its first billet in April and is on track to produce its first heat in June. Commercial shipments are expected to occur in the third quarter. At our Kingman, Arizona bar mill, we expect the new mill shop to produce its first heat in June and be operational in the third quarter. We've also made considerable headway with new coating facilities at our existing sheet mills.","https://www.marketbeat.com/earnings/reports/2025-4-28-nucor-co-stock/"
