"symbol","report_date","speaker","title","msg","source_url"
"MKTX","2025-08-06",NA,NA,"Ladies and gentlemen, thank you for standing by. Welcome to the MarketAxess second quarter 2025 earnings conference call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, press star one again. As a reminder, this conference call is being recorded on August 6, 2025. I would now like to turn the call over to Steve Davidson, Head of Investor Relations at MarketAxess. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Good morning and welcome to the MarketAxess second quarter 2025 earnings conference call. For the call, Chris Concannon, Chief Executive Officer, will provide you with an update on our strategy and our trading businesses. Ilene Fiszel Bieler, Chief Financial Officer, will review the financial results. Before I turn the call over to Chris, let me remind you that today's call may include forward-looking statements. These statements represent the company's belief regarding future events that, by their nature, are uncertain. The company's actual results and financial condition may differ materially from what is indicated in those forward-looking statements. For a discussion of some of the risks and factors that could affect the company's future results, please see the description of risk factors in our annual report on Form 10-K for the year ended December 31, 2024.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"I would also direct you to read the forward-looking statement disclaimer in our quarterly earnings release, which was issued earlier this morning and is now available on our website. Now, let me turn the call over to Chris.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Good morning and thank you for joining us to review our record second quarter 2025 financial results. These strong results, as shown on slide three of my strategic update, reflect a very strong operating environment and the progress we have made to transform our model to be more protocol agnostic, expand our addressable market, and drive growth. We are delivering multiple protocols to solve our clients' different execution needs, and we are giving them the automation workflow tools that they need to do more with less. We delivered record automation volume and trade count, with a record number of active clients during a period of increased volatility. To accelerate our delivery of product enhancements and automation tools, we have made several important strategic hires over the last several months, including Dean Berry and Spencer Lee, both of whom will be integral to driving growth.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Now, turning to our results in terms of revenue generation, we are very pleased with our execution in the quarter, delivering 10% revenue growth, excluding the impact of FX. We generated these strong results on record trading volume across most product areas, surpassing $1 trillion in total credit trading volume for the first time and delivering a record $2 trillion in total rates trading volume, which drove a 12% increase in commission revenue to a record $192 million. We continued to deliver strong performance in our U.S. government bond business over the last several months. We saw a benefit from the spike in volatility around tariffs, but we are also seeing strength driven by our new hedging services, new customers driving incremental revenue, and institutional client adoption of our rates algo, which now represents over 10% of our trading volume.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"We are in the process of expanding our RFQ business, and we are looking to continue to enhance our rates algo solution as large asset managers continue to request enhancements. Underpinning these results was strong progress with our new initiatives across our three strategic channels. In the client-initiated channel, we generated 38% growth in block trading ADD across U.S. credit, emerging markets, and eurobonds. In the portfolio trading channel, we generated a 69% increase in total portfolio trading ADD. In the dealer-initiated channel, we generated a 40% increase in dealer-initiated ADD. In terms of expenses, we continue to show cost discipline with expenses up only 5%, excluding notables and FX, as we continue to invest in the platform with a full slate of product deliveries coming in the next couple of quarters.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Last, on the capital front, we have been more opportunistic with our share repurchases as we move beyond just offsetting dilution from stock-based compensation. Before I get into our results, I would like to address our July U.S. high-grade market share. While we are disappointed with the headline share, there have been significant swings in block volume moving between phone and electronic over the last several quarters. This has both helped and hurt us. We believe that this has been driven in part by the macro environment. In July, investment-grade spreads tightened significantly, and the combination of tighter spreads and low volatility generally translates into more large trades getting done over the phone and an uptick in portfolio trading. Block trades equal to or larger than $5 million in size increased dramatically and represented 47% of the entire market in July, up from 42% in June.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Additionally, our share of this market dropped to 10%, down from 12% in June. The bad news is that those large blocks moved to the phone and to chat. The good news is that this is the very market that we're attacking with the recent launch of our high-touch strategy in U.S. credit on XPROM. It's still early days, but it's the part of the market that we've been talking about targeting for some time, and we believe we will be successful in electronifying this segment of the market. Slide four, five, and six update you on how we are executing across the three strategic channels we are focused on to grow our market share.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"As slide five clearly shows, the key performance indicators across our platform are all green this quarter, reflecting the underlying fundamental strength of our business as well as the strong progress we are making with our new initiatives. Turning to slide six, in the client-initiated channel, we've made strong progress with block trading, with our targeted block solution now rolled out in emerging markets and eurobonds and recently launched in U.S. credit. This is one of the most exciting areas of growth for us because we are delivering a click-to-trade solution where the trade is against a dealer acts or an indication of interest, and the trade goes direct to the dealer without information leakage. This is also the largest segment of the market that remains largely phone-based. We've registered record total block trading ADD of over $5 billion across U.S. credit, emerging markets, and eurobonds.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Our share of blocks in U.S. high-grade was a record 12.5%, representing an increase of almost 200 basis points and was a key driver of the year-over-year increase in our estimated market share in U.S. high-grade. Our cumulative block trading volume since the launch of our targeted block trading solution in U.S. credit, emerging markets, and eurobonds was approximately $8 billion through July 2025. Next, in the portfolio trading channel, which is a very important part of the market, we generated record levels of total portfolio trading ADD with a strong increase in U.S. high-grade estimated market share on record ADD, as well as record ADD in U.S. high yield and eurobonds. U.S. high-grade portfolio trading market share was over 19% in the quarter, up 370 basis points over the prior year.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Last, in the dealer-initiated channel, we are beginning to see progress as we prepare to launch a new Midex solution in September in U.S. credit. Dealer RFQ ADD was $1.6 billion with record ADD in municipal bonds. Midex total volume hit a new quarterly record of over $9 billion with record volume in emerging markets and eurobonds. We are very excited about the launch of our new Midex solution in a few weeks. It's a very streamlined midpoint matching solution for dealers using our award-winning CP+ for pricing. Slide seven highlights the strong growth in our international product areas where we are executing across all three strategic channels. The strong growth that we generated across emerging markets and eurobonds was driven by multiple levers at different stages of growth with different fee profiles. Growth across block trading, portfolio trading, and dealer-initiated activity drove our total volume growth to over 20%.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"This strong increase in trading volumes on robust market volumes and share gains was accompanied by a small 3% decline in fee capture, principally driven by protocol mix, delivering commission revenue growth of 17%. We believe that our global presence in EM local markets, as shown on slide eight, will be a key driver of our future growth. The opportunity with local EM markets is enormous, as indicated on the right side of the slide, with 85% of the EM market made up of local currency corporates and sovereigns compared to just 15% hard currency corporates and sovereigns. The estimated ADDs for both hard currency and local markets combined are greater than the ADDs for U.S. credit markets. Our estimate is that most local market trades take place with onshore clients, while only a small percentage of our trades are taking place with onshore clients.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"We believe that this is a large growth opportunity for us. We are also focused on facilitating global investing in local markets. As you saw with our press release last week, we just recently executed the first Indian government bond trade electronically. MarketAxess is the first fully electronic trading solution for foreign portfolio investors, and this launch further deepens our global EM franchise. I would like to thank our clients BlackRock and Standard Chartered for their support in executing the first trade. In summary, we are pleased with our execution in the second quarter, where we benefited from a very supportive market backdrop and delivered strong growth across our new initiatives. The July share numbers in U.S.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"high-grade were disappointing, but we believe that the solution we are bringing to the market will be successful, and we now have the right team in place to help us accelerate growth in the coming quarters. Now, let me turn the call over to Ilene to review our financials.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Thank you, Chris. Turning to our results, on slide 10, we provide a summary of our second quarter financials. We delivered 11% revenue growth to a record $219 million, which includes a $2 million benefit from foreign currency fluctuation. Excluding the impact of FX, revenue growth was 10%. We reported an 11% increase in diluted earnings per share to $1.91 or $2.00 per share, excluding notable items, representing an increase of 16%. Notable items in the quarter included $4 million or $0.08 per share in repositioning charges and our expenses in the employee compensation and benefits line, and a $600,000 or $0.01 per share acquisition-related charge included in other income. My comments on our results from this point forward will largely exclude the impact of notable items and will be on a non-GAAP basis where applicable.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Looking at each of our revenue lines in turn, commission revenue increased 12% to a record $192 million, driven by strong market volumes on an increase in volatility in the quarter, as well as the strong progress we have made with our new initiatives in 2025 across our three strategic channels. Just over 50% of the incremental $20 million in revenue generated in the second quarter of 2025 versus the second quarter of 2024 was from block trading, portfolio trading, and dealer-initiated activity. Services revenue increased 7% to a record $28 million. Information services revenue of $13 million increased 4%. Info services growth was 1%, excluding the impact of FX. Growth in the quarter was lower due to data deals that were pushed to the second half of 2025, but the pipeline remained strong with demand increasing from systematic funds and dealers.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Post-trade services revenue of $11 million increased 7% versus the prior year, while 1% excluding the impact of FX. Year two, we see a healthy pipeline of new contracts and expect pricing increases in the second half of the year. Technology services revenue of $4 million increased 16%, driven by higher license and connectivity fees and the addition of RFQ Hub. Total other income increased approximately $1 million, driven by an increase in FX gains of approximately $2 million in the current quarter, partially offset by lower interest income. For modeling purposes, with the closing of RFQ Hub in mid-May and consolidation of their revenues and expenses, the earnings of unconsolidated affiliate line will go away in three Qs. There is a performance incentive plan underway with our non-controlling shareholders, which had a non-cash impact of approximately $900,000 in the current quarter in other net.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"The effective tax rate was 26.9%, up from 24.8% in the prior year, reflecting the increased accrual for the uncertain tax position reserve we established in the first quarter of 2025. On slide 11, we provide more detail on our commission revenue and our fee capture. Total commission revenue increased 12% to a record $192 million. We experienced 12% growth in credit variable commission revenue, with U.S. credit up 10%, record emerging markets up 17%, and record eurobonds up 19%. These strong results were driven by market volume strength and progress with our new initiatives, partially offset by lower fee per million. The reduction in total credit fee capture year over year was principally due to protocol mix. On slide 12, we provide a summary of our operating expenses. Excluding notable items, second quarter operating expenses of $124 million increased 6% compared to the prior year, 5% excluding FX.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"The increase in expenses was driven principally by higher employee compensation and technology and communication costs, as we continue to strike the right balance between investing to drive future growth and continuing to drive increased efficiency. Higher employee comp and benefits was driven by the strategic hires we have made over the last several months that we expect to help drive our growth, as well as higher variable incentive compensation driven by the strong increase in revenue in the quarter. Headcount was 881, up only 2% from 864 in the prior year and up 1% from 870 at the end of the first quarter of 2025. We are reconfirming our full-year 2025 expense guidance and expect to be at the low end of the previously stated expense range of $501 million to $521 million on an ex-notable non-GAAP basis, or on a GAAP basis, $505 million to $525 million.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"On slide 13, we provide an update on our capital management and cash flow. Our balance sheet continues to be strong with cash, cash equivalents, and corporate bond and U.S. Treasury investments to a length of $621 million as of June 30, down from $699 million at the end of 2024. We generated $360 million in free cash flow over the trailing 12 months, an increase of 5% over last quarter. We repurchased 380,000 shares year to date through July 2025 for a total of $80 million, including 168,000 shares repurchased during the second quarter at a cost of $37 million. As of July 31, 2025, $145 million remains on the board's share repurchase authorization. We believe we are striking the right balance of investing to drive future growth, while at the same time being disciplined stewards of capital.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Now, let me turn the call back to Chris for his closing comments.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Thanks, Ilene. In summary, on slide 14, we made solid progress with the key new initiatives that will drive improved market share in U.S. credit in the remaining quarters of 2025. We are continuing to increase the pace of innovation and execution, and we will continue to enhance our delivery of new product enhancements in the coming months. We are pleased with the performance of the platform in the quarter, which benefited from a more favorable macro environment and our new initiatives, which provided over half of our incremental revenue in the quarter. The launch of our targeted block trading solution drove record levels of block trading across U.S. high-grade, emerging markets, and eurobonds. We delivered record portfolio trading ADD, and our market share in U.S. credit portfolio trading increased 240 basis points. 40% growth in dealer-initiated ADD reflects our increasing focus on this important channel.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"We generated record at Midex volumes in emerging markets and eurobonds, and we look forward to the launch of Midex for U.S. credit in September. We have made several very important strategic hires over the last several months, including Dean Berry and Spencer Lee, that will be integral to driving future growth. In summary, we expect to drive growth mainly in U.S. credit in the coming quarters through continued progress across the client-initiated portfolio trading and dealer-initiated channels, combined with our expanded leadership team. Now, we would be happy to open the line for questions.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"At this time, I would like to remind everyone, in order to ask a question, press star, then the number one on your telephone keypad. Please limit to just one question per caller and then rejoin the queue by pressing star, then the number one for any follow-up questions. Our first question comes from the line of Chris Allen with Citi. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Good morning, everyone. Thanks for taking the question. Wanted to see if you could give some more details on the progress to date on the new initiatives, maybe some colors just in terms of where you are from a client penetration and adoption perspective, and the allocation just as you mentioned for the rest of the year. If you could help us reconcile the progress you've made, the momentum we saw in Q2 versus the July volumes, specifically in market share in U.S. high grade, that'd be helpful as well. Thank you.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Sure. Thanks, Chris. First of all, at the beginning of the year, we promised the market that we were going to focus on really three key areas: the client-initiated area, particularly portfolio trading, the dealer-to-dealer business, and block trades. As of July year to date, our IGPT business is up 47%. Our market share in portfolio trading is up 340 basis points. Our year-to-date investment-grade dealer business is up 42%, and our market share in the dealer-to-dealer business is up 100 basis points. Our promise is also we're launching Midex in September. That is without a mid-market matching solution in the dealer-to-dealer business. In high yield, our year-to-date portfolio trading business is up 42%, and our market share in high-yield portfolio trading is up 100 basis points. We are showing a growth year to date across all of those segments. Most exciting is around our block activity.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"We're seeing growth across the markets that we've launched our block solution in: eurobonds, emerging markets, and obviously U.S. credit as well. Year to date, our block activity is up over 20%, and our block share has increased as a result of those solutions in that market. Across the three initiatives, we are delivering outsized performance, and we're pretty excited about what's to come in those three areas. We are also excited about this Midex launch for U.S. credit. We do think that will have an impact on our dealer-to-dealer growth rates as a result, and that's due to go live in September. I'm also excited about our block trading solution in investment grade and in high yield. It's really just been recently launched to a number of users, and we're expanding that user base in the coming weeks as we onboard more dealer content.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"We are also rolling out all of this initiative while we were upgrading our technology. We're seeing further rollout of that new tech into Europe with XPROM going live in Europe just this month. We have some exciting new features rolling out in the coming months in our portfolio trading platform as well. Certainly year-to-date progress that we're excited about those three initiatives. With regard to July, I certainly would like to cover the July market share numbers, particularly in investment-grade electronic. July was a very similar market dynamic that we saw in February of this year with exceptionally narrow spreads and quite low volatility. When we see that kind of market dynamic, we typically see a pickup in portfolio trading and mid-market matching solutions in the market. Portfolio trading volumes did go up in July and rose to 13% of the overall market.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"What's interesting is we tend to see a pickup in the mid-market matching solutions as dealers recycle that higher PT volume into those mid-point matching solutions. They tend to exit that risk using those mid-point matching solutions. We did see some progress in the overall market in blocks, but really the number one competitor in July that we saw was phone and chat. We saw the phone and chat block market grow, as we mentioned in the opening remarks, 400 basis points to 47% market share. That's a sizable increase that we saw in that block market that typically tends to be on phone and chat. As you've seen in our numbers, we are addressing that very market share, that block market in particular, and showing some promise with the rollout of our block solution in both eurobonds and EM, and obviously finishing that here in U.S. high grade.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"Not a great month for us, but one month doesn't really make a quarter or a year. We saw a certain market dynamic in July that is much more favorable to large PTs or sizable portfolio trades in July. That mid-market matching solutions tend to do quite well in a stable, low vol environment.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
"MKTX","2025-08-06",NA,NA,"All right. The next question comes from Patrick Moley with Piper Sandler. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-8-6-marketaxess-holdings-inc-stock/"
