"symbol","report_date","speaker","title","msg","source_url"
"UAL","2025-10-15",NA,NA,"Good morning and welcome to United Airlines Holdings' Earnings Conference Call for the third quarter of 2025. My name is Regina, and I will be your conference facilitator today. Following the initial remarks from management, we will open the lines for questions. In order to ask a question, you will need to press star followed by the number 1 on your telephone keypad. This call is being recorded and is copyrighted. Please note that no portion of the call may be recorded, transcribed, or rebroadcast without the company's permission. Your participation implies your consent to our recording of this call. If you do not agree with these terms, simply drop off the line. I will now turn the presentation over to your host for today's call, Kristina Edwards, Managing Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Kristina Edwards","Managing Director of Investor Relations at United Airlines Holdings","Thanks, Regina. Good morning, everyone, and welcome to United's Third Quarter 2025 Earnings Conference Call. Yesterday, we issued our earnings release, which is available on our website at ir.united.com. Information in yesterday's release and the remarks made during this conference call may contain forward-looking statements, which represent the company's current expectations, which are based upon information currently available to the company. A number of factors could cause actual results to differ materially from our current expectations. Please refer to our earnings release, Form 10-K and 10-Q, and other reports filed with the SEC by United Airlines Holdings and United Airlines for a more thorough description of these factors. Unless otherwise noted, we will be discussing our financial metrics on a non-GAAP basis on this call, and historical operational metrics will exclude pandemic years of 2020 to 2022.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Kristina Edwards","Managing Director of Investor Relations at United Airlines Holdings","Please refer to the related definitions and reconciliations of these non-GAAP measures to the most directly comparable GAAP measures at the end of our earnings release. Joining us on the call today to discuss our results and outlook are Chief Executive Officer Scott Kirby, President Brett Hart, Executive Vice President and Chief Commercial Officer Andrew Nocella, and Executive Vice President and Chief Financial Officer Mike Leskinen. We also have other members of the executive team on the line available for the Q&A. Now, I'll flip the call over to Scott.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","Thanks, Kristina, and good morning, everyone. For the last few years, we've talked about an industry that is transforming and a United Airlines that is competitively positioned to win. For United, that's meant winning brand-loyal customers. The third quarter is another data point that is consistent with the structural, permanent, and irreversible change that is occurring in this industry. We delivered strong third-quarter results despite macro volatility in the first nine months of the year, and we now expect to grow earnings for the full year. The first three quarters of the year were an economic downturn for airlines, at least, and our ability to grow earnings in the face of macro issues is proof that the brand-loyal United Next strategy is resilient in tough times and a clear proof point on our path to solid double-digit margins. What we've really proven is air travel is not a commodity.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","On our calls in the last few years, we spent a lot of time appropriately talking about the industry structure and making predictions about how that would play out in the future. We're now seeing those predictions come true, and even though it's only the second or third inning, I think the general contours of how that is going to end are widely known and easy to forecast to everyone at this point. Given that, I think it's time to shift the focus and talk about how United gets to double-digit margins even in the current industry environment. There are two important points on the revenue side and likewise two points on the cost side. On the revenue side, it starts with winning brand-loyal customers. United is investing over $1 billion in customer product enhancements annually, and that investment is in all cabins and classes of service.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","Every customer who flies United gets more value. For basic economy customers, we don't just offer them a competitively priced ticket. We offer them the best app, an on-time flight, power in every seat, seatback screens, a great loyalty program, just to name a few. For brand-loyal customers, we offer all the benefits I just mentioned, plus expansive clubs, more seats up front, better food, a more extensive route network to exotic destinations around the globe, and a loyalty program that gives bigger rewards and a tremendous amount of utility for their miles. Most importantly, our people are our best asset, and they're delivering for all of our customers each and every day. We're in the people business, and our people have done an amazing job of caring and providing friendly service that makes customers feel good and is the foundation of keeping them brand loyal.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","From basic economy all the way to Polaris class, every United customer simply gets more value at United than what our competitors offer, and that's why they're brand loyal. It's also why we're winning more brand-loyal customers every day, and it's the important competitive advantage that is giving us a generational lead versus most of the industry. We believe that winning brand-loyal customers sets up our second revenue advantage, the potential to double the EBITDA from our loyalty program in the years to come. We're still in the pre-game warmups for taking the United loyalty program to another level. In order to invest over $1 billion per year in incremental customer products and services, we had to find a different and better way to manage costs.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","Historically, airlines looking to reduce costs have focused on cutting customer-friendly amenities like food because most of our expense is in areas we can't control, like union contracts, airport fees, fuel, etc., or by adding utilization flying late at night on off-seat days or during slower times of the year. United is doing the exact opposite of that industry dogma, namely investing more for the customer and focusing on flying at times that can be profitable instead of just trying to maximize aircraft utilization. You can see it in our numbers. Our major cost focus at United is to drive real cost efficiencies through our use of technology that can also improve the customer experience. In public discussions, we've tended to focus more on the app and customer-facing technology, but we're doing far more behind the scenes, and we're the most cutting-edge technology airline in the world.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","Mike will give you some examples of these technology-driven savings that allow us to lower true CASM. These technology investments are efficient for cost, but they also help us to run a more reliable operation for customers. Secondly, on cost, we have large gauge increases coming as both Boeing and Airbus get back to a better delivery cadence. This strategy is working, and I expect us to add at least a point or more of margin each year, normalized for any unusual macroeconomic activity up or down, which gets us to the low-teens margins in this industry capacity environment. As I said earlier, the industry restructuring, i.e., each airline focusing its capacity in markets where they can be profitable, is only in the second or third inning. As that process plays out, I expect that to add several more margin points to United, moving us up into the mid-teens margins.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Scott Kirby","CEO at United Airlines Holdings","As we deliver on that, I bet that our multiples move up meaningfully as well. I'll now turn it back to the team for a run-through of the quarter and our outlook.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
"UAL","2025-10-15","Brett Hart","President at United Airlines Holdings","Thank you, Scott, and good morning. This summer was the busiest in United's history. We surpassed 1 billion available seat miles in a single day and flew over 48 million customers in the quarter. Even with these volumes, as well as significant summer weather disruptions and system-wide ATC challenges, our operation was resilient this quarter. The third quarter marked our lowest rate of cancellations for any third quarter in company history, and six of our seven hubs ranked first or second for on-time departures. We continue to adapt under pressure and to maintain flexibility during irregular operations, preserving travel plans for more than 290,000 customers by managing delays rather than canceling flights or use of connecting states. This is what drives the most value to our customers and helps build the brand loyalty we speak so much about.","https://www.marketbeat.com/earnings/reports/2025-10-15-united-airlines-holdings-inc-stock/"
