"symbol","report_date","speaker","title","msg","source_url"
"WY","2025-01-30",NA,NA,"Greetings and welcome to the Weyerhaeuser Q4 2024 Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speaker's remarks, there will be a question-and-answer session. To ask a question during the session, you will need to press star one on your telephone keypad. The confirmation tone will indicate your line is in the question queue. If anyone should require operator assistance during the conference, please press star zero. As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Andy Taylor, Vice President of Investor Relations. Thank you, Mr. Taylor. You may begin.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Andy Taylor","VP of Investor Relations at Weyerhaeuser Company","Thank you, Rob. Good morning, everyone. Thank you for joining us today to discuss Weyerhaeuser's Q4 2024 earnings. This call is being webcast at www.weyerhaeuser.com. Our earnings release and presentation materials can also be found on our website. Please review the warning statements in our earnings release and on the presentation slides concerning the risks associated with forward-looking statements, as forward-looking statements will be made during this conference call. We will discuss non-GAAP financial measures, and a reconciliation of GAAP can be found in the earnings materials on our website. On the call this morning are Devin Stockfish, Chief Executive Officer, and Davy Wold, Chief Financial Officer. I will now turn the call over to Devin Stockfish.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","Thanks, Andy. Good morning, everyone, and thank you for joining us. Yesterday, Weyerhaeuser reported full-year GAAP earnings of $396 million, or $0.54 per diluted share, on net sales of $7.1 billion. Excluding special items, full-year 2024 earnings totaled $384 million, or $0.53 per diluted share. Adjusted EBITDA totaled $1.3 billion for the year. For the Q4, we reported GAAP earnings of $81 million, or $0.11 per diluted share, on net sales of $1.7 billion. Adjusted EBITDA was $294 million, a 25% increase over the Q3. I'll start this morning by expressing my sincere gratitude to our Weyerhaeuser employees for their solid execution and dedication in 2024 in what was a very challenging market backdrop. Through their collective efforts, we continued to serve our customers, delivered industry-leading operating performance, and drove meaningful improvements across each of our value levers in the investment thesis.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","Notably, we grew our Timberlands through acquisitions in Alabama, announced plans to expand our engineered wood products portfolio, advanced our natural climate solutions business, and captured additional operational excellence improvements. We also increased our base dividend by more than 5% and returned $735 million of cash to shareholders based on our 2024 results, including $153 million of share repurchase. I'm incredibly proud of these accomplishments, all of which support our growth strategy and drive long-term value for our shareholders. Before moving into the business segment results, I'd like to comment briefly on an exciting growth initiative within our EWP business, which is summarized on page 24 of our earnings slides. As we announced in the Q4, we plan to invest approximately $500 million to build a state-of-the-art TimberStrand facility in Arkansas.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","TimberStrand is a proprietary and versatile engineered wood product with applications in residential, industrial, and mass timber end markets. The new facility will address an underserved and growing market for the product in the U.S. South and showcases Weyerhaeuser's innovation in wood products. Notably, we combined institutional expertise from our existing TimberStrand facility in Canada with extensive research and development to enable manufacturing of the product with Southern Yellow Pine as the primary feedstock. Given its location in Arkansas, the new facility will deliver seamless integration with our existing Timberlands and distribution network. In fact, approximately 80% of the raw material sourcing for the facility will come from Weyerhaeuser's timberlands, resulting in an excellent new outlet for our southern fiber logs in the region. Construction of the facility will begin this year, with startup expected in 2027.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","Once fully operational, the facility will add 10 million cubic feet of production, doubling Weyerhaeuser's TimberStrand offering and increasing total company EWP capacity by approximately 24%. In addition, the facility is expected to generate over $100 million of annual Adjusted EBITDA, with additional upside from portfolio integration benefits. We're excited to bring this new facility online and look forward to expanding our footprint and workforce in Arkansas. With that, I'll now turn to our Q4 business results, starting with Timberlands on pages 7 through 10. Timberlands contributed $62 million to Q4 earnings. Adjusted EBITDA was $126 million, a slight increase compared to the Q3. In the West, adjusted EBITDA was comparable to the Q3. Turning to the Western domestic market, log demand improved in the Q4 as mills responded to strengthening lumber prices and a seasonal reduction in log supply across the system.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","As a result, pricing for grade logs increased as the quarter progressed and moved substantially higher in December. That said, our average domestic sales realizations were comparable to the Q3 due to mix. Our sales volumes to domestic customers increased moderately as we reduced shipments to customers in China. Per unit log and haul costs were comparable to the Q3, and forestry and road costs were seasonally lower. Our fee harvest volumes were slightly lower, largely due to fewer working days in the Q4. Moving to our Western export business. In Japan, log markets remained soft in the Q4 due to ongoing consumption headwinds and elevated inventories of finished products for our customers. As a result, our sales volumes and average realizations for export logs to Japan were slightly lower compared to the Q3.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","However, inventories and shipments of European lumber imports decreased as the quarter progressed, allowing our customers to pick up market share. As a result, we expect stronger demand for our Japanese export logs in the Q1. In China, despite ongoing consumption headwinds, log markets remained relatively stable in the Q4, and demand from our strategic customers was steady. That said, our sales volumes into China were significantly lower as we intentionally flexed logs to our domestic customers. Our average sales realizations were comparable to the Q3. Turning to the South, Adjusted EBITDA for southern Timberlands increased by $2 million compared to the Q3. Southern saw log markets remained muted in the Q4 as log supply was ample and mills continued to align capacity with lower takeaway of finished goods. This was partially driven by the seasonal reduction in lumber demand around the holidays.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","In contrast, southern fiber markets were generally stable. On balance, takeaway for our logs remained steady given our delivered programs across the region, and our average sales realizations increased slightly compared to the Q3, largely driven by a higher mix of gray logs. Our fee harvest volumes and forestry and road costs increased in the Q4 as operating activities in certain regions shifted from the prior quarter due to wet weather conditions. Per unit log and haul costs were comparable to the Q3. In the North, Adjusted EBITDA increased slightly compared to the Q3, largely driven by higher fee harvest and sales volumes given favorable weather conditions. Turning now to real estate, energy, and natural resources on pages 11 and 12. In the Q4, real estate and ENR contributed $46 million to earnings.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
"WY","2025-01-30","Devin Stockfish","CEO at Weyerhaeuser Company","Adjusted EBITDA was $76 million, and largely in line with Q3 results. For the full year, the segment generated $349 million of adjusted EBITDA, slightly higher than our revised full-year guidance and $29 million higher than our initial outlook. These results were largely driven by solid demand and pricing for HBU properties in our real estate business, resulting in high-value transactions with significant premiums to timber value. They also reflect a significant year-over-year increase in contributions from our natural climate solutions business. As shown on page 23, full-year adjusted EBITDA for NCS was $84 million, a 79% increase compared to 2023, primarily driven by strong contributions from our conservation, mitigation banking, and renewables business, where we continue to see solid demand. In forest carbon, we achieved notable milestones in 2024, including the approval and credit issuance from our second project located in the U.S.","https://www.marketbeat.com/earnings/reports/2025-1-30-weyerhaeuser-stock/"
