"symbol","report_date","speaker","title","msg","source_url"
"ERIE","2025-02-27",NA,NA,"Good morning and welcome to the Erie Indemnity Company fourth quarter and year-end 2024 earnings conference call. This call is pre-recorded, and there will be no question-and-answer session following the recording. Now, I'd like to introduce your host for the call, Vice President of Investor Relations, Scott Beilharz.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Scott Beilharz","VP of Investor Relations at Erie Indemnity Company","Thank you and welcome, everyone. We appreciate you joining us for this recorded discussion about our fourth quarter and year-end results. This recording will include remarks from Tim NeCastro, President and Chief Executive Officer, and Julie Pelkowski, Executive Vice President and Chief Financial Officer. Our earnings release and financial supplement were issued yesterday afternoon after the market closed and are available within the Investor Relations section of our website, erieinsurance.com. Before we begin, I would like to remind everyone that today's discussion may contain forward-looking remarks that reflect the company's current views about future events. These remarks are based on assumptions subject to known and unexpected risks and uncertainties. These risks and uncertainties may cause results to differ materially from those described in these remarks.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Scott Beilharz","VP of Investor Relations at Erie Indemnity Company","For information on important factors that may cause such differences, please see the Safe Harbor statements in our Form 10-K filing with the SEC filed yesterday and in the related press release. This pre-recorded call is the property of Erie Indemnity Company. It may not be reproduced or rebroadcast by any other party without the prior written consent of Erie Indemnity Company. With that, we move on to Tim's remarks. Tim?","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Tim NeCastro","President and CEO at Erie Indemnity Company","Thanks, Scott, and thanks to all of you for your interest in Erie's fourth quarter and year-end results for 2024. 2025 is an exciting year at Erie Insurance as we celebrate our centennial. H.O. Hirt and O.G. Crawford opened the doors of Erie Insurance Exchange on April 20th, 1925, after selling $31,000 of stock in Erie Indemnity Company as the managing attorney-in-fact. Within the first year, H.O. and O.G. brought in just under $50,000 in premiums from nearly 1,400 policyholders and established a surplus of almost $37,000. It's amazing to think that today, Erie Insurance Exchange has amassed close to $12 billion in premium, more than 7 million policies in force, and just over 9 billion in policyholder surplus, and Erie Indemnity just experienced net income of $600 million in 2024.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Tim NeCastro","President and CEO at Erie Indemnity Company","This growth and success are, no doubt, testaments to the value proposition we offer delivered by our dedicated employees and our agents. Today, we face challenges and changes that are quite different from those of our founders, but we are adapting and responding in a way that aligns with our founding principles, which guide us to put people in service above all else. I'll share some examples of recent strides we've made to adapt to some of those changes in a few minutes. But first, I'd like to introduce Chief Financial Officer Julie Pelkowski, who will provide an overview of our financial results. Julie?","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Julie Pelkowski","EVP and CFO at Erie Indemnity Company","Thank you, Tim, and good morning, everyone. In 2024, Erie Indemnity Company continued to experience strong operating performance driven by growth for Erie Insurance Exchange. Direct written premiums of the Exchange grew 16% in the fourth quarter of 2024 and over 18% for the full year 2024 compared to the respective periods in the prior year. These results were primarily driven by the more significant rate increases that had been taken to combat higher loss costs caused by increased severity and weather events. The Exchange's total average premium per policy grew over 13% in 2024 compared to 2023. Policies in force grew a solid 4.8% to over 7 million in 2024, although slowing from the significant growth of 6.9% in 2023. Policyholder retention also remained strong at 90.4%.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Julie Pelkowski","EVP and CFO at Erie Indemnity Company","As stated in previous calls, because we write 12-month policies, it takes 24 months for the related premium to be fully earned into our financial results. As expected, the Exchange's profitability experienced improvements driven by the higher earned premiums as the more significant portion of rate increases were realized in 2024. In the fourth quarter of 2024, the combined ratio was 105.7, an improvement from 111.4 in the fourth quarter of 2023. From a total year perspective, the combined ratio for the Exchange ended at 110.4, nearly 9 points better than the 2023 combined ratio of 119.1. Coupled with the impact from rate increases, the Exchange has seen stable frequency, and while there are still pockets of higher severity, overall severity trends have been moderating. Catastrophe losses from weather events were also lower in 2024, despite the impacts of Hurricane Helene that added 1.6 points to the 2024 combined ratio.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Julie Pelkowski","EVP and CFO at Erie Indemnity Company","Overall, catastrophe losses contributed 9.6 points to the 2024 combined ratio compared to 12.6 points in 2023. In 2022 and 2023, the Exchange experienced declines in policyholder surplus driven by the severity and weather events we've been discussing. With the more significant rate actions taking hold in 2024, policyholder surplus stabilized this year, remaining at $9.3 billion at year-end, similar to the beginning of the year. Now let's turn to the Indemnity Company and the positive results for both the fourth quarter and year-end. Net income was $152 million, or $2.91 per diluted share in the fourth quarter of 2024, compared to nearly $111 million, or $2.12 per diluted share in the fourth quarter of 2023. Net income was just over $600 million, or $11.48 per diluted share in 2024, compared to just over $446 million, or $8.53 per diluted share in 2023.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Julie Pelkowski","EVP and CFO at Erie Indemnity Company","Operating income in the fourth quarter increased a little over $40 million, or 31.7%, compared to the fourth quarter of 2023. For the total year, Indemnity experienced an increase in operating income of just over $156 million, or 30%, compared to 2023. When looking at our revenue growth, management fee revenue from policy issuance and renewal services increased over $97 million, or 16.1%, in the fourth quarter of 2024 compared to the fourth quarter of 2023, and $452 million, or 18.5%, for the total year compared to 2023. These increases in both the fourth quarter and total year were in line with the respective increases in the direct and affiliated assumed written premiums of the Exchange.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
"ERIE","2025-02-27","Julie Pelkowski","EVP and CFO at Erie Indemnity Company","From an expense standpoint, the total cost of operations from policy issuance and renewal services increased $57 million, or 11.4%, for the fourth quarter, and $301 million, or 15%, for the total year 2024 compared to the same periods in 2023. Our most significant cost of operations, our commission expenses, grew $51 million in the fourth quarter, while the total year commission expenses increased $253 million. The higher commissions in both periods were driven by the increase in direct and affiliated assumed written premiums of the Exchange. Non-commission expenses for the fourth quarter grew just over $6 million, while the total year non-commission expenses grew $48 million. The $6 million fourth quarter increase was driven by increased underwriting and policy processing costs of nearly $5 million, $3 million in additional information technology investments, and $2 million in higher customer service costs.","https://www.marketbeat.com/earnings/reports/2025-2-27-erie-indemnity-stock/"
