"symbol","report_date","speaker","title","msg","source_url"
"RMD","2025-01-30",NA,NA,"Welcome to the Q2 Fiscal Year 2025 ResMed Earnings Conference Call. My name is Matt, and I'll be your operator for today's call. At this time, all participants are in a listen-only mode. Later, we'll conduct a question-and-answer session. Please note that this conference call is being recorded. I will now turn the call over to Uncertain, Senior Manager, Investor Relations. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Ott","Director of Investor Relations at ResMed","Great. Thank you, Matt. Hello, everyone, and welcome to ResMed's Second Quarter Fiscal Year 2025 earnings call. We are live webcasting this call, and the replay will be available on the Investor Relations section of our website later today. Our earnings press release and presentation are both available online now. During today's call, we'll discuss several Non-GAAP measures that we believe provide helpful information for investors.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Ott","Director of Investor Relations at ResMed","This information is not intended to be considered in isolation or as a substitute for the GAAP financial information. We encourage you to review the supporting schedules in today's earnings press release to reconcile these Non-GAAP measures with the GAAP reported numbers. In addition, our discussions today will include forward-looking statements, including but not limited to expectations about our future financial and operating performance. We make these statements based on reasonable assumptions. However, our actual results could differ.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Ott","Director of Investor Relations at ResMed","Please review our SEC filings for a complete discussion of the risk factors that could cause our actual results to differ materially. For many forward-looking statements made today, I'll now turn the call over to ResMed's Chairman and CEO, Mick Farrell.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Great. Thank you, Mike, and good morning and good afternoon as we welcome our Shareholders and Review ResMed's Second Quarter Fiscal Year 2025 Results. I'm pleased to share that ResMed delivered another strong quarter of global top-line and bottom-line growth. We achieved excellent year-over-year performance in Q2 with solid revenue growth, improved gross margins combined with disciplined investments in both R&D and SG&A, resulting in very strong operating profit and net profit performance.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","These results reflect the hard work of 10,000-plus ResMedians and our dedication to improving the lives of patients, improving the workflow of home care providers, physicians, payers, and the communities that we serve in over 140 countries worldwide. The foundation of our continued positive performance lies in our clear market-leading value proposition, including the sustainable competitive advantage that we have established with our best-in-class hardware and software products, as well as our digital health ecosystem.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Through cloud-connectable medical devices, masks and accessories, as well as digital platforms and ongoing investments in technology, including specifically ML, AI, and generative AI, we are committed to helping hundreds of millions of people so that they can sleep better, breathe better, and live longer and higher-quality lives. Let me start with a high-level review of our financials. I'm proud to report that we delivered global revenue growth of 10%, reflecting positive and consistent contributions across our combined sleep health, breathing health, and residential care software portfolio.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Global device sales were driven by strong market performance across our U.S., as well as Europe, Asia, and rest of world markets, reflecting the continuing demand for our AirSense 10 and AirSense 11 platforms. Device sales remained strong, growing double digits year over year. We increased the global availability of our AirSense 11 platform this quarter, launching in India during Q2.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We will have additional country launches of AirSense 11 planned throughout calendar year 2025. We make the market-leading sleep health platform with the AirSense 11. I want to make it clear that there is still strong global demand for the second-best device platform in the market, and that is the AirSense 10 range. Our masks and accessories business also had another strong quarter, delivering double-digit global growth in that category as well.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Ongoing rollout of Brightree ReSupply and Snap Technology have helped in our U.S. market, and we expect to maintain that momentum as we launch Snap Technology that can work on all HME management platforms throughout calendar year 2025. We achieved 230 basis points of margin expansion in Non-GAAP gross margin year-over-year to 59.2%, reflecting our ongoing focus on improving operating efficiencies.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","With disciplined investments in R&D and SG&A, we achieved a 29% increase in Non-GAAP earnings per share. Our new head of supply chain, Shane Azzi, and his team are committed to driving increased supply and increased manufacturing efficiencies by investing in technology and infrastructure to power long-term cost improvements. By balancing this cost discipline with strategic investments in new product introductions, we will continue to drive sustainable and profitable growth for ResMed.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We have published peer-reviewed studies showing categorically that resupply programs drive patient adherence. They improve patient outcomes, and they also lower long-term costs for the healthcare system. In the U.S., our digital health ecosystem, including both AirView for payers, Brightree for home medical equipment players, as well as for patients, the myAir app, they continue together to power these resupply programs.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We are actively investing in appropriate modified versions of these successful U.S. resupply programs into our global markets. Each of the 140 countries that we operate in have different regulatory, reimbursement, economic, as well as cultural norms. It's our opportunity to leverage ResMed's knowledge of each of those markets and to optimize the best way for a person to regularly receive fresh supply for their life-changing and life-saving care. ResMed is an innovation machine.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Our ongoing investments of 6%-7% of revenues into R&D is a key growth driver and a key part of our long-term success. With trailing 12 months' revenue around $5 billion, that's $300 million-$350 million that we invest annually into R&D, creating the smallest, the quietest, the most comfortable, the most connected, and the most intelligent devices, masks, and software solutions. During the quarter, we launched the AirTouch N30i to select markets.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","The AirTouch N30i is a world-first from ResMed with its unique fabric-based patient interface. My philosophy is this: we sleep on cotton sheets. We have fabric covers for the pillows that we sleep on. Why can't we have sleep apnea therapy that is just as comfortable as that? Early feedback from respiratory therapists, from physicians, and from patients directly is that the comfort and fit of the AirTouch N30i is outstanding.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","This new technology could permanently change the basis of competition in mask innovation. It's one thing to create a prototype of a mask. It's another thing to have manufacturability at scale with top quality, top comfort, excellent seal, and great long-term patient outcomes. Watch this space for our new-to-world fabric-based AirTouch technology, launched first here on the AirTouch N30i platform.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","During the quarter, we announced another collaboration with the Apple Vision Pro team, with the launch of what we call the Contour Headstrap. This is a premium accessory for the Apple Vision Pro. ResMed, as all of you as shareholders know, is the world leader in providing facial interfaces in the field of sleep health and breathing health and healthcare technology at home.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","This is great to see that now a top consumer tech company like Apple has chosen to partner with ResMed on an interface that we make that delivers a superb balance of softness and support for the extended wear time that users of the Apple Vision Pro need. The Apple Vision Pro accessory is crafted with a blend of ResMed's exclusive ultra-premium materials and designed to be gentle on the skin.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","This project shows that ResMed's expertise is applicable outside of pure play in medical technology, and it's part of this convergence of med tech and consumer tech. The learning that that will provide for both the medical and consumer fields is an important part of this opportunity. Watch this space. ResMed had a very strong presence at the Consumer Electronics Show, or CES, in Las Vegas at the start of 2025, just a couple of weeks ago.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We provided a digital sleep lounge that offered people a place to go to relax and to learn about the importance of sleep health, of breathing health, and care delivered at home. Across CES display booths, there were many consumer tech companies showing their latest and greatest sleep wellness and sleep monitoring solutions, from Apple to Samsung to Google's Fitbit, Oura Ring, Garmin, WHOOP, and beyond.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We are very excited to have sleep health become mainstream. Interestingly, ResMed products were on display in the massive Samsung booth. Samsung was touting their new Galaxy Watch's sleep apnea detection capability and illustrating the link between their Galaxy Watch ecosystem and ResMed's market-leading products for the treatment of sleep apnea.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","I'll talk more about sleep apnea detectors and this convergence of med tech and consumer tech a little later. But now let me provide a brief update on GLP-1s, the new class of pharmaceuticals that are focused on weight loss, diabetes and metabolic control, cardiovascular outcomes, and now also sleep apnea. I'll then come back to consumer wearables that can detect sleep apnea.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Late during our Q2, on December 20th, Eli Lilly gained FDA approval for the use of Zepbound, a GLP-1, in patients with obesity and moderate to severe sleep apnea with a reduced calorie diet and physical exercise. It's interesting to note that the SURMOUNT-OSA trial excluded patients with diabetes. In the lead-up to its launch to consumers, Eli Lilly's early educational documents that are available to the medical community on the Eli Lilly website include a patient guide for the treatment of obstructive sleep apnea, or OSA.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","It was encouraging to see that Lilly followed the American Academy of Sleep Medicine, or AASM, guidelines that explicitly state that positive airway pressure devices are the frontline and gold standard for treating sleep apnea, and that these PAP devices, CPAP, APAP, bilevel, have the highest efficacy when used as directed.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Beyond just the guidelines, their own FAQs on the Lilly website informed physicians and patients that CPAP devices are now smaller and quieter and that CPAP masks have been refined to increase comfort. We agree. We welcome the opportunity to educate potential patients on the benefit of all therapy options for the treatment of obstructive sleep apnea, starting with the gold standard frontline, CPAP, APAP, bilevel, then considering the next most efficacious, dental devices, and finally looking at pharmaceutical or even surgical options.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","On January 14th, 2025, the AASM issued a quick reference guide to providers considering the use of new drugs for the treatment of OSA. The AASM continues to emphasize the use of positive airway pressure as the frontline treatment and suggests that weight loss drugs may be useful as an adjunctive or combination therapy.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","Our experience with bariatric surgery patients these last two-plus decades and now with these latest-generation GLP-1 these last five-plus years is that when someone loses weight, that doesn't change their age, that doesn't change their gender, that doesn't change, most importantly in this context, their craniofacial anatomy. These are key risk factors for sleep apnea.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
"RMD","2025-01-30","Michael Farrell","Chairman and CEO at ResMed","We are looking forward to addressing the educational gap on the prevalence and treatment of obstructive sleep apnea with continuing medical education, or CME, programs that we are aiming specifically at primary care physicians, and we're especially targeting those who are high volume, currently high volume GLP-1 prescribers. They will be the frontline for the patients that pharmaceutical companies will attract as they ramp up their own consumer advertising throughout calendar year 2025 and beyond.","https://www.marketbeat.com/earnings/reports/2025-1-30-resmed-inc-stock/"
