"symbol","report_date","speaker","title","msg","source_url"
"TECH","2025-08-06",NA,NA,"Good morning and welcome to Bio-Techne Earnings Conference call for the fourth quarter and fiscal year 2025. At this time, all participants have been placed in a listen only mode and the call will be open for questions following management's prepared remarks. During our Q and A session, please limit yourself to one question and one follow up. I would now like to turn the call over to David Clair, Bio-Techne's Vice President, Investor Relations. Good morning and thank you.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"you for joining us. On the call with me this morning are Kim Kelderman, President and Chief Executive Officer, and Jim Hippel, Chief Financial Officer of Bio-Techne. Before we begin, let me briefly cover our Safe Harbor statement. Some of the comments made during this conference call may be considered forward-looking statements, including beliefs and expectations about the Company's future results. The Company's 10-K for fiscal year 2024 identifies certain factors that could cause the Company's actual results to differ materially from those projected in the forward-looking statements made during this call. The Company does not undertake to update any forward-looking statements because of any new information or future events or developments. The 10-K as well as the Company's other SEC filings are available on the Company's website within its Investor Relations section. During the call, non-GAAP financial measures may be used to provide information pertinent to ongoing business performance.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Tables reconciling these measures to the most comparable GAAP measures are available in the Company's press release issued earlier this morning on the Investor Relations section of our Bio-Techne Corporation website at www.bio-techne.com. Separately, in the coming weeks, we will be participating in the UBS, Wells Fargo, Baird, Morgan Stanley, and Deutsche Bank Healthcare conferences. We look forward to connecting with many of you at these upcoming events. I will now turn the call over to Kim.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Thank you, Dave, and good morning, everyone. Welcome to Bio-Techne's fiscal fourth quarter 2025 earnings call. I'm pleased to report that we delivered a solid quarter that was in line with our expectations. The team's continued execution drove 3% organic revenue growth in a dynamic operating environment. Our performance was once again fueled by strength in the biopharma end markets, particularly among large pharma customers, which fueled robust demand for our automated proteomic analytical instrumentation and cell therapy solutions. Our fourth quarter capped off a fiscal year in which we delivered 5% organic revenue growth. We reinforced our leadership across key markets through a series of innovative product launches and repositioned the company for sustained future growth. As a reminder, approximately 80% of Bio-Techne's revenue is derived from consumables, including those used for our proprietary instrumentation, and this provides a strong foundation for durable growth.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"This resilient revenue mix, combined with the critical value our customers place on our portfolio of tools for research, manufacturing, and precision diagnostics, was reflected in our differentiated financial performance. Despite uncertainties many of our customers faced throughout 2025, this performance was once again achieved with a strong emphasis on profitability. The operational efficiencies we continue to implement contributed to an adjusted operating margin of 32% for the quarter. Our team remains focused on striking the right balance between investing for future growth and driving productivity across the organization. This disciplined approach enables us to maintain our industry-leading profitability while positioning Bio-Techne for long-term success. Before we delve into the quarterly performance, I want to highlight a strategic portfolio action that reflects our long-term financial and operational priorities.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Last night, we announced the divestiture of our Exosome Diagnostics business, including the ExoDx Prostate Test and our CLIA-certified clinical laboratory, to MDxHealth, a recognized leader in urology and specifically prostate cancer diagnostics. Following a thorough strategic assessment, we concluded that a single high-performing CLIA test does not provide us the operational leverage needed to support our broader growth missions. We expect the transaction to close in the first quarters of fiscal 2026. Importantly, Bio-Techne will retain access to the proprietary exosome-based technology used in a recently launched ESR1 mutation kit for breast cancer recurrence. We remain committed to leveraging this platform to expand our portfolio of exosome-based gene mutation kits, further strengthening our position in precision diagnostics.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Over the past five decades, Bio-Techne has.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Built a market-leading portfolio of high-quality, high-margin reagents, instruments, and tools serving both the life sciences and the clinical diagnostic markets. The divestiture of Exosome Diagnostics represents a strategic repositioning of our portfolio. This enables us to redirect investments towards strengthening our core foundation and our growth verticals. This transaction also delivers an immediate uplift to our already sector-leading operating margin profile. Jim will provide additional detail on the financial implications of this deal later in the call. Let's now turn to our end markets, beginning with biopharma. Throughout fiscal 2025, we saw steady momentum in this segment, particularly among large pharmaceutical customers. However, recent commentary from the U.S. Administration regarding potential pharmaceutical tariffs and the proposed implementation of a most favored nation drug pricing model has introduced a degree of uncertainty across the pharma landscape.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Despite those evolving dynamics, including shifting timelines, changing tariff structures, and dynamic messaging regarding policy intent, demand for Bio-Techne's broad portfolio remains strong. Large pharmaceutical companies continue to rely on our high-quality reagents and productivity-enhancing tools to advance their pipeline initiatives, underscoring the essential role our solutions play in their research, development, and manufacturing workflows. The growth driven by a large pharmaceutical customer base continued to be a key driver in the quarter. However, this momentum was partially offset by more subdued performance from smaller biotech firms. These companies remain cautious with their spending amid a constrained funding environment. This trend is consistent with broader industry data, which indicates that biotech funding has declined more than 40% year to date compared to the 2024 levels. Despite these headwinds, our overall biopharma end market delivered high single-digit growth for both the fourth quarter and the full fiscal year.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
"TECH","2025-08-06",NA,NA,"Turning to academia, a segment that continues to attract heightened attention across the life science tools industry, revenue from our academic customers represents approximately 21% of our total business, with U.S. institutions contributing roughly 12%. Given the ongoing uncertainty surrounding the upcoming NIH budget, we conducted a comprehensive assessment to better understand our exposure to NIH-funded research. Based on this evaluation, our new estimate is that less than 1/3 of our U.S. academic revenue is directly tied to NIH grants. In other words, our total company exposure to NIH funded research is likely in the low single digits range and that is notably below our prior estimate of 5 to 6%. In light of recent reports of NIH grant cancellations, we also examined publicly available databases to identify which research areas are most affected.","https://www.marketbeat.com/earnings/reports/2025-8-6-bio-techne-co-stock/"
