"symbol","report_date","speaker","title","msg","source_url"
"J","2025-02-04",NA,NA,"Ladies and gentlemen, thank you for standing by. My name is Krista, and I will be your conference operator today. At this time, I would like to welcome everyone to the Jacobs Solutions fiscal first quarter 2025 earnings conference call and webcast. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. And if you'd like to withdraw your question, again, press star one. Thank you. And I would now like to turn the conference over to Bert Subin, Senior Vice President, Investor Relations. Bert, you may begin.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bert Subin","SVP of Investor Relations at Jacobs Solutions","Thank you, Krista, and good morning, everyone. Our earnings announcement and 10-Q were filed this morning, and we have posted a slide presentation on our website, which we'll reference during the call. I would like to refer you to slide two of the presentation material for information about our forward-looking statements, non-GAAP financial measures, and operating metrics. Turning to the agenda on slide three, speaking on today's call will be Jacobs Chair and CEO Bob Pragada and CFO Venk Nathamuni. Bob will begin by providing an overview of recent activities and highlights from our first quarter results. Venk will then provide a detailed review of our financial performance, including commentary on end market trends, cash flows, and balance sheet data. Finally, Bob will provide closing remarks, and then we'll open up the call for questions. With that, I'll turn it over to our Chair and CEO, Bob Pragada.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bob Pragada","Chair and CEO at Jacobs Solutions","Good day, everyone, and thank you for joining us to discuss our first quarter 2025 business performance. Starting on slide four, I want to highlight that we are excited to be hosting our 2025 Investor Day on February 18th in Miami. Our simplified structure, global delivery model, and end-to-end expertise position us extremely well to build on a great start to FY 2025. We see a bright future ahead as we are creating value for our shareholders over the long term, and at our Investor Day, we plan to lay out our vision for Jacobs' next exciting chapter. We look forward to providing you with more detail in just two weeks. Turning to slide five, total gross revenue increased over 4% in Q1, with adjusted net revenue rising over 5%. GAAP EPS was -$0.10 and includes a -$1.16 impact from the mark-to-market loss in our investment in Amentum.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bob Pragada","Chair and CEO at Jacobs Solutions","Excluding this and other items, Q1 adjusted EPS was $1.33, an 8% decrease compared to the previous year. The year-on-year decline in adjusted EPS was the result of a favorable tax item last year that resulted in a $0.49 per share benefit in Q1 2024. Adjusted EBITDA for Q1 was $282 million, which represented a 24% year-on-year increase. We're pleased with the strong underlying business performance, and we are seeing very good traction on adjusted EBITDA margin improvement. Our trailing 12-month book-to-bill was 1.3x, as our consolidated backlog increased 19% year-over-year in Q1. We are encouraged by the trajectory we're delivering on, following two extremely strong quarters for new awards in the second half of 2024. Gross profit and backlog increased 12% year-over-year in the first quarter, reflecting back-to-back quarters of double-digit growth.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bob Pragada","Chair and CEO at Jacobs Solutions","Turning to slide six, I'm excited to report that during the quarter, we continued to deliver substantial wins across the business and across geographies, a testament to our market positioning, deep domain expertise, and long-term trusted client relationships. We saw solid revenue growth year-over-year, mainly in our Infrastructure and Advanced Facilities segment. We are demonstrating impressive revenue growth globally in Water and Environmental, with all major geographies showing strength in Q1. Notably, during Q1, we were selected to operate, maintain, and provide capital projects program support for the water treatment system managed by JXN Water. This 10-year contract will continue to improve water service and water equity and has already provided 180,000 residents in and around Jackson, Mississippi, with more reliable drinking water. In Life Sciences and Advanced Manufacturing, we continue to deliver strong results in Life Sciences with double-digit net revenue growth in Q1.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bob Pragada","Chair and CEO at Jacobs Solutions","Our backlog in Life Sciences has been rising over the last 12 months, giving us good line of sight over the coming quarters. Further, market activity remains very robust, with our involvement spanning key areas such as GLP-1s, monoclonal antibodies, antibody-drug conjugates, and cutting-edge R&D programs for leading biopharmaceutical companies. Turning to Critical Infrastructure, during the quarter, we achieved significant milestones on two transformative projects. First, we were selected as part of the preferred alliance for the landmark River Torrens to Darlington project in South Australia. This $15.4 billion initiative by the South Australian government will deliver a 10.5 km nonstop motorway, completing the 78 km north-south corridor. The T2D project is poised to drive economic growth and development across Adelaide and South Australia. Additionally, we have been chosen by Ireland's National Transport Authority to deliver the BusConnects Dublin program.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Bob Pragada","Chair and CEO at Jacobs Solutions","This ambitious 10-year initiative will enhance public transit by developing 230 km of bus priority corridors and 200 km of cycling and pedestrian paths. The project not only promotes sustainable growth and climate resilience, but also strengthens connectivity in and around Dublin. We're encouraged by the increased demand for large-scale international projects and Critical Infrastructure to complement the momentum we've been seeing in the U.S. In summary, we are pleased with our continued progress this quarter as we execute on our strategic priorities to deliver sustainable and profitable growth. We're excited for the future and look forward to presenting our strategic vision for Jacobs over the coming years at our upcoming Investor Day. Now I'll turn the call over to Venk to review our financial results in further detail.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Venk Nathamuni","CFO at Jacobs Solutions","Thank you, Bob. Let me begin by summarizing a few of the financial highlights on slide seven, and I'll then provide additional context and detail around our strong quarterly performance. First quarter gross revenue grew 4% year-over-year, and adjusted net revenue, which excludes the impact of past due revenue, grew by 5% year-over-year. Q1 adjusted EBITDA was $282 million, growing 24% year-over-year. Our adjusted EBITDA margin during Q1 came in strong at 13.5%, which is an increase of approximately 200 basis points year-over-year. First quarter adjusted EPS was $1.33, an 8% decrease versus the previous year, primarily due to an unfavorable tax comparison. As Bob mentioned in his prepared remarks, last year we benefited from a discrete tax item that did not recur in 2025.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Venk Nathamuni","CFO at Jacobs Solutions","Please also note GAAP EPS was impacted by a $145 million unrealized pre-tax loss associated with the mark-to-market adjustment of our investment in Amentum, which had no impact on adjusted EPS. Finally, consolidated backlog was up approximately 19% year-over-year and remains near record levels at $21.8 billion. Q1 book-to-bill of 1.0x was solid. Our trailing 12-month revenue book-to-bill ratio was 1.3x, with gross profit and backlog increasing 12% year-over-year during Q1, highlighting our strong trailing 12-month sales performance. Going forward, we will focus our attention on trailing 12-month performance in our book-to-bill ratios, as we believe this is a better indicator of future growth. Regarding our performance by end market in Infrastructure and Advanced Facilities, let's turn to slide number eight. Demand for our Water and Environmental services remains strong across all major geographies, with adjusted net revenue increasing 11% compared to the same quarter last year.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
"J","2025-02-04","Venk Nathamuni","CFO at Jacobs Solutions","This momentum is expected to continue beyond fiscal 2025 and is supported by our robust backlog and pipeline. We grew adjusted net revenue in our Life Sciences and Advanced Manufacturing end market by over 1% in Q1, as Life Sciences strength was largely offset by softness in Advanced Manufacturing. We expect Life Sciences growth to remain robust for the foreseeable future as we continue to ramp on new projects. Additionally, we've seen a significant uptick in our Life Sciences pipeline. On the Advanced Manufacturing side, we expect growth to improve in the second half of the year as new projects start to ramp. This combination leads us to forecast similar growth in Q2 relative to Q1, followed by a pickup in the second half of the year. In Critical Infrastructure, adjusted net revenue increased 5% year-over-year, with North America outpacing total growth for the end market.","https://www.marketbeat.com/earnings/reports/2025-2-4-jacobs-engineering-group-inc-stock/"
